"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"2","BIS",2008,"SCS","Female",100,340,0.294117647058824,"BISSCS",0.502229654403567,1,FALSE,0.294117647058824
"4","BIS",2008,"All grades","Female",5450,10780,0.50556586270872,"BISAll grades",0.502229654403567,1,FALSE,0.50556586270872
"6","BIS",2009,"SCS","Female",130,370,0.351351351351351,"BISSCS",0.502229654403567,1,FALSE,0.351351351351351
"7","BIS",2009,"All grades","Female",5430,10610,0.511781338360038,"BISAll grades",0.502229654403567,1,FALSE,0.511781338360038
"10","BIS",2010,"SCS","Female",140,380,0.368421052631579,"BISSCS",0.502229654403567,1,FALSE,0.368421052631579
"12","BIS",2010,"All grades","Female",5590,10900,0.512844036697248,"BISAll grades",0.502229654403567,1,FALSE,0.512844036697248
"13","BIS",2011,"SCS","Female",160,410,0.390243902439024,"BISSCS",0.502229654403567,1,FALSE,0.390243902439024
"16","BIS",2011,"All grades","Female",6250,11820,0.528764805414552,"BISAll grades",0.502229654403567,1,FALSE,0.528764805414552
"18","BIS",2012,"SCS","Female",150,380,0.394736842105263,"BISSCS",0.502229654403567,1,FALSE,0.394736842105263
"19","BIS",2012,"All grades","Female",9010,17940,0.502229654403567,"BISAll grades",0.502229654403567,1,FALSE,0.502229654403567
"22","CO",2008,"SCS","Female",90,230,0.391304347826087,"COSCS",0.509157509157509,1,FALSE,0.391304347826087
"24","CO",2008,"All grades","Female",1660,3110,0.533762057877814,"COAll grades",0.509157509157509,1,FALSE,0.533762057877814
"26","CO",2009,"SCS","Female",100,240,0.416666666666667,"COSCS",0.509157509157509,1,FALSE,0.416666666666667
"27","CO",2009,"All grades","Female",1810,3280,0.551829268292683,"COAll grades",0.509157509157509,1,FALSE,0.551829268292683
"30","CO",2010,"SCS","Female",110,270,0.407407407407407,"COSCS",0.509157509157509,1,FALSE,0.407407407407407
"32","CO",2010,"All grades","Female",1810,3290,0.550151975683891,"COAll grades",0.509157509157509,1,FALSE,0.550151975683891
"33","CO",2011,"SCS","Female",110,270,0.407407407407407,"COSCS",0.509157509157509,1,FALSE,0.407407407407407
"36","CO",2011,"All grades","Female",1670,3070,0.543973941368078,"COAll grades",0.509157509157509,1,FALSE,0.543973941368078
"38","CO",2012,"SCS","Female",90,250,0.36,"COSCS",0.509157509157509,1,FALSE,0.36
"39","CO",2012,"All grades","Female",1390,2730,0.509157509157509,"COAll grades",0.509157509157509,1,FALSE,0.509157509157509
"42","DCLG",2008,"SCS","Female",80,190,0.421052631578947,"DCLGSCS",0.476534296028881,1,FALSE,0.421052631578947
"44","DCLG",2008,"All grades","Female",2330,5550,0.41981981981982,"DCLGAll grades",0.476534296028881,1,FALSE,0.41981981981982
"46","DCLG",2009,"SCS","Female",50,140,0.357142857142857,"DCLGSCS",0.476534296028881,1,FALSE,0.357142857142857
"47","DCLG",2009,"All grades","Female",2090,5080,0.411417322834646,"DCLGAll grades",0.476534296028881,1,FALSE,0.411417322834646
"50","DCLG",2010,"SCS","Female",50,140,0.357142857142857,"DCLGSCS",0.476534296028881,1,FALSE,0.357142857142857
"52","DCLG",2010,"All grades","Female",2040,4920,0.414634146341463,"DCLGAll grades",0.476534296028881,1,FALSE,0.414634146341463
"53","DCLG",2011,"SCS","Female",50,130,0.384615384615385,"DCLGSCS",0.476534296028881,1,FALSE,0.384615384615385
"56","DCLG",2011,"All grades","Female",1850,4400,0.420454545454545,"DCLGAll grades",0.476534296028881,1,FALSE,0.420454545454545
"58","DCLG",2012,"SCS","Female",40,100,0.4,"DCLGSCS",0.476534296028881,1,FALSE,0.4
"59","DCLG",2012,"All grades","Female",1320,2770,0.476534296028881,"DCLGAll grades",0.476534296028881,1,FALSE,0.476534296028881
"62","DCMS",2008,"SCS","Female",10,30,0.333333333333333,"DCMSSCS",0.457627118644068,1,FALSE,0.333333333333333
