"","Date","Gender","Civil.Service.grad","count","total","share","grp","yvar"
"25",2010,"Female","SEO/HEO",-47130,527490,-0.089347665358585,"Female 2010",-0.089347665358585
"26",2010,"Female","AO/AA",-140650,527490,-0.266640125879164,"Female 2010",-0.266640125879164
"27",2010,"Female","EO",-75180,527490,-0.142524028891543,"Female 2010",-0.142524028891543
"28",2010,"Female","G6/G7",-14720,527490,-0.0279057422889533,"Female 2010",-0.0279057422889533
"30",2010,"Male","AO/AA",105140,527490,0.199321314148136,"Male 2010",0.199321314148136
"31",2010,"Female","SCS",-1730,527490,-0.00327968302716639,"Female 2010",-0.00327968302716639
"32",2010,"Male","G6/G7",21910,527490,0.0415363324423212,"Male 2010",0.0415363324423212
"34",2010,"Male","SEO/HEO",56090,527490,0.106333769360557,"Male 2010",0.106333769360557
"35",2010,"Male","SCS",3340,527490,0.00633187359002066,"Male 2010",0.00633187359002066
"36",2010,"Male","EO",58800,527490,0.111471307512939,"Male 2010",0.111471307512939
"49",2012,"Female","SCS",-1550,463810,-0.00334188568594899,"Female 2012",-0.00334188568594899
"50",2012,"Female","SEO/HEO",-42070,463810,-0.0907052456824993,"Female 2012",-0.0907052456824993
"51",2012,"Female","AO/AA",-122010,463810,-0.263060304866217,"Female 2012",-0.263060304866217
"52",2012,"Female","EO",-66410,463810,-0.143183631228305,"Female 2012",-0.143183631228305
"53",2012,"Female","G6/G7",-13820,463810,-0.0297966839869774,"Female 2012",-0.0297966839869774
"55",2012,"Male","AO/AA",88530,463810,0.190875574049719,"Male 2012",0.190875574049719
"56",2012,"Male","EO",52930,463810,0.114120006036955,"Male 2012",0.114120006036955
"57",2012,"Male","G6/G7",19790,463810,0.0426683340160842,"Male 2012",0.0426683340160842
"59",2012,"Male","SEO/HEO",51490,463810,0.111015286431944,"Male 2012",0.111015286431944
"60",2012,"Male","SCS",2870,463810,0.00618787865720877,"Male 2012",0.00618787865720877
