"","Age.band","Date","Gender","count","total","share","sharediff","yvar","grp"
"1","< 29",2010,"Female",-41620,527480,-0.0789034655342383,-0.0393719960354211,-0.0789034655342383,"Female 2010"
"2","< 29",2010,"Male",31950,527480,0.0605710169105938,-0.0393719960354211,0.0605710169105938,"Male 2010"
"3","< 29",2013,"Female",-24320,448840,-0.0541841190624721,-0.0393719960354211,-0.0541841190624721,"Female 2013"
"4","< 29",2013,"Male",20610,448840,0.0459183673469388,-0.0393719960354211,0.0459183673469388,"Male 2013"
"5","30-39",2010,"Female",-63020,527480,-0.119473724122242,-0.00373977351706795,-0.119473724122242,"Female 2010"
"6","30-39",2010,"Male",48670,527480,0.0922689011905665,-0.00373977351706795,0.0922689011905665,"Male 2010"
"7","30-39",2013,"Female",-52200,448840,-0.116299795027181,-0.00373977351706795,-0.116299795027181,"Female 2013"
"8","30-39",2013,"Male",41160,448840,0.091703056768559,-0.00373977351706795,0.091703056768559,"Male 2013"
"9","40-49",2010,"Female",-95300,527480,-0.18067035716994,-0.00557065863172262,-0.18067035716994,"Female 2010"
"10","40-49",2010,"Male",76880,527480,0.14574960188064,-0.00557065863172262,0.14574960188064,"Male 2010"
"11","40-49",2013,"Female",-79630,448840,-0.177412886552001,-0.00557065863172262,-0.177412886552001,"Female 2013"
"12","40-49",2013,"Male",64380,448840,0.143436413866857,-0.00557065863172262,0.143436413866857,"Male 2013"
"13","50-59",2010,"Female",-67210,527480,-0.127417153256996,0.0366589028427109,-0.127417153256996,"Female 2010"
"14","50-59",2010,"Male",68510,527480,0.129881701675893,0.0366589028427109,0.129881701675893,"Male 2010"
"15","50-59",2013,"Female",-68430,448840,-0.152459673825862,0.0366589028427109,-0.152459673825862,"Female 2013"
"16","50-59",2013,"Male",63510,448840,0.141498083949737,0.0366589028427109,0.141498083949737,"Male 2013"
"17","60-64",2010,"Female",-10940,527480,-0.0207401228482596,0.00475602952455782,-0.0207401228482596,"Female 2010"
"18","60-64",2010,"Male",18940,527480,0.035906574656859,0.00475602952455782,0.035906574656859,"Male 2010"
"19","60-64",2013,"Female",-11310,448840,-0.0251982889225559,0.00475602952455782,-0.0251982889225559,"Female 2013"
"20","60-64",2013,"Male",16250,448840,0.0362044381071206,0.00475602952455782,0.0362044381071206,"Male 2013"
"21","65 +",2010,"Female",-1590,527480,-0.00301433229695913,0.0075518667883542,-0.00301433229695913,"Female 2010"
"22","65 +",2010,"Male",2700,527480,0.00511867748540229,0.0075518667883542,0.00511867748540229,"Male 2010"
"23","65 +",2013,"Female",-2650,448840,-0.00590410836823812,0.0075518667883542,-0.00590410836823812,"Female 2013"
"24","65 +",2013,"Male",4390,448840,0.0097807682024775,0.0075518667883542,0.0097807682024775,"Male 2013"
