"","Group","Date","Civil.Service.grad","Disability.statu","count","total","share","sorter","totalgroup","grp","yvar"
"1","BIS",2008,"SCS","Disabled",10,80,0.125,0.0752688172043011,FALSE,"BISSCS",0.125
"2","BIS",2009,"All grades","Disabled",480,4910,0.0977596741344195,0.0752688172043011,FALSE,"BISAll grades",0.0977596741344195
"3","BIS",2012,"All grades","Disabled",1090,15160,0.0718997361477573,0.0752688172043011,FALSE,"BISAll grades",0.0718997361477573
"4","BIS",2013,"SCS","Disabled",10,260,0.0384615384615385,0.0752688172043011,FALSE,"BISSCS",0.0384615384615385
"5","BIS",2013,"All grades","Disabled",1120,14880,0.0752688172043011,0.0752688172043011,FALSE,"BISAll grades",0.0752688172043011
"6","BIS",2008,"All grades","Disabled",360,3060,0.117647058823529,0.0752688172043011,FALSE,"BISAll grades",0.117647058823529
"7","BIS",2011,"All grades","Disabled",830,9860,0.0841784989858012,0.0752688172043011,FALSE,"BISAll grades",0.0841784989858012
"8","BIS",2012,"SCS","Disabled",10,270,0.037037037037037,0.0752688172043011,FALSE,"BISSCS",0.037037037037037
"9","BIS",2010,"All grades","Disabled",810,9060,0.0894039735099338,0.0752688172043011,FALSE,"BISAll grades",0.0894039735099338
"10","BIS",2011,"SCS","Disabled",10,300,0.0333333333333333,0.0752688172043011,FALSE,"BISSCS",0.0333333333333333
"11","BIS",2010,"SCS","Disabled",10,280,0.0357142857142857,0.0752688172043011,FALSE,"BISSCS",0.0357142857142857
"12","BIS",2009,"SCS","Disabled",10,200,0.05,0.0752688172043011,FALSE,"BISSCS",0.05
"13","CO",2013,"SCS","Disabled",0,130,0,0.0614035087719298,FALSE,"COSCS",0
"14","CO",2013,"All grades","Disabled",70,1140,0.0614035087719298,0.0614035087719298,FALSE,"COAll grades",0.0614035087719298
"15","CO",2011,"SCS","Disabled",10,200,0.05,0.0614035087719298,FALSE,"COSCS",0.05
"16","CO",2012,"SCS","Disabled",0,150,0,0.0614035087719298,FALSE,"COSCS",0
"17","CO",2008,"SCS","Disabled",0,220,0,0.0614035087719298,FALSE,"COSCS",0
"18","CO",2011,"All grades","Disabled",110,2080,0.0528846153846154,0.0614035087719298,FALSE,"COAll grades",0.0528846153846154
"19","CO",2010,"SCS","Disabled",10,180,0.0555555555555556,0.0614035087719298,FALSE,"COSCS",0.0555555555555556
"20","CO",2010,"All grades","Disabled",130,1710,0.0760233918128655,0.0614035087719298,FALSE,"COAll grades",0.0760233918128655
"21","CO",2009,"SCS","Disabled",10,160,0.0625,0.0614035087719298,FALSE,"COSCS",0.0625
"22","CO",2012,"All grades","Disabled",90,1550,0.0580645161290323,0.0614035087719298,FALSE,"COAll grades",0.0580645161290323
"23","CO",2009,"All grades","Disabled",120,2230,0.0538116591928251,0.0614035087719298,FALSE,"COAll grades",0.0538116591928251
"24","CO",2008,"All grades","Disabled",260,5600,0.0464285714285714,0.0614035087719298,FALSE,"COAll grades",0.0464285714285714
"25","DCLG",2012,"SCS","Disabled",0,70,0,0.0597014925373134,FALSE,"DCLGSCS",0
"26","DCLG",2010,"SCS","Disabled",10,110,0.0909090909090909,0.0597014925373134,FALSE,"DCLGSCS",0.0909090909090909
"27","DCLG",2013,"SCS","Disabled",0,70,0,0.0597014925373134,FALSE,"DCLGSCS",0
"28","DCLG",2010,"All grades","Disabled",240,4390,0.0546697038724374,0.0597014925373134,FALSE,"DCLGAll grades",0.0546697038724374
"29","DCLG",2013,"All grades","Disabled",120,2010,0.0597014925373134,0.0597014925373134,FALSE,"DCLGAll grades",0.0597014925373134
"30","DCLG",2011,"SCS","Disabled",10,110,0.0909090909090909,0.0597014925373134,FALSE,"DCLGSCS",0.0909090909090909
"31","DCLG",2008,"SCS","Disabled",0,120,0,0.0597014925373134,FALSE,"DCLGSCS",0
"32","DCLG",2009,"SCS","Disabled",10,100,0.1,0.0597014925373134,FALSE,"DCLGSCS",0.1
"33","DCLG",2012,"All grades","Disabled",150,2500,0.06,0.0597014925373134,FALSE,"DCLGAll grades",0.06
