"","Group","Date","Civil.Service.grad","Disability.statu","count","total","share","sorter","totalgroup","grp","yvar"
"1","BIS",2008,"SCS","Disabled",10,60,0.166666666666667,0.0900900900900901,FALSE,"BISSCS",0.166666666666667
"2","BIS",2013,"All grades","Disabled",200,2220,0.0900900900900901,0.0900900900900901,FALSE,"BISAll grades",0.0900900900900901
"3","BIS",2010,"SCS","Disabled",10,220,0.0454545454545455,0.0900900900900901,FALSE,"BISSCS",0.0454545454545455
"4","BIS",2012,"SCS","Disabled",10,150,0.0666666666666667,0.0900900900900901,FALSE,"BISSCS",0.0666666666666667
"5","BIS",2008,"All grades","Disabled",300,1380,0.217391304347826,0.0900900900900901,FALSE,"BISAll grades",0.217391304347826
"6","BIS",2010,"All grades","Disabled",280,3400,0.0823529411764706,0.0900900900900901,FALSE,"BISAll grades",0.0823529411764706
"7","BIS",2013,"SCS","Disabled",10,160,0.0625,0.0900900900900901,FALSE,"BISSCS",0.0625
"8","BIS",2012,"All grades","Disabled",200,2320,0.0862068965517241,0.0900900900900901,FALSE,"BISAll grades",0.0862068965517241
"9","BIS",2009,"SCS","Disabled",10,130,0.0769230769230769,0.0900900900900901,FALSE,"BISSCS",0.0769230769230769
"10","BIS",2011,"SCS","Disabled",10,180,0.0555555555555556,0.0900900900900901,FALSE,"BISSCS",0.0555555555555556
"11","BIS",2009,"All grades","Disabled",280,1760,0.159090909090909,0.0900900900900901,FALSE,"BISAll grades",0.159090909090909
"12","BIS",2011,"All grades","Disabled",250,2860,0.0874125874125874,0.0900900900900901,FALSE,"BISAll grades",0.0874125874125874
"13","CO",2010,"All grades","Disabled",50,1050,0.0476190476190476,0.0547945205479452,FALSE,"COAll grades",0.0476190476190476
"14","CO",2009,"All grades","Disabled",50,710,0.0704225352112676,0.0547945205479452,FALSE,"COAll grades",0.0704225352112676
"15","CO",2008,"SCS","Disabled",0,100,0,0.0547945205479452,FALSE,"COSCS",0
"16","CO",2011,"SCS","Disabled",10,110,0.0909090909090909,0.0547945205479452,FALSE,"COSCS",0.0909090909090909
"17","CO",2010,"SCS","Disabled",10,120,0.0833333333333333,0.0547945205479452,FALSE,"COSCS",0.0833333333333333
"18","CO",2013,"SCS","Disabled",0,80,0,0.0547945205479452,FALSE,"COSCS",0
"19","CO",2008,"All grades","Disabled",50,740,0.0675675675675676,0.0547945205479452,FALSE,"COAll grades",0.0675675675675676
"20","CO",2011,"All grades","Disabled",50,900,0.0555555555555556,0.0547945205479452,FALSE,"COAll grades",0.0555555555555556
"21","CO",2013,"All grades","Disabled",40,730,0.0547945205479452,0.0547945205479452,FALSE,"COAll grades",0.0547945205479452
"22","CO",2009,"SCS","Disabled",10,100,0.1,0.0547945205479452,FALSE,"COSCS",0.1
"23","CO",2012,"SCS","Disabled",0,80,0,0.0547945205479452,FALSE,"COSCS",0
"24","CO",2012,"All grades","Disabled",40,780,0.0512820512820513,0.0547945205479452,FALSE,"COAll grades",0.0512820512820513
"25","DCLG",2010,"All grades","Disabled",150,2170,0.0691244239631336,0.0526315789473684,FALSE,"DCLGAll grades",0.0691244239631336
"26","DCLG",2011,"SCS","Disabled",10,110,0.0909090909090909,0.0526315789473684,FALSE,"DCLGSCS",0.0909090909090909
"27","DCLG",2010,"SCS","Disabled",10,110,0.0909090909090909,0.0526315789473684,FALSE,"DCLGSCS",0.0909090909090909
"28","DCLG",2009,"All grades","Disabled",150,2120,0.0707547169811321,0.0526315789473684,FALSE,"DCLGAll grades",0.0707547169811321
"29","DCLG",2011,"All grades","Disabled",140,2030,0.0689655172413793,0.0526315789473684,FALSE,"DCLGAll grades",0.0689655172413793
"30","DCLG",2012,"All grades","Disabled",100,1600,0.0625,0.0526315789473684,FALSE,"DCLGAll grades",0.0625
"31","DCLG",2013,"All grades","Disabled",80,1520,0.0526315789473684,0.0526315789473684,FALSE,"DCLGAll grades",0.0526315789473684
"32","DCLG",2008,"SCS","Disabled",0,120,0,0.0526315789473684,FALSE,"DCLGSCS",0
"33","DCLG",2012,"SCS","Disabled",0,70,0,0.0526315789473684,FALSE,"DCLGSCS",0
"34","DCLG",2008,"All grades","Disabled",150,2270,0.066079295154185,0.0526315789473684,FALSE,"DCLGAll grades",0.066079295154185
"35","DCLG",2009,"SCS","Disabled",10,100,0.1,0.0526315789473684,FALSE,"DCLGSCS",0.1
"36","DCLG",2013,"SCS","Disabled",0,70,0,0.0526315789473684,FALSE,"DCLGSCS",0
"37","DCMS",2010,"All grades","Disabled",20,430,0.0465116279069767,0.0645161290322581,FALSE,"DCMSAll grades",0.0465116279069767
"38","DCMS",2011,"SCS","Disabled",0,40,0,0.0645161290322581,FALSE,"DCMSSCS",0
"39","DCMS",2008,"All grades","Disabled",10,310,0.032258064516129,0.0645161290322581,FALSE,"DCMSAll grades",0.032258064516129
"40","DCMS",2008,"SCS","Disabled",0,20,0,0.0645161290322581,FALSE,"DCMSSCS",0
"41","DCMS",2009,"All grades","Disabled",10,280,0.0357142857142857,0.0645161290322581,FALSE,"DCMSAll grades",0.0357142857142857
"42","DCMS",2009,"SCS","Disabled",0,20,0,0.0645161290322581,FALSE,"DCMSSCS",0
"43","DCMS",2012,"SCS","Disabled",0,30,0,0.0645161290322581,FALSE,"DCMSSCS",0
"44","DCMS",2011,"All grades","Disabled",20,390,0.0512820512820513,0.0645161290322581,FALSE,"DCMSAll grades",0.0512820512820513
"45","DCMS",2010,"SCS","Disabled",0,40,0,0.0645161290322581,FALSE,"DCMSSCS",0
"46","DCMS",2013,"SCS","Disabled",0,30,0,0.0645161290322581,FALSE,"DCMSSCS",0
