"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","totalgroup","yvar"
"1","BIS",2008,"SCS","Female",90,330,0.272727272727273,"BISSCS",0.503428571428571,FALSE,0.272727272727273
"2","BIS",2008,"All grades","Female",5320,10500,0.506666666666667,"BISAll grades",0.503428571428571,FALSE,0.506666666666667
"3","BIS",2009,"SCS","Female",120,340,0.352941176470588,"BISSCS",0.503428571428571,FALSE,0.352941176470588
"4","BIS",2009,"All grades","Female",5290,10270,0.515092502434275,"BISAll grades",0.503428571428571,FALSE,0.515092502434275
"5","BIS",2010,"SCS","Female",130,350,0.371428571428571,"BISSCS",0.503428571428571,FALSE,0.371428571428571
"6","BIS",2010,"All grades","Female",5420,10500,0.516190476190476,"BISAll grades",0.503428571428571,FALSE,0.516190476190476
"7","BIS",2011,"SCS","Female",150,380,0.394736842105263,"BISSCS",0.503428571428571,FALSE,0.394736842105263
"8","BIS",2011,"All grades","Female",6040,11370,0.531222515391381,"BISAll grades",0.503428571428571,FALSE,0.531222515391381
"9","BIS",2012,"SCS","Female",140,370,0.378378378378378,"BISSCS",0.503428571428571,FALSE,0.378378378378378
"10","BIS",2012,"All grades","Female",8750,17350,0.504322766570605,"BISAll grades",0.503428571428571,FALSE,0.504322766570605
"11","BIS",2013,"SCS","Female",150,390,0.384615384615385,"BISSCS",0.503428571428571,FALSE,0.384615384615385
"12","BIS",2013,"All grades","Female",8810,17500,0.503428571428571,"BISAll grades",0.503428571428571,FALSE,0.503428571428571
"13","CO",2008,"SCS","Female",110,290,0.379310344827586,"COSCS",0.492481203007519,FALSE,0.379310344827586
"14","CO",2008,"All grades","Female",3650,6450,0.565891472868217,"COAll grades",0.492481203007519,FALSE,0.565891472868217
"15","CO",2009,"SCS","Female",100,240,0.416666666666667,"COSCS",0.492481203007519,FALSE,0.416666666666667
"16","CO",2009,"All grades","Female",1810,3270,0.553516819571865,"COAll grades",0.492481203007519,FALSE,0.553516819571865
"17","CO",2010,"SCS","Female",110,260,0.423076923076923,"COSCS",0.492481203007519,FALSE,0.423076923076923
"18","CO",2010,"All grades","Female",1810,3280,0.551829268292683,"COAll grades",0.492481203007519,FALSE,0.551829268292683
"19","CO",2011,"SCS","Female",110,260,0.423076923076923,"COSCS",0.492481203007519,FALSE,0.423076923076923
"20","CO",2011,"All grades","Female",1670,3080,0.542207792207792,"COAll grades",0.492481203007519,FALSE,0.542207792207792
"21","CO",2012,"SCS","Female",90,250,0.36,"COSCS",0.492481203007519,FALSE,0.36
"22","CO",2012,"All grades","Female",1390,2740,0.507299270072993,"COAll grades",0.492481203007519,FALSE,0.507299270072993
"23","CO",2013,"SCS","Female",90,250,0.36,"COSCS",0.492481203007519,FALSE,0.36
"24","CO",2013,"All grades","Female",1310,2660,0.492481203007519,"COAll grades",0.492481203007519,FALSE,0.492481203007519
"25","DCLG",2008,"SCS","Female",80,190,0.421052631578947,"DCLGSCS",0.484,FALSE,0.421052631578947
"26","DCLG",2008,"All grades","Female",2330,5530,0.421338155515371,"DCLGAll grades",0.484,FALSE,0.421338155515371
"27","DCLG",2009,"SCS","Female",50,140,0.357142857142857,"DCLGSCS",0.484,FALSE,0.357142857142857
"28","DCLG",2009,"All grades","Female",2090,5070,0.412228796844181,"DCLGAll grades",0.484,FALSE,0.412228796844181
"29","DCLG",2010,"SCS","Female",50,140,0.357142857142857,"DCLGSCS",0.484,FALSE,0.357142857142857
"30","DCLG",2010,"All grades","Female",2040,4930,0.413793103448276,"DCLGAll grades",0.484,FALSE,0.413793103448276
"31","DCLG",2011,"SCS","Female",50,140,0.357142857142857,"DCLGSCS",0.484,FALSE,0.357142857142857
"32","DCLG",2011,"All grades","Female",1850,4400,0.420454545454545,"DCLGAll grades",0.484,FALSE,0.420454545454545
"33","DCLG",2012,"SCS","Female",40,90,0.444444444444444,"DCLGSCS",0.484,FALSE,0.444444444444444
"34","DCLG",2012,"All grades","Female",1320,2770,0.476534296028881,"DCLGAll grades",0.484,FALSE,0.476534296028881
"35","DCLG",2013,"SCS","Female",40,100,0.4,"DCLGSCS",0.484,FALSE,0.4
"36","DCLG",2013,"All grades","Female",1210,2500,0.484,"DCLGAll grades",0.484,FALSE,0.484
"37","DCMS",2008,"SCS","Female",10,30,0.333333333333333,"DCMSSCS",0.490196078431373,FALSE,0.333333333333333
"38","DCMS",2008,"All grades","Female",260,580,0.448275862068966,"DCMSAll grades",0.490196078431373,FALSE,0.448275862068966
"39","DCMS",2009,"SCS","Female",20,60,0.333333333333333,"DCMSSCS",0.490196078431373,FALSE,0.333333333333333
"40","DCMS",2009,"All grades","Female",390,760,0.513157894736842,"DCMSAll grades",0.490196078431373,FALSE,0.513157894736842
"41","DCMS",2010,"SCS","Female",40,70,0.571428571428571,"DCMSSCS",0.490196078431373,FALSE,0.571428571428571
"42","DCMS",2010,"All grades","Female",420,860,0.488372093023256,"DCMSAll grades",0.490196078431373,FALSE,0.488372093023256
"43","DCMS",2011,"SCS","Female",40,70,0.571428571428571,"DCMSSCS",0.490196078431373,FALSE,0.571428571428571
"44","DCMS",2011,"All grades","Female",400,780,0.512820512820513,"DCMSAll grades",0.490196078431373,FALSE,0.512820512820513
"45","DCMS",2012,"SCS","Female",20,40,0.5,"DCMSSCS",0.490196078431373,FALSE,0.5
"46","DCMS",2012,"All grades","Female",270,590,0.457627118644068,"DCMSAll grades",0.490196078431373,FALSE,0.457627118644068
"47","DCMS",2013,"SCS","Female",20,40,0.5,"DCMSSCS",0.490196078431373,FALSE,0.5
"48","DCMS",2013,"All grades","Female",250,510,0.490196078431373,"DCMSAll grades",0.490196078431373,FALSE,0.490196078431373
"49","DECC",2008,"SCS","Female",10,20,0.5,"DECCSCS",0.465437788018433,FALSE,0.5
"50","DECC",2008,"All grades","Female",130,290,0.448275862068966,"DECCAll grades",0.465437788018433,FALSE,0.448275862068966
"51","DECC",2009,"SCS","Female",20,80,0.25,"DECCSCS",0.465437788018433,FALSE,0.25
"52","DECC",2009,"All grades","Female",520,1240,0.419354838709677,"DECCAll grades",0.465437788018433,FALSE,0.419354838709677
"53","DECC",2010,"SCS","Female",30,110,0.272727272727273,"DECCSCS",0.465437788018433,FALSE,0.272727272727273
"54","DECC",2010,"All grades","Female",630,1430,0.440559440559441,"DECCAll grades",0.465437788018433,FALSE,0.440559440559441
"55","DECC",2011,"SCS","Female",30,110,0.272727272727273,"DECCSCS",0.465437788018433,FALSE,0.272727272727273
"56","DECC",2011,"All grades","Female",730,1610,0.453416149068323,"DECCAll grades",0.465437788018433,FALSE,0.453416149068323
"57","DECC",2012,"SCS","Female",40,130,0.307692307692308,"DECCSCS",0.465437788018433,FALSE,0.307692307692308
"58","DECC",2012,"All grades","Female",850,1870,0.454545454545455,"DECCAll grades",0.465437788018433,FALSE,0.454545454545455
"59","DECC",2013,"SCS","Female",40,120,0.333333333333333,"DECCSCS",0.465437788018433,FALSE,0.333333333333333
"60","DECC",2013,"All grades","Female",1010,2170,0.465437788018433,"DECCAll grades",0.465437788018433,FALSE,0.465437788018433
"61","Defra",2008,"SCS","Female",60,200,0.3,"DefraSCS",0.530092592592593,FALSE,0.3
"62","Defra",2008,"All grades","Female",6020,11530,0.522116218560278,"DefraAll grades",0.530092592592593,FALSE,0.522116218560278
"63","Defra",2009,"SCS","Female",50,180,0.277777777777778,"DefraSCS",0.530092592592593,FALSE,0.277777777777778
"64","Defra",2009,"All grades","Female",5840,11090,0.526600541027953,"DefraAll grades",0.530092592592593,FALSE,0.526600541027953
"65","Defra",2010,"SCS","Female",50,190,0.263157894736842,"DefraSCS",0.530092592592593,FALSE,0.263157894736842
"66","Defra",2010,"All grades","Female",5860,10980,0.533697632058288,"DefraAll grades",0.530092592592593,FALSE,0.533697632058288
"67","Defra",2011,"SCS","Female",50,170,0.294117647058824,"DefraSCS",0.530092592592593,FALSE,0.294117647058824
"68","Defra",2011,"All grades","Female",5330,9980,0.534068136272545,"DefraAll grades",0.530092592592593,FALSE,0.534068136272545
"69","Defra",2012,"SCS","Female",30,140,0.214285714285714,"DefraSCS",0.530092592592593,FALSE,0.214285714285714
"70","Defra",2012,"All grades","Female",4810,9020,0.533259423503326,"DefraAll grades",0.530092592592593,FALSE,0.533259423503326
"71","Defra",2013,"SCS","Female",50,150,0.333333333333333,"DefraSCS",0.530092592592593,FALSE,0.333333333333333
"72","Defra",2013,"All grades","Female",4580,8640,0.530092592592593,"DefraAll grades",0.530092592592593,FALSE,0.530092592592593
"73","DfE",2008,"SCS","Female",90,180,0.5,"DfESCS",0.596034696406444,FALSE,0.5
"74","DfE",2008,"All grades","Female",3790,5910,0.641285956006768,"DfEAll grades",0.596034696406444,FALSE,0.641285956006768
"75","DfE",2009,"SCS","Female",110,180,0.611111111111111,"DfESCS",0.596034696406444,FALSE,0.611111111111111
"76","DfE",2009,"All grades","Female",3670,5740,0.639372822299652,"DfEAll grades",0.596034696406444,FALSE,0.639372822299652
"77","DfE",2010,"SCS","Female",100,190,0.526315789473684,"DfESCS",0.596034696406444,FALSE,0.526315789473684
"78","DfE",2010,"All grades","Female",3380,5250,0.643809523809524,"DfEAll grades",0.596034696406444,FALSE,0.643809523809524
"79","DfE",2011,"SCS","Female",100,180,0.555555555555556,"DfESCS",0.596034696406444,FALSE,0.555555555555556
"80","DfE",2011,"All grades","Female",2750,4590,0.599128540305011,"DfEAll grades",0.596034696406444,FALSE,0.599128540305011
"81","DfE",2012,"SCS","Female",80,190,0.421052631578947,"DfESCS",0.596034696406444,FALSE,0.421052631578947
"82","DfE",2012,"All grades","Female",2720,4550,0.597802197802198,"DfEAll grades",0.596034696406444,FALSE,0.597802197802198
