"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"2","BIS",2008,"SCS","Female",100,340,0.294117647058824,"BISSCS",0.501922020867655,1,FALSE,0.294117647058824
"4","BIS",2008,"All grades","Female",5450,10780,0.50556586270872,"BISAll grades",0.501922020867655,1,FALSE,0.50556586270872
"6","BIS",2009,"SCS","Female",130,370,0.351351351351351,"BISSCS",0.501922020867655,1,FALSE,0.351351351351351
"8","BIS",2009,"All grades","Female",5430,10610,0.511781338360038,"BISAll grades",0.501922020867655,1,FALSE,0.511781338360038
"10","BIS",2010,"SCS","Female",140,380,0.368421052631579,"BISSCS",0.501922020867655,1,FALSE,0.368421052631579
"12","BIS",2010,"All grades","Female",5590,10900,0.512844036697248,"BISAll grades",0.501922020867655,1,FALSE,0.512844036697248
"14","BIS",2011,"SCS","Female",160,410,0.390243902439024,"BISSCS",0.501922020867655,1,FALSE,0.390243902439024
"15","BIS",2011,"All grades","Female",6250,11820,0.528764805414552,"BISAll grades",0.501922020867655,1,FALSE,0.528764805414552
"18","BIS",2012,"SCS","Female",150,380,0.394736842105263,"BISSCS",0.501922020867655,1,FALSE,0.394736842105263
"20","BIS",2012,"All grades","Female",9010,17940,0.502229654403567,"BISAll grades",0.501922020867655,1,FALSE,0.502229654403567
"21","BIS",2013,"SCS","Female",160,390,0.41025641025641,"BISSCS",0.501922020867655,1,FALSE,0.41025641025641
"23","BIS",2013,"All grades","Female",9140,18210,0.501922020867655,"BISAll grades",0.501922020867655,1,FALSE,0.501922020867655
"26","CO",2008,"SCS","Female",90,230,0.391304347826087,"COSCS",0.494339622641509,1,FALSE,0.391304347826087
"28","CO",2008,"All grades","Female",1660,3110,0.533762057877814,"COAll grades",0.494339622641509,1,FALSE,0.533762057877814
"30","CO",2009,"SCS","Female",100,240,0.416666666666667,"COSCS",0.494339622641509,1,FALSE,0.416666666666667
"32","CO",2009,"All grades","Female",1810,3280,0.551829268292683,"COAll grades",0.494339622641509,1,FALSE,0.551829268292683
"34","CO",2010,"SCS","Female",110,270,0.407407407407407,"COSCS",0.494339622641509,1,FALSE,0.407407407407407
"36","CO",2010,"All grades","Female",1810,3290,0.550151975683891,"COAll grades",0.494339622641509,1,FALSE,0.550151975683891
"38","CO",2011,"SCS","Female",110,270,0.407407407407407,"COSCS",0.494339622641509,1,FALSE,0.407407407407407
"39","CO",2011,"All grades","Female",1670,3070,0.543973941368078,"COAll grades",0.494339622641509,1,FALSE,0.543973941368078
"42","CO",2012,"SCS","Female",90,250,0.36,"COSCS",0.494339622641509,1,FALSE,0.36
"44","CO",2012,"All grades","Female",1390,2730,0.509157509157509,"COAll grades",0.494339622641509,1,FALSE,0.509157509157509
"45","CO",2013,"SCS","Female",90,220,0.409090909090909,"COSCS",0.494339622641509,1,FALSE,0.409090909090909
"47","CO",2013,"All grades","Female",1310,2650,0.494339622641509,"COAll grades",0.494339622641509,1,FALSE,0.494339622641509
"50","DCLG",2008,"SCS","Female",80,190,0.421052631578947,"DCLGSCS",0.48207171314741,1,FALSE,0.421052631578947
"52","DCLG",2008,"All grades","Female",2330,5550,0.41981981981982,"DCLGAll grades",0.48207171314741,1,FALSE,0.41981981981982
"54","DCLG",2009,"SCS","Female",50,140,0.357142857142857,"DCLGSCS",0.48207171314741,1,FALSE,0.357142857142857
"56","DCLG",2009,"All grades","Female",2090,5080,0.411417322834646,"DCLGAll grades",0.48207171314741,1,FALSE,0.411417322834646
"58","DCLG",2010,"SCS","Female",50,140,0.357142857142857,"DCLGSCS",0.48207171314741,1,FALSE,0.357142857142857
"60","DCLG",2010,"All grades","Female",2040,4920,0.414634146341463,"DCLGAll grades",0.48207171314741,1,FALSE,0.414634146341463
"62","DCLG",2011,"SCS","Female",50,130,0.384615384615385,"DCLGSCS",0.48207171314741,1,FALSE,0.384615384615385
"63","DCLG",2011,"All grades","Female",1850,4400,0.420454545454545,"DCLGAll grades",0.48207171314741,1,FALSE,0.420454545454545
"66","DCLG",2012,"SCS","Female",40,100,0.4,"DCLGSCS",0.48207171314741,1,FALSE,0.4
"68","DCLG",2012,"All grades","Female",1320,2770,0.476534296028881,"DCLGAll grades",0.48207171314741,1,FALSE,0.476534296028881
"69","DCLG",2013,"SCS","Female",40,100,0.4,"DCLGSCS",0.48207171314741,1,FALSE,0.4
"71","DCLG",2013,"All grades","Female",1210,2510,0.48207171314741,"DCLGAll grades",0.48207171314741,1,FALSE,0.48207171314741
"74","DCMS",2008,"SCS","Female",10,30,0.333333333333333,"DCMSSCS",0.490196078431373,1,FALSE,0.333333333333333
"76","DCMS",2008,"All grades","Female",260,570,0.456140350877193,"DCMSAll grades",0.490196078431373,1,FALSE,0.456140350877193
"78","DCMS",2009,"SCS","Female",20,50,0.4,"DCMSSCS",0.490196078431373,1,FALSE,0.4
"80","DCMS",2009,"All grades","Female",390,780,0.5,"DCMSAll grades",0.490196078431373,1,FALSE,0.5
"82","DCMS",2010,"SCS","Female",40,70,0.571428571428571,"DCMSSCS",0.490196078431373,1,FALSE,0.571428571428571
"84","DCMS",2010,"All grades","Female",420,840,0.5,"DCMSAll grades",0.490196078431373,1,FALSE,0.5
"86","DCMS",2011,"SCS","Female",40,70,0.571428571428571,"DCMSSCS",0.490196078431373,1,FALSE,0.571428571428571
"87","DCMS",2011,"All grades","Female",400,790,0.506329113924051,"DCMSAll grades",0.490196078431373,1,FALSE,0.506329113924051
"90","DCMS",2012,"SCS","Female",20,40,0.5,"DCMSSCS",0.490196078431373,1,FALSE,0.5
"92","DCMS",2012,"All grades","Female",270,590,0.457627118644068,"DCMSAll grades",0.490196078431373,1,FALSE,0.457627118644068
"93","DCMS",2013,"SCS","Female",20,40,0.5,"DCMSSCS",0.490196078431373,1,FALSE,0.5
"95","DCMS",2013,"All grades","Female",250,510,0.490196078431373,"DCMSAll grades",0.490196078431373,1,FALSE,0.490196078431373
"98","DECC",2008,"SCS","Female",0,0,NA,"DECCSCS",0.465753424657534,1,FALSE,NA
"100","DECC",2008,"All grades","Female",0,0,NA,"DECCAll grades",0.465753424657534,1,FALSE,NA
"102","DECC",2009,"SCS","Female",10,60,0.166666666666667,"DECCSCS",0.465753424657534,1,FALSE,0.166666666666667
"104","DECC",2009,"All grades","Female",380,910,0.417582417582418,"DECCAll grades",0.465753424657534,1,FALSE,0.417582417582418
"106","DECC",2010,"SCS","Female",20,80,0.25,"DECCSCS",0.465753424657534,1,FALSE,0.25
"108","DECC",2010,"All grades","Female",460,1050,0.438095238095238,"DECCAll grades",0.465753424657534,1,FALSE,0.438095238095238
"110","DECC",2011,"SCS","Female",20,80,0.25,"DECCSCS",0.465753424657534,1,FALSE,0.25
"111","DECC",2011,"All grades","Female",520,1170,0.444444444444444,"DECCAll grades",0.465753424657534,1,FALSE,0.444444444444444
"114","DECC",2012,"SCS","Female",30,90,0.333333333333333,"DECCSCS",0.465753424657534,1,FALSE,0.333333333333333
"116","DECC",2012,"All grades","Female",590,1310,0.450381679389313,"DECCAll grades",0.465753424657534,1,FALSE,0.450381679389313
"117","DECC",2013,"SCS","Female",30,100,0.3,"DECCSCS",0.465753424657534,1,FALSE,0.3
"119","DECC",2013,"All grades","Female",680,1460,0.465753424657534,"DECCAll grades",0.465753424657534,1,FALSE,0.465753424657534
"122","Defra",2008,"SCS","Female",60,200,0.3,"DefraSCS",0.527649769585253,1,FALSE,0.3
"124","Defra",2008,"All grades","Female",6020,11550,0.521212121212121,"DefraAll grades",0.527649769585253,1,FALSE,0.521212121212121
"126","Defra",2009,"SCS","Female",50,180,0.277777777777778,"DefraSCS",0.527649769585253,1,FALSE,0.277777777777778
"128","Defra",2009,"All grades","Female",5840,11080,0.527075812274368,"DefraAll grades",0.527649769585253,1,FALSE,0.527075812274368
"130","Defra",2010,"SCS","Female",50,180,0.277777777777778,"DefraSCS",0.527649769585253,1,FALSE,0.277777777777778
"132","Defra",2010,"All grades","Female",5860,10980,0.533697632058288,"DefraAll grades",0.527649769585253,1,FALSE,0.533697632058288
"134","Defra",2011,"SCS","Female",50,180,0.277777777777778,"DefraSCS",0.527649769585253,1,FALSE,0.277777777777778
"135","Defra",2011,"All grades","Female",5330,9980,0.534068136272545,"DefraAll grades",0.527649769585253,1,FALSE,0.534068136272545
"138","Defra",2012,"SCS","Female",30,140,0.214285714285714,"DefraSCS",0.527649769585253,1,FALSE,0.214285714285714
"140","Defra",2012,"All grades","Female",4810,9060,0.530905077262693,"DefraAll grades",0.527649769585253,1,FALSE,0.530905077262693
"141","Defra",2013,"SCS","Female",50,150,0.333333333333333,"DefraSCS",0.527649769585253,1,FALSE,0.333333333333333
"143","Defra",2013,"All grades","Female",4580,8680,0.527649769585253,"DefraAll grades",0.527649769585253,1,FALSE,0.527649769585253
"146","DfE",2008,"SCS","Female",90,180,0.5,"DfESCS",0.592910848549946,1,FALSE,0.5
"148","DfE",2008,"All grades","Female",3790,5920,0.640202702702703,"DfEAll grades",0.592910848549946,1,FALSE,0.640202702702703
"150","DfE",2009,"SCS","Female",110,190,0.578947368421053,"DfESCS",0.592910848549946,1,FALSE,0.578947368421053
"152","DfE",2009,"All grades","Female",3670,5740,0.639372822299652,"DfEAll grades",0.592910848549946,1,FALSE,0.639372822299652
"154","DfE",2010,"SCS","Female",100,180,0.555555555555556,"DfESCS",0.592910848549946,1,FALSE,0.555555555555556
"156","DfE",2010,"All grades","Female",3380,5250,0.643809523809524,"DfEAll grades",0.592910848549946,1,FALSE,0.643809523809524
"158","DfE",2011,"SCS","Female",100,180,0.555555555555556,"DfESCS",0.592910848549946,1,FALSE,0.555555555555556
"159","DfE",2011,"All grades","Female",2750,4600,0.597826086956522,"DfEAll grades",0.592910848549946,1,FALSE,0.597826086956522
"162","DfE",2012,"SCS","Female",80,160,0.5,"DfESCS",0.592910848549946,1,FALSE,0.5
"164","DfE",2012,"All grades","Female",2720,4550,0.597802197802198,"DfEAll grades",0.592910848549946,1,FALSE,0.597802197802198
"165","DfE",2013,"SCS","Female",170,380,0.447368421052632,"DfESCS",0.592910848549946,1,FALSE,0.447368421052632
"167","DfE",2013,"All grades","Female",5520,9310,0.592910848549946,"DfEAll grades",0.592910848549946,1,FALSE,0.592910848549946
"170","DfID",2008,"SCS","Female",40,100,0.4,"DfIDSCS",0.513812154696133,1,FALSE,0.4
"172","DfID",2008,"All grades","Female",840,1670,0.502994011976048,"DfIDAll grades",0.513812154696133,1,FALSE,0.502994011976048
"174","DfID",2009,"SCS","Female",30,100,0.3,"DfIDSCS",0.513812154696133,1,FALSE,0.3
"176","DfID",2009,"All grades","Female",830,1660,0.5,"DfIDAll grades",0.513812154696133,1,FALSE,0.5
"178","DfID",2010,"SCS","Female",30,90,0.333333333333333,"DfIDSCS",0.513812154696133,1,FALSE,0.333333333333333
"180","DfID",2010,"All grades","Female",820,1630,0.503067484662577,"DfIDAll grades",0.513812154696133,1,FALSE,0.503067484662577
"182","DfID",2011,"SCS","Female",30,80,0.375,"DfIDSCS",0.513812154696133,1,FALSE,0.375
"183","DfID",2011,"All grades","Female",830,1610,0.515527950310559,"DfIDAll grades",0.513812154696133,1,FALSE,0.515527950310559
"186","DfID",2012,"SCS","Female",30,80,0.375,"DfIDSCS",0.513812154696133,1,FALSE,0.375
"188","DfID",2012,"All grades","Female",880,1710,0.514619883040936,"DfIDAll grades",0.513812154696133,1,FALSE,0.514619883040936
"189","DfID",2013,"SCS","Female",30,80,0.375,"DfIDSCS",0.513812154696133,1,FALSE,0.375
"191","DfID",2013,"All grades","Female",930,1810,0.513812154696133,"DfIDAll grades",0.513812154696133,1,FALSE,0.513812154696133
"194","DfT",2008,"SCS","Female",60,210,0.285714285714286,"DfTSCS",0.424496644295302,1,FALSE,0.285714285714286
"196","DfT",2008,"All grades","Female",8140,19440,0.418724279835391,"DfTAll grades",0.424496644295302,1,FALSE,0.418724279835391
"198","DfT",2009,"SCS","Female",50,190,0.263157894736842,"DfTSCS",0.424496644295302,1,FALSE,0.263157894736842
"200","DfT",2009,"All grades","Female",8130,19540,0.416069600818833,"DfTAll grades",0.424496644295302,1,FALSE,0.416069600818833
"202","DfT",2010,"SCS","Female",50,210,0.238095238095238,"DfTSCS",0.424496644295302,1,FALSE,0.238095238095238
"204","DfT",2010,"All grades","Female",8170,19610,0.416624171341152,"DfTAll grades",0.424496644295302,1,FALSE,0.416624171341152
"206","DfT",2011,"SCS","Female",40,180,0.222222222222222,"DfTSCS",0.424496644295302,1,FALSE,0.222222222222222
"207","DfT",2011,"All grades","Female",7740,18610,0.415905427189683,"DfTAll grades",0.424496644295302,1,FALSE,0.415905427189683
"210","DfT",2012,"SCS","Female",60,200,0.3,"DfTSCS",0.424496644295302,1,FALSE,0.3
"212","DfT",2012,"All grades","Female",7510,17930,0.418851087562744,"DfTAll grades",0.424496644295302,1,FALSE,0.418851087562744
"213","DfT",2013,"SCS","Female",50,190,0.263157894736842,"DfTSCS",0.424496644295302,1,FALSE,0.263157894736842
"215","DfT",2013,"All grades","Female",7590,17880,0.424496644295302,"DfTAll grades",0.424496644295302,1,FALSE,0.424496644295302
"218","DH",2008,"SCS","Female",160,400,0.4,"DHSCS",0.492239467849224,1,FALSE,0.4
"220","DH",2008,"All grades","Female",2700,5670,0.476190476190476,"DHAll grades",0.492239467849224,1,FALSE,0.476190476190476
"222","DH",2009,"SCS","Female",160,410,0.390243902439024,"DHSCS",0.492239467849224,1,FALSE,0.390243902439024
"224","DH",2009,"All grades","Female",2730,5560,0.491007194244604,"DHAll grades",0.492239467849224,1,FALSE,0.491007194244604
"226","DH",2010,"SCS","Female",180,430,0.418604651162791,"DHSCS",0.492239467849224,1,FALSE,0.418604651162791
"228","DH",2010,"All grades","Female",2800,5590,0.500894454382826,"DHAll grades",0.492239467849224,1,FALSE,0.500894454382826
"230","DH",2011,"SCS","Female",170,410,0.414634146341463,"DHSCS",0.492239467849224,1,FALSE,0.414634146341463
"231","DH",2011,"All grades","Female",2610,5210,0.500959692898273,"DHAll grades",0.492239467849224,1,FALSE,0.500959692898273
"234","DH",2012,"SCS","Female",160,370,0.432432432432432,"DHSCS",0.492239467849224,1,FALSE,0.432432432432432
"236","DH",2012,"All grades","Female",2240,4580,0.489082969432314,"DHAll grades",0.492239467849224,1,FALSE,0.489082969432314
"237","DH",2013,"SCS","Female",150,370,0.405405405405405,"DHSCS",0.492239467849224,1,FALSE,0.405405405405405
"239","DH",2013,"All grades","Female",2220,4510,0.492239467849224,"DHAll grades",0.492239467849224,1,FALSE,0.492239467849224
"242","DWP",2008,"SCS","Female",130,360,0.361111111111111,"DWPSCS",0.676025120059106,1,FALSE,0.361111111111111
"244","DWP",2008,"All grades","Female",79930,117540,0.680023821677727,"DWPAll grades",0.676025120059106,1,FALSE,0.680023821677727
"246","DWP",2009,"SCS","Female",140,370,0.378378378378378,"DWPSCS",0.676025120059106,1,FALSE,0.378378378378378
"248","DWP",2009,"All grades","Female",81690,121130,0.674399405597292,"DWPAll grades",0.676025120059106,1,FALSE,0.674399405597292
