"","Group","Date","Civil.Service.grad","gradeval","Gender","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","totalgroup","yvar"
"1","BIS",2013,"AO/AA",1,"Female",-130,3140,-0.0414012738853503,"BISFemale",0.0700636942675159,0.0700636942675159,0.636942675159236,0.636942675159236,FALSE,-0.0414012738853503
"2","BIS",2013,"AO/AA",1,"Male",90,3140,0.0286624203821656,"BISMale",0.0700636942675159,0.0700636942675159,0.636942675159236,0.636942675159236,FALSE,0.0286624203821656
"3","BIS",2013,"SCS",5,"Male",130,3140,0.0414012738853503,"BISMale",0.0700636942675159,0.35031847133758,0.636942675159236,0.636942675159236,FALSE,0.0414012738853503
"4","BIS",2013,"SCS",5,"Female",-90,3140,-0.0286624203821656,"BISFemale",0.0700636942675159,0.35031847133758,0.636942675159236,0.636942675159236,FALSE,-0.0286624203821656
"5","BIS",2013,"SEO/HEO",3,"Male",650,3140,0.207006369426752,"BISMale",0.375796178343949,1.12738853503185,0.636942675159236,0.636942675159236,FALSE,0.207006369426752
"6","BIS",2013,"G6/G7",4,"Male",560,3140,0.178343949044586,"BISMale",0.334394904458599,1.33757961783439,0.636942675159236,0.636942675159236,FALSE,0.178343949044586
"7","BIS",2013,"G6/G7",4,"Female",-490,3140,-0.156050955414013,"BISFemale",0.334394904458599,1.33757961783439,0.636942675159236,0.636942675159236,FALSE,-0.156050955414013
"8","BIS",2013,"EO",2,"Male",200,3140,0.0636942675159236,"BISMale",0.14968152866242,0.299363057324841,0.636942675159236,0.636942675159236,FALSE,0.0636942675159236
"9","BIS",2013,"EO",2,"Female",-270,3140,-0.0859872611464968,"BISFemale",0.14968152866242,0.299363057324841,0.636942675159236,0.636942675159236,FALSE,-0.0859872611464968
"10","BIS",2013,"SEO/HEO",3,"Female",-530,3140,-0.168789808917197,"BISFemale",0.375796178343949,1.12738853503185,0.636942675159236,0.636942675159236,FALSE,-0.168789808917197
"11","CO",2013,"SCS",5,"Male",110,1840,0.0597826086956522,"COMale",0.0978260869565217,0.489130434782609,0.647826086956522,0.647826086956522,FALSE,0.0597826086956522
"12","CO",2013,"G6/G7",4,"Female",-290,1840,-0.157608695652174,"COFemale",0.347826086956522,1.39130434782609,0.647826086956522,0.647826086956522,FALSE,-0.157608695652174
"13","CO",2013,"SCS",5,"Female",-70,1840,-0.0380434782608696,"COFemale",0.0978260869565217,0.489130434782609,0.647826086956522,0.647826086956522,FALSE,-0.0380434782608696
"14","CO",2013,"SEO/HEO",3,"Female",-310,1840,-0.168478260869565,"COFemale",0.326086956521739,0.978260869565217,0.647826086956522,0.647826086956522,FALSE,-0.168478260869565
"15","CO",2013,"SEO/HEO",3,"Male",290,1840,0.157608695652174,"COMale",0.326086956521739,0.978260869565217,0.647826086956522,0.647826086956522,FALSE,0.157608695652174
"16","CO",2013,"AO/AA",1,"Male",70,1840,0.0380434782608696,"COMale",0.0869565217391304,0.0869565217391304,0.647826086956522,0.647826086956522,FALSE,0.0380434782608696
"17","CO",2013,"G6/G7",4,"Male",350,1840,0.190217391304348,"COMale",0.347826086956522,1.39130434782609,0.647826086956522,0.647826086956522,FALSE,0.190217391304348
"18","CO",2013,"EO",2,"Male",120,1840,0.0652173913043478,"COMale",0.146739130434783,0.293478260869565,0.647826086956522,0.647826086956522,FALSE,0.0652173913043478
"19","CO",2013,"EO",2,"Female",-150,1840,-0.0815217391304348,"COFemale",0.146739130434783,0.293478260869565,0.647826086956522,0.647826086956522,FALSE,-0.0815217391304348
"20","CO",2013,"AO/AA",1,"Female",-90,1840,-0.0489130434782609,"COFemale",0.0869565217391304,0.0869565217391304,0.647826086956522,0.647826086956522,FALSE,-0.0489130434782609
"21","DCLG",2013,"EO",2,"Female",-130,1730,-0.0751445086705202,"DCLGFemale",0.138728323699422,0.277456647398844,0.636994219653179,0.636994219653179,FALSE,-0.0751445086705202
"22","DCLG",2013,"AO/AA",1,"Male",50,1730,0.0289017341040462,"DCLGMale",0.0578034682080925,0.0578034682080925,0.636994219653179,0.636994219653179,FALSE,0.0289017341040462
"23","DCLG",2013,"AO/AA",1,"Female",-50,1730,-0.0289017341040462,"DCLGFemale",0.0578034682080925,0.0578034682080925,0.636994219653179,0.636994219653179,FALSE,-0.0289017341040462
"24","DCLG",2013,"SCS",5,"Female",-40,1730,-0.023121387283237,"DCLGFemale",0.0520231213872832,0.260115606936416,0.636994219653179,0.636994219653179,FALSE,-0.023121387283237
"25","DCLG",2013,"SCS",5,"Male",50,1730,0.0289017341040462,"DCLGMale",0.0520231213872832,0.260115606936416,0.636994219653179,0.636994219653179,FALSE,0.0289017341040462
"26","DCLG",2013,"SEO/HEO",3,"Male",350,1730,0.202312138728324,"DCLGMale",0.439306358381503,1.31791907514451,0.636994219653179,0.636994219653179,FALSE,0.202312138728324
"27","DCLG",2013,"EO",2,"Male",110,1730,0.0635838150289017,"DCLGMale",0.138728323699422,0.277456647398844,0.636994219653179,0.636994219653179,FALSE,0.0635838150289017
"28","DCLG",2013,"SEO/HEO",3,"Female",-410,1730,-0.236994219653179,"DCLGFemale",0.439306358381503,1.31791907514451,0.636994219653179,0.636994219653179,FALSE,-0.236994219653179
"29","DCLG",2013,"G6/G7",4,"Male",290,1730,0.167630057803468,"DCLGMale",0.317919075144509,1.27167630057803,0.636994219653179,0.636994219653179,FALSE,0.167630057803468
"30","DCLG",2013,"G6/G7",4,"Female",-260,1730,-0.15028901734104,"DCLGFemale",0.317919075144509,1.27167630057803,0.636994219653179,0.636994219653179,FALSE,-0.15028901734104
"31","DCMS",2013,"AO/AA",1,"Female",-10,390,-0.0256410256410256,"DCMSFemale",0.0512820512820513,0.0512820512820513,0.666666666666667,0.666666666666667,FALSE,-0.0256410256410256
"32","DCMS",2013,"SCS",5,"Female",-20,390,-0.0512820512820513,"DCMSFemale",0.102564102564103,0.512820512820513,0.666666666666667,0.666666666666667,FALSE,-0.0512820512820513
"33","DCMS",2013,"SEO/HEO",3,"Male",70,390,0.179487179487179,"DCMSMale",0.358974358974359,1.07692307692308,0.666666666666667,0.666666666666667,FALSE,0.179487179487179
"34","DCMS",2013,"SEO/HEO",3,"Female",-70,390,-0.179487179487179,"DCMSFemale",0.358974358974359,1.07692307692308,0.666666666666667,0.666666666666667,FALSE,-0.179487179487179
"35","DCMS",2013,"SCS",5,"Male",20,390,0.0512820512820513,"DCMSMale",0.102564102564103,0.512820512820513,0.666666666666667,0.666666666666667,FALSE,0.0512820512820513
"36","DCMS",2013,"G6/G7",4,"Male",70,390,0.179487179487179,"DCMSMale",0.358974358974359,1.43589743589744,0.666666666666667,0.666666666666667,FALSE,0.179487179487179
