"","Group","Date","Civil.Service.grad","Ethnic.grou","count","total","share","sorter","totalgroup","grp","yvar","minpop"
"1","BIS",2008,"SCS","Ethnic Minority",10,260,0.0384615384615385,0.0934105720492397,FALSE,"BIS SCS",0.0384615384615385,0.14
"2","BIS",2009,"All grades","Ethnic Minority",1080,8020,0.134663341645885,0.0934105720492397,FALSE,"BIS All grades",0.134663341645885,0.14
"3","BIS",2012,"All grades","Ethnic Minority",1290,13810,0.0934105720492397,0.0934105720492397,FALSE,"BIS All grades",0.0934105720492397,0.14
"4","BIS",2013,"SCS","Ethnic Minority",20,240,0.0833333333333333,0.0934105720492397,FALSE,"BIS SCS",0.0833333333333333,0.14
"5","BIS",2013,"All grades","Ethnic Minority",1340,13820,0.0969609261939219,0.0934105720492397,FALSE,"BIS All grades",0.0969609261939219,0.14
"6","BIS",2008,"All grades","Ethnic Minority",1140,8110,0.140567200986436,0.0934105720492397,FALSE,"BIS All grades",0.140567200986436,0.14
"7","BIS",2011,"All grades","Ethnic Minority",1040,7240,0.143646408839779,0.0934105720492397,FALSE,"BIS All grades",0.143646408839779,0.14
"8","BIS",2012,"SCS","Ethnic Minority",10,230,0.0434782608695652,0.0934105720492397,FALSE,"BIS SCS",0.0434782608695652,0.14
"9","BIS",2010,"All grades","Ethnic Minority",1100,7530,0.146082337317397,0.0934105720492397,FALSE,"BIS All grades",0.146082337317397,0.14
"10","BIS",2011,"SCS","Ethnic Minority",10,240,0.0416666666666667,0.0934105720492397,FALSE,"BIS SCS",0.0416666666666667,0.14
"11","BIS",2010,"SCS","Ethnic Minority",20,220,0.0909090909090909,0.0934105720492397,FALSE,"BIS SCS",0.0909090909090909,0.14
"12","BIS",2009,"SCS","Ethnic Minority",10,270,0.037037037037037,0.0934105720492397,FALSE,"BIS SCS",0.037037037037037,0.14
"13","CO",2013,"SCS","Ethnic Minority",0,90,0,0.103658536585366,FALSE,"CO SCS",0,0.14
"14","CO",2013,"All grades","Ethnic Minority",140,1430,0.0979020979020979,0.103658536585366,FALSE,"CO All grades",0.0979020979020979,0.14
"15","CO",2011,"SCS","Ethnic Minority",10,170,0.0588235294117647,0.103658536585366,FALSE,"CO SCS",0.0588235294117647,0.14
"16","CO",2012,"SCS","Ethnic Minority",0,110,0,0.103658536585366,FALSE,"CO SCS",0,0.14
"17","CO",2008,"SCS","Ethnic Minority",10,260,0.0384615384615385,0.103658536585366,FALSE,"CO SCS",0.0384615384615385,0.14
"18","CO",2011,"All grades","Ethnic Minority",200,2100,0.0952380952380952,0.103658536585366,FALSE,"CO All grades",0.0952380952380952,0.14
"19","CO",2010,"SCS","Ethnic Minority",0,170,0,0.103658536585366,FALSE,"CO SCS",0,0.14
