"","Date","Civil.Service.grad","Disability.statu","count","total","share","yvar"
"11",2008,"SCS","Disabled",130,3780,0.0343915343915344,0.0343915343915344
"13",2008,"All grades","Disabled",24620,375490,0.0655676582598738,0.0655676582598738
"26",2009,"SCS","Disabled",170,3890,0.0437017994858612,0.0437017994858612
"27",2009,"All grades","Disabled",26800,378660,0.0707758939417947,0.0707758939417947
"39",2010,"SCS","Disabled",180,3740,0.0481283422459893,0.0481283422459893
"42",2010,"All grades","Disabled",28450,375670,0.0757313599701866,0.0757313599701866
"53",2011,"SCS","Disabled",180,3550,0.0507042253521127,0.0507042253521127
"55",2011,"All grades","Disabled",28990,374220,0.0774677996900219,0.0774677996900219
"68",2012,"SCS","Disabled",140,3120,0.0448717948717949,0.0448717948717949
"70",2012,"All grades","Disabled",25760,311710,0.0826409162362452,0.0826409162362452
"81",2013,"SCS","Disabled",140,3050,0.0459016393442623,0.0459016393442623
"83",2013,"All grades","Disabled",26440,307970,0.0858525181024126,0.0858525181024126
