"","month","department","variable","value"
"1",2012-03-01,"BIS","agency",104
"2",2012-04-01,"BIS","agency",110
"3",2012-05-01,"BIS","agency",116
"4",2012-06-01,"BIS","agency",127
"5",2012-07-01,"BIS","agency",134
"6",2012-08-01,"BIS","agency",141
"7",2012-09-01,"BIS","agency",136
"8",2012-10-01,"BIS","agency",131
"9",2012-11-01,"BIS","agency",132
"10",2012-12-01,"BIS","agency",136
"11",2013-01-01,"BIS","agency",140
"12",2013-02-01,"BIS","agency",148
"13",2013-03-01,"BIS","agency",149
"14",2013-04-01,"BIS","agency",147
"15",2013-05-01,"BIS","agency",118
"16",2013-06-01,"BIS","agency",123
"17",2012-03-01,"BIS","interim",27
"18",2012-04-01,"BIS","interim",27
"19",2012-05-01,"BIS","interim",28
"20",2012-06-01,"BIS","interim",25
"21",2012-07-01,"BIS","interim",25
"22",2012-08-01,"BIS","interim",22
"23",2012-09-01,"BIS","interim",19
"24",2012-10-01,"BIS","interim",17
"25",2012-11-01,"BIS","interim",14
"26",2012-12-01,"BIS","interim",13
"27",2013-01-01,"BIS","interim",14
"28",2013-02-01,"BIS","interim",14
"29",2013-03-01,"BIS","interim",14
"30",2013-04-01,"BIS","interim",14
"31",2013-05-01,"BIS","interim",13
"32",2013-06-01,"BIS","interim",13
"33",2012-03-01,"BIS","specialist",106
"34",2012-04-01,"BIS","specialist",107
"35",2012-05-01,"BIS","specialist",104
"36",2012-06-01,"BIS","specialist",92
"37",2012-07-01,"BIS","specialist",101
"38",2012-08-01,"BIS","specialist",105
"39",2012-09-01,"BIS","specialist",107
"40",2012-10-01,"BIS","specialist",104
"41",2012-11-01,"BIS","specialist",101
"42",2012-12-01,"BIS","specialist",100
"43",2013-01-01,"BIS","specialist",97
"44",2013-02-01,"BIS","specialist",99
"45",2013-03-01,"BIS","specialist",106
"46",2013-04-01,"BIS","specialist",106
"47",2013-05-01,"BIS","specialist",107
"48",2013-06-01,"BIS","specialist",103
"49",2012-03-01,"BIS","consultant",88
"50",2012-04-01,"BIS","consultant",91
"51",2012-05-01,"BIS","consultant",96
"52",2012-06-01,"BIS","consultant",97
"53",2012-07-01,"BIS","consultant",97
"54",2012-08-01,"BIS","consultant",94
"55",2012-09-01,"BIS","consultant",90
"56",2012-10-01,"BIS","consultant",81
"57",2012-11-01,"BIS","consultant",74
"58",2012-12-01,"BIS","consultant",89
"59",2013-01-01,"BIS","consultant",94
"60",2013-02-01,"BIS","consultant",102
"61",2013-03-01,"BIS","consultant",108
"62",2013-04-01,"BIS","consultant",108
"63",2013-05-01,"BIS","consultant",97
"64",2013-06-01,"BIS","consultant",98
"65",2012-03-01,"CO","agency",6
"66",2012-04-01,"CO","agency",4
"67",2012-05-01,"CO","agency",15
"68",2012-06-01,"CO","agency",3
"69",2012-07-01,"CO","agency",4
"70",2012-08-01,"CO","agency",3
"71",2012-09-01,"CO","agency",4
"72",2012-10-01,"CO","agency",4
"73",2012-11-01,"CO","agency",3
"74",2012-12-01,"CO","agency",3
"75",2013-01-01,"CO","agency",4
"76",2013-02-01,"CO","agency",4
"77",2013-03-01,"CO","agency",4
"78",2013-04-01,"CO","agency",4
"79",2013-05-01,"CO","agency",5
"80",2013-06-01,"CO","agency",5
"81",2013-07-01,"CO","agency",4
"82",2013-08-01,"CO","agency",4.75
"83",2013-09-01,"CO","agency",5.75
"84",2013-10-01,"CO","agency",3.75
"85",2013-11-01,"CO","agency",3.75
"86",2013-12-01,"CO","agency",6.75
"87",2014-01-01,"CO","agency",2.75
"88",2014-02-01,"CO","agency",5.75
"89",2014-03-01,"CO","agency",4.75
"90",2012-03-01,"CO","interim",66.35
"91",2012-04-01,"CO","interim",53.6
"92",2012-05-01,"CO","interim",75
"93",2012-06-01,"CO","interim",65.58
