"","Age.band","Group","Date","Gender","count","total","share","gradeval","sorter","totalgroup","yvar"
"1","< 29","HMT",2008,"Female",170,1170,-0.145299145299145,1,4.32478632478632,FALSE,-0.145299145299145
"2","< 29","HMT",2009,"Female",210,1330,-0.157894736842105,1,4.22556390977444,FALSE,-0.157894736842105
"3","< 29","HMT",2010,"Female",220,1440,-0.152777777777778,1,4.20833333333333,FALSE,-0.152777777777778
"4","< 29","HMT",2011,"Female",210,1350,-0.155555555555556,1,4.32592592592593,FALSE,-0.155555555555556
"5","< 29","HMT",2012,"Female",120,1070,-0.11214953271028,1,4.57943925233645,FALSE,-0.11214953271028
"6","< 29","HMT",2013,"Female",180,1240,-0.145161290322581,1,4.2258064516129,FALSE,-0.145161290322581
"7","< 29","HMT",2008,"Male",240,1170,0.205128205128205,1,4.32478632478632,FALSE,0.205128205128205
"8","< 29","HMT",2009,"Male",260,1330,0.195488721804511,1,4.22556390977444,FALSE,0.195488721804511
"9","< 29","HMT",2010,"Male",280,1440,0.194444444444444,1,4.20833333333333,FALSE,0.194444444444444
"10","< 29","HMT",2011,"Male",230,1350,0.17037037037037,1,4.32592592592593,FALSE,0.17037037037037
"11","< 29","HMT",2012,"Male",150,1070,0.14018691588785,1,4.57943925233645,FALSE,0.14018691588785
"12","< 29","HMT",2013,"Male",230,1240,0.185483870967742,1,4.2258064516129,FALSE,0.185483870967742
"13","30-39","HMT",2008,"Female",160,1170,-0.136752136752137,2,4.32478632478632,FALSE,-0.136752136752137
"14","30-39","HMT",2009,"Female",210,1330,-0.157894736842105,2,4.22556390977444,FALSE,-0.157894736842105
"15","30-39","HMT",2010,"Female",220,1440,-0.152777777777778,2,4.20833333333333,FALSE,-0.152777777777778
"16","30-39","HMT",2011,"Female",220,1350,-0.162962962962963,2,4.32592592592593,FALSE,-0.162962962962963
"17","30-39","HMT",2012,"Female",210,1070,-0.196261682242991,2,4.57943925233645,FALSE,-0.196261682242991
"18","30-39","HMT",2013,"Female",220,1240,-0.17741935483871,2,4.2258064516129,FALSE,-0.17741935483871
"19","30-39","HMT",2008,"Male",190,1170,0.162393162393162,2,4.32478632478632,FALSE,0.162393162393162
"20","30-39","HMT",2009,"Male",220,1330,0.165413533834586,2,4.22556390977444,FALSE,0.165413533834586
"21","30-39","HMT",2010,"Male",270,1440,0.1875,2,4.20833333333333,FALSE,0.1875
"22","30-39","HMT",2011,"Male",250,1350,0.185185185185185,2,4.32592592592593,FALSE,0.185185185185185
"23","30-39","HMT",2012,"Male",210,1070,0.196261682242991,2,4.57943925233645,FALSE,0.196261682242991
"24","30-39","HMT",2013,"Male",230,1240,0.185483870967742,2,4.2258064516129,FALSE,0.185483870967742
"25","40-49","HMT",2008,"Female",110,1170,-0.094017094017094,3,4.32478632478632,FALSE,-0.094017094017094
"26","40-49","HMT",2009,"Female",120,1330,-0.0902255639097744,3,4.22556390977444,FALSE,-0.0902255639097744
"27","40-49","HMT",2010,"Female",130,1440,-0.0902777777777778,3,4.20833333333333,FALSE,-0.0902777777777778
"28","40-49","HMT",2011,"Female",120,1350,-0.0888888888888889,3,4.32592592592593,FALSE,-0.0888888888888889
"29","40-49","HMT",2012,"Female",100,1070,-0.0934579439252336,3,4.57943925233645,FALSE,-0.0934579439252336
"30","40-49","HMT",2013,"Female",120,1240,-0.0967741935483871,3,4.2258064516129,FALSE,-0.0967741935483871
"31","40-49","HMT",2008,"Male",130,1170,0.111111111111111,3,4.32478632478632,FALSE,0.111111111111111
"32","40-49","HMT",2009,"Male",140,1330,0.105263157894737,3,4.22556390977444,FALSE,0.105263157894737
"33","40-49","HMT",2010,"Male",140,1440,0.0972222222222222,3,4.20833333333333,FALSE,0.0972222222222222
"34","40-49","HMT",2011,"Male",130,1350,0.0962962962962963,3,4.32592592592593,FALSE,0.0962962962962963
"35","40-49","HMT",2012,"Male",110,1070,0.102803738317757,3,4.57943925233645,FALSE,0.102803738317757
"36","40-49","HMT",2013,"Male",110,1240,0.0887096774193548,3,4.2258064516129,FALSE,0.0887096774193548
"37","50-59","HMT",2008,"Female",60,1170,-0.0512820512820513,4,4.32478632478632,FALSE,-0.0512820512820513
"38","50-59","HMT",2009,"Female",60,1330,-0.0451127819548872,4,4.22556390977444,FALSE,-0.0451127819548872
"39","50-59","HMT",2010,"Female",70,1440,-0.0486111111111111,4,4.20833333333333,FALSE,-0.0486111111111111
"40","50-59","HMT",2011,"Female",70,1350,-0.0518518518518519,4,4.32592592592593,FALSE,-0.0518518518518519
"41","50-59","HMT",2012,"Female",60,1070,-0.0560747663551402,4,4.57943925233645,FALSE,-0.0560747663551402
"42","50-59","HMT",2013,"Female",60,1240,-0.0483870967741935,4,4.2258064516129,FALSE,-0.0483870967741935
"43","50-59","HMT",2008,"Male",90,1170,0.0769230769230769,4,4.32478632478632,FALSE,0.0769230769230769
"44","50-59","HMT",2009,"Male",90,1330,0.0676691729323308,4,4.22556390977444,FALSE,0.0676691729323308
"45","50-59","HMT",2010,"Male",90,1440,0.0625,4,4.20833333333333,FALSE,0.0625
