"","Age.band","Group","Date","count","total","share","gradeval","sorter","totalgroup","share2","left","grp","yvar"
"1","< 29","HMT",2010,500,1440,0.347222222222222,1,5.68253968253968,FALSE,-0.173611111111111,FALSE,"FALSE2010",-0.173611111111111
"2","30-39","HMT",2010,490,1440,0.340277777777778,2,5.68253968253968,FALSE,-0.170138888888889,FALSE,"FALSE2010",-0.170138888888889
"3","40-49","HMT",2010,270,1440,0.1875,3,5.68253968253968,FALSE,-0.09375,FALSE,"FALSE2010",-0.09375
"4","50-59","HMT",2010,160,1440,0.111111111111111,4,5.68253968253968,FALSE,-0.0555555555555556,FALSE,"FALSE2010",-0.0555555555555556
"5","60-64","HMT",2010,20,1440,0.0138888888888889,5,5.68253968253968,FALSE,-0.00694444444444444,FALSE,"FALSE2010",-0.00694444444444444
"6","65 +","HMT",2010,0,1440,0,6,5.68253968253968,FALSE,0,FALSE,"FALSE2010",0
"7","< 29","HMT",2013,410,1260,0.325396825396825,1,5.68253968253968,FALSE,-0.162698412698413,FALSE,"FALSE2013",-0.162698412698413
"8","30-39","HMT",2013,450,1260,0.357142857142857,2,5.68253968253968,FALSE,-0.178571428571429,FALSE,"FALSE2013",-0.178571428571429
"9","40-49","HMT",2013,230,1260,0.182539682539683,3,5.68253968253968,FALSE,-0.0912698412698413,FALSE,"FALSE2013",-0.0912698412698413
"10","50-59","HMT",2013,140,1260,0.111111111111111,4,5.68253968253968,FALSE,-0.0555555555555556,FALSE,"FALSE2013",-0.0555555555555556
"11","60-64","HMT",2013,20,1260,0.0158730158730159,5,5.68253968253968,FALSE,-0.00793650793650794,FALSE,"FALSE2013",-0.00793650793650794
"12","65 +","HMT",2013,10,1260,0.00793650793650794,6,5.68253968253968,FALSE,-0.00396825396825397,FALSE,"FALSE2013",-0.00396825396825397
"13","< 29","HMT",2010,500,1440,0.347222222222222,1,5.68253968253968,FALSE,0.173611111111111,TRUE,"TRUE2010",0.173611111111111
"14","30-39","HMT",2010,490,1440,0.340277777777778,2,5.68253968253968,FALSE,0.170138888888889,TRUE,"TRUE2010",0.170138888888889
"15","40-49","HMT",2010,270,1440,0.1875,3,5.68253968253968,FALSE,0.09375,TRUE,"TRUE2010",0.09375
"16","50-59","HMT",2010,160,1440,0.111111111111111,4,5.68253968253968,FALSE,0.0555555555555556,TRUE,"TRUE2010",0.0555555555555556
"17","60-64","HMT",2010,20,1440,0.0138888888888889,5,5.68253968253968,FALSE,0.00694444444444444,TRUE,"TRUE2010",0.00694444444444444
"18","65 +","HMT",2010,0,1440,0,6,5.68253968253968,FALSE,0,TRUE,"TRUE2010",0
"19","< 29","HMT",2013,410,1260,0.325396825396825,1,5.68253968253968,FALSE,0.162698412698413,TRUE,"TRUE2013",0.162698412698413
"20","30-39","HMT",2013,450,1260,0.357142857142857,2,5.68253968253968,FALSE,0.178571428571429,TRUE,"TRUE2013",0.178571428571429
"21","40-49","HMT",2013,230,1260,0.182539682539683,3,5.68253968253968,FALSE,0.0912698412698413,TRUE,"TRUE2013",0.0912698412698413
"22","50-59","HMT",2013,140,1260,0.111111111111111,4,5.68253968253968,FALSE,0.0555555555555556,TRUE,"TRUE2013",0.0555555555555556
"23","60-64","HMT",2013,20,1260,0.0158730158730159,5,5.68253968253968,FALSE,0.00793650793650794,TRUE,"TRUE2013",0.00793650793650794
"24","65 +","HMT",2013,10,1260,0.00793650793650794,6,5.68253968253968,FALSE,0.00396825396825397,TRUE,"TRUE2013",0.00396825396825397
"25","< 29","CO",2010,290,1260,0.23015873015873,1,5.91304347826087,FALSE,-0.115079365079365,FALSE,"FALSE2010",-0.115079365079365
"26","30-39","CO",2010,390,1260,0.30952380952381,2,5.91304347826087,FALSE,-0.154761904761905,FALSE,"FALSE2010",-0.154761904761905
"27","40-49","CO",2010,330,1260,0.261904761904762,3,5.91304347826087,FALSE,-0.130952380952381,FALSE,"FALSE2010",-0.130952380952381
"28","50-59","CO",2010,210,1260,0.166666666666667,4,5.91304347826087,FALSE,-0.0833333333333333,FALSE,"FALSE2010",-0.0833333333333333
"29","60-64","CO",2010,40,1260,0.0317460317460317,5,5.91304347826087,FALSE,-0.0158730158730159,FALSE,"FALSE2010",-0.0158730158730159
"30","65 +","CO",2010,0,1260,0,6,5.91304347826087,FALSE,0,FALSE,"FALSE2010",0
"31","< 29","CO",2013,380,1840,0.206521739130435,1,5.91304347826087,FALSE,-0.103260869565217,FALSE,"FALSE2013",-0.103260869565217
"32","30-39","CO",2013,660,1840,0.358695652173913,2,5.91304347826087,FALSE,-0.179347826086957,FALSE,"FALSE2013",-0.179347826086957
"33","40-49","CO",2013,460,1840,0.25,3,5.91304347826087,FALSE,-0.125,FALSE,"FALSE2013",-0.125
"34","50-59","CO",2013,300,1840,0.16304347826087,4,5.91304347826087,FALSE,-0.0815217391304348,FALSE,"FALSE2013",-0.0815217391304348
"35","60-64","CO",2013,30,1840,0.016304347826087,5,5.91304347826087,FALSE,-0.00815217391304348,FALSE,"FALSE2013",-0.00815217391304348
"36","65 +","CO",2013,10,1840,0.00543478260869565,6,5.91304347826087,FALSE,-0.00271739130434783,FALSE,"FALSE2013",-0.00271739130434783
"37","< 29","CO",2010,290,1260,0.23015873015873,1,5.91304347826087,FALSE,0.115079365079365,TRUE,"TRUE2010",0.115079365079365
"38","30-39","CO",2010,390,1260,0.30952380952381,2,5.91304347826087,FALSE,0.154761904761905,TRUE,"TRUE2010",0.154761904761905
"39","40-49","CO",2010,330,1260,0.261904761904762,3,5.91304347826087,FALSE,0.130952380952381,TRUE,"TRUE2010",0.130952380952381
"40","50-59","CO",2010,210,1260,0.166666666666667,4,5.91304347826087,FALSE,0.0833333333333333,TRUE,"TRUE2010",0.0833333333333333
"41","60-64","CO",2010,40,1260,0.0317460317460317,5,5.91304347826087,FALSE,0.0158730158730159,TRUE,"TRUE2010",0.0158730158730159
"42","65 +","CO",2010,0,1260,0,6,5.91304347826087,FALSE,0,TRUE,"TRUE2010",0
"43","< 29","CO",2013,380,1840,0.206521739130435,1,5.91304347826087,FALSE,0.103260869565217,TRUE,"TRUE2013",0.103260869565217
"44","30-39","CO",2013,660,1840,0.358695652173913,2,5.91304347826087,FALSE,0.179347826086957,TRUE,"TRUE2013",0.179347826086957
"45","40-49","CO",2013,460,1840,0.25,3,5.91304347826087,FALSE,0.125,TRUE,"TRUE2013",0.125
"46","50-59","CO",2013,300,1840,0.16304347826087,4,5.91304347826087,FALSE,0.0815217391304348,TRUE,"TRUE2013",0.0815217391304348
"47","60-64","CO",2013,30,1840,0.016304347826087,5,5.91304347826087,FALSE,0.00815217391304348,TRUE,"TRUE2013",0.00815217391304348
"48","65 +","CO",2013,10,1840,0.00543478260869565,6,5.91304347826087,FALSE,0.00271739130434783,TRUE,"TRUE2013",0.00271739130434783
"49","< 29","DECC",2010,190,1050,0.180952380952381,1,5.94520547945205,FALSE,-0.0904761904761905,FALSE,"FALSE2010",-0.0904761904761905
"50","30-39","DECC",2010,360,1050,0.342857142857143,2,5.94520547945205,FALSE,-0.171428571428571,FALSE,"FALSE2010",-0.171428571428571
"51","40-49","DECC",2010,300,1050,0.285714285714286,3,5.94520547945205,FALSE,-0.142857142857143,FALSE,"FALSE2010",-0.142857142857143
"52","50-59","DECC",2010,170,1050,0.161904761904762,4,5.94520547945205,FALSE,-0.080952380952381,FALSE,"FALSE2010",-0.080952380952381
"53","60-64","DECC",2010,30,1050,0.0285714285714286,5,5.94520547945205,FALSE,-0.0142857142857143,FALSE,"FALSE2010",-0.0142857142857143
"54","65 +","DECC",2010,0,1050,0,6,5.94520547945205,FALSE,0,FALSE,"FALSE2010",0
"55","< 29","DECC",2013,250,1460,0.171232876712329,1,5.94520547945205,FALSE,-0.0856164383561644,FALSE,"FALSE2013",-0.0856164383561644
"56","30-39","DECC",2013,560,1460,0.383561643835616,2,5.94520547945205,FALSE,-0.191780821917808,FALSE,"FALSE2013",-0.191780821917808
"57","40-49","DECC",2013,370,1460,0.253424657534247,3,5.94520547945205,FALSE,-0.126712328767123,FALSE,"FALSE2013",-0.126712328767123
"58","50-59","DECC",2013,240,1460,0.164383561643836,4,5.94520547945205,FALSE,-0.0821917808219178,FALSE,"FALSE2013",-0.0821917808219178
"59","60-64","DECC",2013,30,1460,0.0205479452054795,5,5.94520547945205,FALSE,-0.0102739726027397,FALSE,"FALSE2013",-0.0102739726027397
