"","Group","Date","Disability.statu","Civil.Service.grad","count","total","share","sorter","totalgroup","grp","yvar"
"1","BIS",2008,"Disabled","SCS",10,350,0.0285714285714286,0.0620538165842943,FALSE,"BISSCS",0.0285714285714286
"2","BIS",2008,"Disabled","All grades",360,10790,0.0333642261353105,0.0620538165842943,FALSE,"BISAll grades",0.0333642261353105
"3","BIS",2009,"Disabled","SCS",10,360,0.0277777777777778,0.0620538165842943,FALSE,"BISSCS",0.0277777777777778
"4","BIS",2009,"Disabled","All grades",480,10600,0.0452830188679245,0.0620538165842943,FALSE,"BISAll grades",0.0452830188679245
"5","BIS",2010,"Disabled","SCS",10,380,0.0263157894736842,0.0620538165842943,FALSE,"BISSCS",0.0263157894736842
"6","BIS",2010,"Disabled","All grades",810,10880,0.0744485294117647,0.0620538165842943,FALSE,"BISAll grades",0.0744485294117647
"7","BIS",2011,"Disabled","SCS",10,410,0.024390243902439,0.0620538165842943,FALSE,"BISSCS",0.024390243902439
"8","BIS",2011,"Disabled","All grades",830,11810,0.0702794242167655,0.0620538165842943,FALSE,"BISAll grades",0.0702794242167655
"9","BIS",2012,"Disabled","SCS",10,410,0.024390243902439,0.0620538165842943,FALSE,"BISSCS",0.024390243902439
"10","BIS",2012,"Disabled","All grades",1100,17910,0.0614182021217197,0.0620538165842943,FALSE,"BISAll grades",0.0614182021217197
"11","BIS",2013,"Disabled","SCS",10,420,0.0238095238095238,0.0620538165842943,FALSE,"BISSCS",0.0238095238095238
"12","BIS",2013,"Disabled","All grades",1130,18210,0.0620538165842943,0.0620538165842943,FALSE,"BISAll grades",0.0620538165842943
"13","CO",2008,"Disabled","SCS",0,240,0,0.0263157894736842,FALSE,"COSCS",0
"14","CO",2008,"Disabled","All grades",110,3100,0.0354838709677419,0.0263157894736842,FALSE,"COAll grades",0.0354838709677419
"15","CO",2009,"Disabled","SCS",10,240,0.0416666666666667,0.0263157894736842,FALSE,"COSCS",0.0416666666666667
"16","CO",2009,"Disabled","All grades",120,3270,0.036697247706422,0.0263157894736842,FALSE,"COAll grades",0.036697247706422
"17","CO",2010,"Disabled","SCS",10,260,0.0384615384615385,0.0263157894736842,FALSE,"COSCS",0.0384615384615385
"18","CO",2010,"Disabled","All grades",130,3280,0.0396341463414634,0.0263157894736842,FALSE,"COAll grades",0.0396341463414634
"19","CO",2011,"Disabled","SCS",10,260,0.0384615384615385,0.0263157894736842,FALSE,"COSCS",0.0384615384615385
"20","CO",2011,"Disabled","All grades",110,3080,0.0357142857142857,0.0263157894736842,FALSE,"COAll grades",0.0357142857142857
"21","CO",2012,"Disabled","SCS",0,250,0,0.0263157894736842,FALSE,"COSCS",0
"22","CO",2012,"Disabled","All grades",90,2740,0.0328467153284672,0.0263157894736842,FALSE,"COAll grades",0.0328467153284672
"23","CO",2013,"Disabled","SCS",0,250,0,0.0263157894736842,FALSE,"COSCS",0
"24","CO",2013,"Disabled","All grades",70,2660,0.0263157894736842,0.0263157894736842,FALSE,"COAll grades",0.0263157894736842
"25","DCLG",2008,"Disabled","SCS",0,190,0,0.048,FALSE,"DCLGSCS",0
"26","DCLG",2008,"Disabled","All grades",230,5530,0.0415913200723327,0.048,FALSE,"DCLGAll grades",0.0415913200723327
"27","DCLG",2009,"Disabled","SCS",10,140,0.0714285714285714,0.048,FALSE,"DCLGSCS",0.0714285714285714
"28","DCLG",2009,"Disabled","All grades",260,5070,0.0512820512820513,0.048,FALSE,"DCLGAll grades",0.0512820512820513
"29","DCLG",2010,"Disabled","SCS",10,140,0.0714285714285714,0.048,FALSE,"DCLGSCS",0.0714285714285714
"30","DCLG",2010,"Disabled","All grades",240,4930,0.0486815415821501,0.048,FALSE,"DCLGAll grades",0.0486815415821501
"31","DCLG",2011,"Disabled","SCS",10,140,0.0714285714285714,0.048,FALSE,"DCLGSCS",0.0714285714285714
"32","DCLG",2011,"Disabled","All grades",230,4400,0.0522727272727273,0.048,FALSE,"DCLGAll grades",0.0522727272727273
"33","DCLG",2012,"Disabled","SCS",0,90,0,0.048,FALSE,"DCLGSCS",0
"34","DCLG",2012,"Disabled","All grades",150,2770,0.0541516245487365,0.048,FALSE,"DCLGAll grades",0.0541516245487365
"35","DCLG",2013,"Disabled","SCS",0,100,0,0.048,FALSE,"DCLGSCS",0
"36","DCLG",2013,"Disabled","All grades",120,2500,0.048,0.048,FALSE,"DCLGAll grades",0.048
"37","DCMS",2008,"Disabled","SCS",0,30,0,0.0588235294117647,FALSE,"DCMSSCS",0
"38","DCMS",2008,"Disabled","All grades",10,580,0.0172413793103448,0.0588235294117647,FALSE,"DCMSAll grades",0.0172413793103448
"39","DCMS",2009,"Disabled","SCS",0,60,0,0.0588235294117647,FALSE,"DCMSSCS",0
"40","DCMS",2009,"Disabled","All grades",30,760,0.0394736842105263,0.0588235294117647,FALSE,"DCMSAll grades",0.0394736842105263
"41","DCMS",2010,"Disabled","SCS",0,70,0,0.0588235294117647,FALSE,"DCMSSCS",0
"42","DCMS",2010,"Disabled","All grades",40,860,0.0465116279069767,0.0588235294117647,FALSE,"DCMSAll grades",0.0465116279069767
"43","DCMS",2011,"Disabled","SCS",0,70,0,0.0588235294117647,FALSE,"DCMSSCS",0
"44","DCMS",2011,"Disabled","All grades",40,780,0.0512820512820513,0.0588235294117647,FALSE,"DCMSAll grades",0.0512820512820513
"45","DCMS",2012,"Disabled","SCS",0,40,0,0.0588235294117647,FALSE,"DCMSSCS",0
"46","DCMS",2012,"Disabled","All grades",20,590,0.0338983050847458,0.0588235294117647,FALSE,"DCMSAll grades",0.0338983050847458
"47","DCMS",2013,"Disabled","SCS",0,40,0,0.0588235294117647,FALSE,"DCMSSCS",0
"48","DCMS",2013,"Disabled","All grades",30,510,0.0588235294117647,0.0588235294117647,FALSE,"DCMSAll grades",0.0588235294117647
"49","DECC",2008,"Disabled","SCS",0,0,NA,0.0547945205479452,FALSE,"DECCSCS",NA
"50","DECC",2008,"Disabled","All grades",0,0,NA,0.0547945205479452,FALSE,"DECCAll grades",NA
"51","DECC",2009,"Disabled","SCS",0,60,0,0.0547945205479452,FALSE,"DECCSCS",0
"52","DECC",2009,"Disabled","All grades",40,910,0.043956043956044,0.0547945205479452,FALSE,"DECCAll grades",0.043956043956044
"53","DECC",2010,"Disabled","SCS",0,80,0,0.0547945205479452,FALSE,"DECCSCS",0
"54","DECC",2010,"Disabled","All grades",50,1050,0.0476190476190476,0.0547945205479452,FALSE,"DECCAll grades",0.0476190476190476
"55","DECC",2011,"Disabled","SCS",0,80,0,0.0547945205479452,FALSE,"DECCSCS",0
