"","Group","Gender","Date","Civil.Service.grad","count","total","share","grp","sorter","totalgroup","yvar"
"1","BIS","Female",2008,"SCS",100,350,0.285714285714286,"BISSenior Civil Service",0.501922020867655,FALSE,0.285714285714286
"2","BIS","Female",2008,"All grades",5450,10790,0.505097312326228,"BISTotal",0.501922020867655,FALSE,0.505097312326228
"3","BIS","Female",2009,"SCS",130,360,0.361111111111111,"BISSenior Civil Service",0.501922020867655,FALSE,0.361111111111111
"4","BIS","Female",2009,"All grades",5430,10600,0.512264150943396,"BISTotal",0.501922020867655,FALSE,0.512264150943396
"5","BIS","Female",2010,"SCS",140,380,0.368421052631579,"BISSenior Civil Service",0.501922020867655,FALSE,0.368421052631579
"6","BIS","Female",2010,"All grades",5590,10880,0.513786764705882,"BISTotal",0.501922020867655,FALSE,0.513786764705882
"7","BIS","Female",2011,"SCS",160,410,0.390243902439024,"BISSenior Civil Service",0.501922020867655,FALSE,0.390243902439024
"8","BIS","Female",2011,"All grades",6250,11810,0.529212531752752,"BISTotal",0.501922020867655,FALSE,0.529212531752752
"9","BIS","Female",2012,"SCS",150,410,0.365853658536585,"BISSenior Civil Service",0.501922020867655,FALSE,0.365853658536585
"10","BIS","Female",2012,"All grades",9010,17910,0.503070910106086,"BISTotal",0.501922020867655,FALSE,0.503070910106086
"11","BIS","Female",2013,"SCS",160,420,0.380952380952381,"BISSenior Civil Service",0.501922020867655,FALSE,0.380952380952381
"12","BIS","Female",2013,"All grades",9140,18210,0.501922020867655,"BISTotal",0.501922020867655,FALSE,0.501922020867655
"13","CO","Female",2008,"SCS",90,240,0.375,"COSenior Civil Service",0.492481203007519,FALSE,0.375
"14","CO","Female",2008,"All grades",1660,3100,0.535483870967742,"COTotal",0.492481203007519,FALSE,0.535483870967742
"15","CO","Female",2009,"SCS",100,240,0.416666666666667,"COSenior Civil Service",0.492481203007519,FALSE,0.416666666666667
"16","CO","Female",2009,"All grades",1810,3270,0.553516819571865,"COTotal",0.492481203007519,FALSE,0.553516819571865
"17","CO","Female",2010,"SCS",110,260,0.423076923076923,"COSenior Civil Service",0.492481203007519,FALSE,0.423076923076923
"18","CO","Female",2010,"All grades",1810,3280,0.551829268292683,"COTotal",0.492481203007519,FALSE,0.551829268292683
"19","CO","Female",2011,"SCS",110,260,0.423076923076923,"COSenior Civil Service",0.492481203007519,FALSE,0.423076923076923
"20","CO","Female",2011,"All grades",1670,3080,0.542207792207792,"COTotal",0.492481203007519,FALSE,0.542207792207792
"21","CO","Female",2012,"SCS",90,250,0.36,"COSenior Civil Service",0.492481203007519,FALSE,0.36
"22","CO","Female",2012,"All grades",1390,2740,0.507299270072993,"COTotal",0.492481203007519,FALSE,0.507299270072993
"23","CO","Female",2013,"SCS",90,250,0.36,"COSenior Civil Service",0.492481203007519,FALSE,0.36
"24","CO","Female",2013,"All grades",1310,2660,0.492481203007519,"COTotal",0.492481203007519,FALSE,0.492481203007519
"25","DCLG","Female",2008,"SCS",80,190,0.421052631578947,"DCLGSenior Civil Service",0.484,FALSE,0.421052631578947
"26","DCLG","Female",2008,"All grades",2330,5530,0.421338155515371,"DCLGTotal",0.484,FALSE,0.421338155515371
"27","DCLG","Female",2009,"SCS",50,140,0.357142857142857,"DCLGSenior Civil Service",0.484,FALSE,0.357142857142857
"28","DCLG","Female",2009,"All grades",2090,5070,0.412228796844181,"DCLGTotal",0.484,FALSE,0.412228796844181
"29","DCLG","Female",2010,"SCS",50,140,0.357142857142857,"DCLGSenior Civil Service",0.484,FALSE,0.357142857142857
"30","DCLG","Female",2010,"All grades",2040,4930,0.413793103448276,"DCLGTotal",0.484,FALSE,0.413793103448276
"31","DCLG","Female",2011,"SCS",50,140,0.357142857142857,"DCLGSenior Civil Service",0.484,FALSE,0.357142857142857
"32","DCLG","Female",2011,"All grades",1850,4400,0.420454545454545,"DCLGTotal",0.484,FALSE,0.420454545454545
"33","DCLG","Female",2012,"SCS",40,90,0.444444444444444,"DCLGSenior Civil Service",0.484,FALSE,0.444444444444444
"34","DCLG","Female",2012,"All grades",1320,2770,0.476534296028881,"DCLGTotal",0.484,FALSE,0.476534296028881
"35","DCLG","Female",2013,"SCS",40,100,0.4,"DCLGSenior Civil Service",0.484,FALSE,0.4
"36","DCLG","Female",2013,"All grades",1210,2500,0.484,"DCLGTotal",0.484,FALSE,0.484
"37","DCMS","Female",2008,"SCS",10,30,0.333333333333333,"DCMSSenior Civil Service",0.490196078431373,FALSE,0.333333333333333
"38","DCMS","Female",2008,"All grades",260,580,0.448275862068966,"DCMSTotal",0.490196078431373,FALSE,0.448275862068966
"39","DCMS","Female",2009,"SCS",20,60,0.333333333333333,"DCMSSenior Civil Service",0.490196078431373,FALSE,0.333333333333333
"40","DCMS","Female",2009,"All grades",390,760,0.513157894736842,"DCMSTotal",0.490196078431373,FALSE,0.513157894736842
"41","DCMS","Female",2010,"SCS",40,70,0.571428571428571,"DCMSSenior Civil Service",0.490196078431373,FALSE,0.571428571428571
"42","DCMS","Female",2010,"All grades",420,860,0.488372093023256,"DCMSTotal",0.490196078431373,FALSE,0.488372093023256
"43","DCMS","Female",2011,"SCS",40,70,0.571428571428571,"DCMSSenior Civil Service",0.490196078431373,FALSE,0.571428571428571
"44","DCMS","Female",2011,"All grades",400,780,0.512820512820513,"DCMSTotal",0.490196078431373,FALSE,0.512820512820513
"45","DCMS","Female",2012,"SCS",20,40,0.5,"DCMSSenior Civil Service",0.490196078431373,FALSE,0.5
"46","DCMS","Female",2012,"All grades",270,590,0.457627118644068,"DCMSTotal",0.490196078431373,FALSE,0.457627118644068
"47","DCMS","Female",2013,"SCS",20,40,0.5,"DCMSSenior Civil Service",0.490196078431373,FALSE,0.5
"48","DCMS","Female",2013,"All grades",250,510,0.490196078431373,"DCMSTotal",0.490196078431373,FALSE,0.490196078431373
"49","DECC","Female",2008,"SCS",0,0,NA,"DECCSenior Civil Service",0.465753424657534,FALSE,NA
"50","DECC","Female",2008,"All grades",0,0,NA,"DECCTotal",0.465753424657534,FALSE,NA
"51","DECC","Female",2009,"SCS",10,60,0.166666666666667,"DECCSenior Civil Service",0.465753424657534,FALSE,0.166666666666667
"52","DECC","Female",2009,"All grades",380,910,0.417582417582418,"DECCTotal",0.465753424657534,FALSE,0.417582417582418
"53","DECC","Female",2010,"SCS",20,80,0.25,"DECCSenior Civil Service",0.465753424657534,FALSE,0.25
"54","DECC","Female",2010,"All grades",460,1050,0.438095238095238,"DECCTotal",0.465753424657534,FALSE,0.438095238095238
"55","DECC","Female",2011,"SCS",20,80,0.25,"DECCSenior Civil Service",0.465753424657534,FALSE,0.25
"56","DECC","Female",2011,"All grades",520,1170,0.444444444444444,"DECCTotal",0.465753424657534,FALSE,0.444444444444444
"57","DECC","Female",2012,"SCS",30,90,0.333333333333333,"DECCSenior Civil Service",0.465753424657534,FALSE,0.333333333333333
"58","DECC","Female",2012,"All grades",590,1310,0.450381679389313,"DECCTotal",0.465753424657534,FALSE,0.450381679389313
"59","DECC","Female",2013,"SCS",30,90,0.333333333333333,"DECCSenior Civil Service",0.465753424657534,FALSE,0.333333333333333
