"","Civil.Service.grad","gradeval","Group","Whitehall","Gender","Date","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","totalgroup","yvar"
"1","AO/AA",1,"DfE","WH","Female",2013,-310,6530,-0.0474732006125574,"DfEFemale",0.0643185298621746,0.0643185298621746,0.618376722817764,0.618376722817764,FALSE,-0.0474732006125574
"2","AO/AA",1,"DWP","WH","Female",2013,-36000,108280,-0.332471370520872,"DWPFemale",0.470077576653122,0.470077576653122,0.340265977096417,0.340265977096417,FALSE,-0.332471370520872
"3","AO/AA",1,"DECC","WH","Female",2013,-50,1460,-0.0342465753424658,"DECCFemale",0.0547945205479452,0.0547945205479452,0.676712328767123,0.676712328767123,FALSE,-0.0342465753424658
"4","AO/AA",1,"DCLG","WH","Female",2013,-50,1730,-0.0289017341040462,"DCLGFemale",0.0578034682080925,0.0578034682080925,0.636994219653179,0.636994219653179,FALSE,-0.0289017341040462
"5","AO/AA",1,"BIS","WH","Female",2013,-130,3140,-0.0414012738853503,"BISFemale",0.0700636942675159,0.0700636942675159,0.636942675159236,0.636942675159236,FALSE,-0.0414012738853503
"6","AO/AA",1,"DfE","WH","Male",2013,110,6530,0.0168453292496172,"DfEMale",0.0643185298621746,0.0643185298621746,0.618376722817764,0.618376722817764,FALSE,0.0168453292496172
"7","AO/AA",1,"DWP","WH","Male",2013,14900,108280,0.13760620613225,"DWPMale",0.470077576653122,0.470077576653122,0.340265977096417,0.340265977096417,FALSE,0.13760620613225
"8","AO/AA",1,"DECC","WH","Male",2013,30,1460,0.0205479452054795,"DECCMale",0.0547945205479452,0.0547945205479452,0.676712328767123,0.676712328767123,FALSE,0.0205479452054795
"9","AO/AA",1,"DCLG","WH","Male",2013,50,1730,0.0289017341040462,"DCLGMale",0.0578034682080925,0.0578034682080925,0.636994219653179,0.636994219653179,FALSE,0.0289017341040462
"10","AO/AA",1,"BIS","WH","Male",2013,90,3140,0.0286624203821656,"BISMale",0.0700636942675159,0.0700636942675159,0.636942675159236,0.636942675159236,FALSE,0.0286624203821656
"11","AO/AA",1,"DfID","WH","Female",2013,-60,1810,-0.0331491712707182,"DfIDFemale",0.0552486187845304,0.0552486187845304,0.681767955801105,0.681767955801105,FALSE,-0.0331491712707182
"12","AO/AA",1,"Defra","WH","Female",2013,-170,2180,-0.0779816513761468,"DefraFemale",0.128440366972477,0.128440366972477,0.579816513761468,0.579816513761468,FALSE,-0.0779816513761468
"13","AO/AA",1,"DH","WH","Female",2013,-70,2280,-0.0307017543859649,"DHFemale",0.0526315789473684,0.0526315789473684,0.654385964912281,0.654385964912281,FALSE,-0.0307017543859649
"14","AO/AA",1,"DCMS","WH","Female",2013,-10,390,-0.0256410256410256,"DCMSFemale",0.0512820512820513,0.0512820512820513,0.666666666666667,0.666666666666667,FALSE,-0.0256410256410256
"15","AO/AA",1,"CO","WH","Female",2013,-90,1840,-0.0489130434782609,"COFemale",0.0869565217391304,0.0869565217391304,0.647826086956522,0.647826086956522,FALSE,-0.0489130434782609
"16","AO/AA",1,"DfID","WH","Male",2013,40,1810,0.0220994475138122,"DfIDMale",0.0552486187845304,0.0552486187845304,0.681767955801105,0.681767955801105,FALSE,0.0220994475138122
"17","AO/AA",1,"Defra","WH","Male",2013,110,2180,0.0504587155963303,"DefraMale",0.128440366972477,0.128440366972477,0.579816513761468,0.579816513761468,FALSE,0.0504587155963303
"18","AO/AA",1,"DH","WH","Male",2013,50,2280,0.0219298245614035,"DHMale",0.0526315789473684,0.0526315789473684,0.654385964912281,0.654385964912281,FALSE,0.0219298245614035
"19","AO/AA",1,"DCMS","WH","Male",2013,10,390,0.0256410256410256,"DCMSMale",0.0512820512820513,0.0512820512820513,0.666666666666667,0.666666666666667,FALSE,0.0256410256410256
"20","AO/AA",1,"CO","WH","Male",2013,70,1840,0.0380434782608696,"COMale",0.0869565217391304,0.0869565217391304,0.647826086956522,0.647826086956522,FALSE,0.0380434782608696
"21","AO/AA",1,"HMRC","WH","Female",2013,-26160,76700,-0.341069100391134,"HMRCFemale",0.522685788787484,0.522685788787484,0.355645371577575,0.355645371577575,FALSE,-0.341069100391134
"22","AO/AA",1,"MoJ","WH","Female",2013,-620,4490,-0.138084632516704,"MoJFemale",0.21826280623608,0.21826280623608,0.517149220489978,0.517149220489978,FALSE,-0.138084632516704
"23","AO/AA",1,"HO","WH","Female",2013,-4810,26450,-0.181852551984877,"HOFemale",0.305103969754253,0.305103969754253,0.4165595463138,0.4165595463138,FALSE,-0.181852551984877
"24","AO/AA",1,"DfT","WH","Female",2013,-80,1760,-0.0454545454545455,"DfTFemale",0.0681818181818182,0.0681818181818182,0.644318181818182,0.644318181818182,FALSE,-0.0454545454545455
"25","AO/AA",1,"MoJ","WH","Male",2013,360,4490,0.0801781737193764,"MoJMale",0.21826280623608,0.21826280623608,0.517149220489978,0.517149220489978,FALSE,0.0801781737193764
"26","AO/AA",1,"HMRC","WH","Male",2013,13930,76700,0.181616688396349,"HMRCMale",0.522685788787484,0.522685788787484,0.355645371577575,0.355645371577575,FALSE,0.181616688396349
"27","AO/AA",1,"DfT","WH","Male",2013,40,1760,0.0227272727272727,"DfTMale",0.0681818181818182,0.0681818181818182,0.644318181818182,0.644318181818182,FALSE,0.0227272727272727
"28","AO/AA",1,"HO","WH","Male",2013,3260,26450,0.123251417769376,"HOMale",0.305103969754253,0.305103969754253,0.4165595463138,0.4165595463138,FALSE,0.123251417769376
"29","AO/AA",1,"HMT","WH","Female",2013,-70,1240,-0.0564516129032258,"HMTFemale",0.0725806451612903,0.0725806451612903,0.656451612903226,0.656451612903226,FALSE,-0.0564516129032258
"30","AO/AA",1,"Whitehall","Total","Female",2013,-113840,448830,-0.253637234587706,"Whole Civil ServiceFemale",0.440055254773522,0.440055254773522,0.388400953590446,0.388400953590446,TRUE,-0.253637234587706
"31","AO/AA",1,"MoD","WH","Female",2013,-9530,58440,-0.163073237508556,"MoDFemale",0.414271047227926,0.414271047227926,0.393463381245722,0.393463381245722,FALSE,-0.163073237508556
"32","AO/AA",1,"FCO","WH","Female",2013,-480,4840,-0.0991735537190083,"FCOFemale",0.171487603305785,0.171487603305785,0.574793388429752,0.574793388429752,FALSE,-0.0991735537190083
"33","AO/AA",1,"Whitehall","Total","Male",2013,83670,448830,0.186418020185816,"Whole Civil ServiceMale",0.440055254773522,0.440055254773522,0.388400953590446,0.388400953590446,TRUE,0.186418020185816
"34","AO/AA",1,"HMT","WH","Male",2013,20,1240,0.0161290322580645,"HMTMale",0.0725806451612903,0.0725806451612903,0.656451612903226,0.656451612903226,FALSE,0.0161290322580645
"35","AO/AA",1,"FCO","WH","Male",2013,350,4840,0.0723140495867769,"FCOMale",0.171487603305785,0.171487603305785,0.574793388429752,0.574793388429752,FALSE,0.0723140495867769
"36","AO/AA",1,"MoD","WH","Male",2013,14680,58440,0.25119780971937,"MoDMale",0.414271047227926,0.414271047227926,0.393463381245722,0.393463381245722,FALSE,0.25119780971937
"37","EO",2,"BIS","WH","Female",2013,-270,3140,-0.0859872611464968,"BISFemale",0.14968152866242,0.299363057324841,0.636942675159236,0.636942675159236,FALSE,-0.0859872611464968
"38","EO",2,"CO","WH","Female",2013,-150,1840,-0.0815217391304348,"COFemale",0.146739130434783,0.293478260869565,0.647826086956522,0.647826086956522,FALSE,-0.0815217391304348
"39","EO",2,"BIS","WH","Male",2013,200,3140,0.0636942675159236,"BISMale",0.14968152866242,0.299363057324841,0.636942675159236,0.636942675159236,FALSE,0.0636942675159236
"40","EO",2,"DfID","WH","Male",2013,80,1810,0.0441988950276243,"DfIDMale",0.0994475138121547,0.198895027624309,0.681767955801105,0.681767955801105,FALSE,0.0441988950276243
"41","EO",2,"CO","WH","Male",2013,120,1840,0.0652173913043478,"COMale",0.146739130434783,0.293478260869565,0.647826086956522,0.647826086956522,FALSE,0.0652173913043478
"42","EO",2,"DfT","WH","Female",2013,-90,1760,-0.0511363636363636,"DfTFemale",0.119318181818182,0.238636363636364,0.644318181818182,0.644318181818182,FALSE,-0.0511363636363636
"43","EO",2,"DfE","WH","Female",2013,-750,6530,-0.114854517611026,"DfEFemale",0.169984686064319,0.339969372128637,0.618376722817764,0.618376722817764,FALSE,-0.114854517611026
"44","EO",2,"DWP","WH","Female",2013,-28850,108280,-0.266438862209088,"DWPFemale",0.38945326930181,0.77890653860362,0.340265977096417,0.340265977096417,FALSE,-0.266438862209088
"45","EO",2,"DECC","WH","Female",2013,-90,1460,-0.0616438356164384,"DECCFemale",0.102739726027397,0.205479452054795,0.676712328767123,0.676712328767123,FALSE,-0.0616438356164384
"46","EO",2,"DCLG","WH","Female",2013,-130,1730,-0.0751445086705202,"DCLGFemale",0.138728323699422,0.277456647398844,0.636994219653179,0.636994219653179,FALSE,-0.0751445086705202
"47","EO",2,"DfT","WH","Male",2013,120,1760,0.0681818181818182,"DfTMale",0.119318181818182,0.238636363636364,0.644318181818182,0.644318181818182,FALSE,0.0681818181818182
"48","EO",2,"DfE","WH","Male",2013,360,6530,0.0551301684532925,"DfEMale",0.169984686064319,0.339969372128637,0.618376722817764,0.618376722817764,FALSE,0.0551301684532925
"49","EO",2,"DWP","WH","Male",2013,13320,108280,0.123014407092723,"DWPMale",0.38945326930181,0.77890653860362,0.340265977096417,0.340265977096417,FALSE,0.123014407092723
"50","EO",2,"DECC","WH","Male",2013,60,1460,0.0410958904109589,"DECCMale",0.102739726027397,0.205479452054795,0.676712328767123,0.676712328767123,FALSE,0.0410958904109589
"51","EO",2,"DCLG","WH","Male",2013,110,1730,0.0635838150289017,"DCLGMale",0.138728323699422,0.277456647398844,0.636994219653179,0.636994219653179,FALSE,0.0635838150289017
"52","EO",2,"FCO","WH","Female",2013,-450,4840,-0.0929752066115702,"FCOFemale",0.175619834710744,0.351239669421488,0.574793388429752,0.574793388429752,FALSE,-0.0929752066115702
"53","EO",2,"DfID","WH","Female",2013,-100,1810,-0.0552486187845304,"DfIDFemale",0.0994475138121547,0.198895027624309,0.681767955801105,0.681767955801105,FALSE,-0.0552486187845304
"54","EO",2,"Defra","WH","Female",2013,-210,2180,-0.0963302752293578,"DefraFemale",0.160550458715596,0.321100917431193,0.579816513761468,0.579816513761468,FALSE,-0.0963302752293578
"55","EO",2,"DH","WH","Female",2013,-250,2280,-0.109649122807018,"DHFemale",0.153508771929825,0.307017543859649,0.654385964912281,0.654385964912281,FALSE,-0.109649122807018
"56","EO",2,"DCMS","WH","Female",2013,-30,390,-0.0769230769230769,"DCMSFemale",0.128205128205128,0.256410256410256,0.666666666666667,0.666666666666667,FALSE,-0.0769230769230769
"57","EO",2,"FCO","WH","Male",2013,400,4840,0.0826446280991736,"FCOMale",0.175619834710744,0.351239669421488,0.574793388429752,0.574793388429752,FALSE,0.0826446280991736
"58","EO",2,"Defra","WH","Male",2013,140,2180,0.0642201834862385,"DefraMale",0.160550458715596,0.321100917431193,0.579816513761468,0.579816513761468,FALSE,0.0642201834862385
"59","EO",2,"DH","WH","Male",2013,100,2280,0.043859649122807,"DHMale",0.153508771929825,0.307017543859649,0.654385964912281,0.654385964912281,FALSE,0.043859649122807
"60","EO",2,"DCMS","WH","Male",2013,20,390,0.0512820512820513,"DCMSMale",0.128205128205128,0.256410256410256,0.666666666666667,0.666666666666667,FALSE,0.0512820512820513
"61","EO",2,"HO","WH","Female",2013,-5190,26450,-0.196219281663516,"HOFemale",0.392060491493384,0.784120982986767,0.4165595463138,0.4165595463138,FALSE,-0.196219281663516
"62","EO",2,"HMRC","WH","Female",2013,-9970,76700,-0.129986962190352,"HMRCFemale",0.222033898305085,0.444067796610169,0.355645371577575,0.355645371577575,FALSE,-0.129986962190352
"63","EO",2,"MoJ","WH","Female",2013,-590,4490,-0.131403118040089,"MoJFemale",0.207126948775056,0.414253897550111,0.517149220489978,0.517149220489978,FALSE,-0.131403118040089
"64","EO",2,"MoJ","WH","Male",2013,340,4490,0.0757238307349666,"MoJMale",0.207126948775056,0.414253897550111,0.517149220489978,0.517149220489978,FALSE,0.0757238307349666
"65","EO",2,"HMRC","WH","Male",2013,7060,76700,0.0920469361147327,"HMRCMale",0.222033898305085,0.444067796610169,0.355645371577575,0.355645371577575,FALSE,0.0920469361147327
"66","EO",2,"HO","WH","Male",2013,5180,26450,0.195841209829868,"HOMale",0.392060491493384,0.784120982986767,0.4165595463138,0.4165595463138,FALSE,0.195841209829868
"67","EO",2,"MoD","WH","Female",2013,-3740,58440,-0.0639972621492129,"MoDFemale",0.179329226557153,0.358658453114305,0.393463381245722,0.393463381245722,FALSE,-0.0639972621492129
"68","EO",2,"HMT","WH","Female",2013,-100,1240,-0.0806451612903226,"HMTFemale",0.120967741935484,0.241935483870968,0.656451612903226,0.656451612903226,FALSE,-0.0806451612903226
"69","EO",2,"Whitehall","Total","Female",2013,-65680,448830,-0.146336029231558,"Whole Civil ServiceFemale",0.258962190584408,0.517924381168817,0.388400953590446,0.388400953590446,TRUE,-0.146336029231558
"70","EO",2,"Whitehall","Total","Male",2013,50550,448830,0.112626161352851,"Whole Civil ServiceMale",0.258962190584408,0.517924381168817,0.388400953590446,0.388400953590446,TRUE,0.112626161352851
"71","EO",2,"HMT","WH","Male",2013,50,1240,0.0403225806451613,"HMTMale",0.120967741935484,0.241935483870968,0.656451612903226,0.656451612903226,FALSE,0.0403225806451613
"72","EO",2,"MoD","WH","Male",2013,6740,58440,0.11533196440794,"MoDMale",0.179329226557153,0.358658453114305,0.393463381245722,0.393463381245722,FALSE,0.11533196440794
"73","G6/G7",4,"CO","WH","Male",2013,350,1840,0.190217391304348,"COMale",0.347826086956522,1.39130434782609,0.647826086956522,0.647826086956522,FALSE,0.190217391304348
