"","Group","Date","Civil.Service.grad","gradeval","Gender","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","yvar"
"1","BIS",2012,"AO/AA",1,"Male",100,2950,0.0338983050847458,"BISMale",0.088135593220339,0.088135593220339,0.625084745762712,0.625084745762712,0.0338983050847458
"2","BIS",2012,"AO/AA",1,"Female",-160,2950,-0.0542372881355932,"BISFemale",0.088135593220339,0.088135593220339,0.625084745762712,0.625084745762712,-0.0542372881355932
"3","BIS",2012,"SCS",5,"Female",-80,2950,-0.0271186440677966,"BISFemale",0.0677966101694915,0.338983050847458,0.625084745762712,0.625084745762712,-0.0271186440677966
"4","BIS",2012,"SCS",5,"Male",120,2950,0.0406779661016949,"BISMale",0.0677966101694915,0.338983050847458,0.625084745762712,0.625084745762712,0.0406779661016949
"5","BIS",2012,"SEO/HEO",3,"Female",-480,2950,-0.16271186440678,"BISFemale",0.372881355932203,1.11864406779661,0.625084745762712,0.625084745762712,-0.16271186440678
"6","BIS",2012,"G6/G7",4,"Female",-430,2950,-0.145762711864407,"BISFemale",0.31864406779661,1.27457627118644,0.625084745762712,0.625084745762712,-0.145762711864407
"7","BIS",2012,"G6/G7",4,"Male",510,2950,0.172881355932203,"BISMale",0.31864406779661,1.27457627118644,0.625084745762712,0.625084745762712,0.172881355932203
"8","BIS",2012,"EO",2,"Male",200,2950,0.0677966101694915,"BISMale",0.152542372881356,0.305084745762712,0.625084745762712,0.625084745762712,0.0677966101694915
"9","BIS",2012,"EO",2,"Female",-250,2950,-0.0847457627118644,"BISFemale",0.152542372881356,0.305084745762712,0.625084745762712,0.625084745762712,-0.0847457627118644
"10","BIS",2012,"SEO/HEO",3,"Male",620,2950,0.210169491525424,"BISMale",0.372881355932203,1.11864406779661,0.625084745762712,0.625084745762712,0.210169491525424
"11","CO",2012,"SCS",5,"Female",-90,1730,-0.0520231213872832,"COFemale",0.127167630057803,0.635838150289017,0.636994219653179,0.636994219653179,-0.0520231213872832
"12","CO",2012,"G6/G7",4,"Male",290,1730,0.167630057803468,"COMale",0.300578034682081,1.20231213872832,0.636994219653179,0.636994219653179,0.167630057803468
"13","CO",2012,"SCS",5,"Male",130,1730,0.0751445086705202,"COMale",0.127167630057803,0.635838150289017,0.636994219653179,0.636994219653179,0.0751445086705202
"14","CO",2012,"SEO/HEO",3,"Female",-290,1730,-0.167630057803468,"COFemale",0.30635838150289,0.919075144508671,0.636994219653179,0.636994219653179,-0.167630057803468
"15","CO",2012,"SEO/HEO",3,"Male",240,1730,0.138728323699422,"COMale",0.30635838150289,0.919075144508671,0.636994219653179,0.636994219653179,0.138728323699422
"16","CO",2012,"AO/AA",1,"Female",-100,1730,-0.0578034682080925,"COFemale",0.104046242774566,0.104046242774566,0.636994219653179,0.636994219653179,-0.0578034682080925
"17","CO",2012,"G6/G7",4,"Female",-230,1730,-0.132947976878613,"COFemale",0.300578034682081,1.20231213872832,0.636994219653179,0.636994219653179,-0.132947976878613
"18","CO",2012,"EO",2,"Female",-160,1730,-0.092485549132948,"COFemale",0.161849710982659,0.323699421965318,0.636994219653179,0.636994219653179,-0.092485549132948
"19","CO",2012,"EO",2,"Male",120,1730,0.069364161849711,"COMale",0.161849710982659,0.323699421965318,0.636994219653179,0.636994219653179,0.069364161849711
"20","CO",2012,"AO/AA",1,"Male",80,1730,0.046242774566474,"COMale",0.104046242774566,0.104046242774566,0.636994219653179,0.636994219653179,0.046242774566474
"21","DCLG",2012,"EO",2,"Male",120,1880,0.0638297872340425,"DCLGMale",0.143617021276596,0.287234042553192,0.627659574468085,0.627659574468085,0.0638297872340425
"22","DCLG",2012,"AO/AA",1,"Male",50,1880,0.0265957446808511,"DCLGMale",0.074468085106383,0.074468085106383,0.627659574468085,0.627659574468085,0.0265957446808511
"23","DCLG",2012,"AO/AA",1,"Female",-90,1880,-0.0478723404255319,"DCLGFemale",0.074468085106383,0.074468085106383,0.627659574468085,0.627659574468085,-0.0478723404255319
"24","DCLG",2012,"SCS",5,"Male",60,1880,0.0319148936170213,"DCLGMale",0.0531914893617021,0.265957446808511,0.627659574468085,0.627659574468085,0.0319148936170213
"25","DCLG",2012,"SCS",5,"Female",-40,1880,-0.0212765957446809,"DCLGFemale",0.0531914893617021,0.265957446808511,0.627659574468085,0.627659574468085,-0.0212765957446809
"26","DCLG",2012,"SEO/HEO",3,"Female",-420,1880,-0.223404255319149,"DCLGFemale",0.425531914893617,1.27659574468085,0.627659574468085,0.627659574468085,-0.223404255319149
"27","DCLG",2012,"EO",2,"Female",-150,1880,-0.0797872340425532,"DCLGFemale",0.143617021276596,0.287234042553192,0.627659574468085,0.627659574468085,-0.0797872340425532
"28","DCLG",2012,"SEO/HEO",3,"Male",380,1880,0.202127659574468,"DCLGMale",0.425531914893617,1.27659574468085,0.627659574468085,0.627659574468085,0.202127659574468
"29","DCLG",2012,"G6/G7",4,"Female",-270,1880,-0.143617021276596,"DCLGFemale",0.308510638297872,1.23404255319149,0.627659574468085,0.627659574468085,-0.143617021276596
"30","DCLG",2012,"G6/G7",4,"Male",310,1880,0.164893617021277,"DCLGMale",0.308510638297872,1.23404255319149,0.627659574468085,0.627659574468085,0.164893617021277
"31","DCMS",2012,"AO/AA",1,"Male",10,460,0.0217391304347826,"DCMSMale",0.0434782608695652,0.0434782608695652,0.665217391304348,0.665217391304348,0.0217391304347826
"32","DCMS",2012,"SCS",5,"Male",20,460,0.0434782608695652,"DCMSMale",0.0869565217391304,0.434782608695652,0.665217391304348,0.665217391304348,0.0434782608695652
"33","DCMS",2012,"SEO/HEO",3,"Male",100,460,0.217391304347826,"DCMSMale",0.369565217391304,1.10869565217391,0.665217391304348,0.665217391304348,0.217391304347826
"34","DCMS",2012,"SEO/HEO",3,"Female",-70,460,-0.152173913043478,"DCMSFemale",0.369565217391304,1.10869565217391,0.665217391304348,0.665217391304348,-0.152173913043478
"35","DCMS",2012,"SCS",5,"Female",-20,460,-0.0434782608695652,"DCMSFemale",0.0869565217391304,0.434782608695652,0.665217391304348,0.665217391304348,-0.0434782608695652
"36","DCMS",2012,"G6/G7",4,"Female",-70,460,-0.152173913043478,"DCMSFemale",0.347826086956522,1.39130434782609,0.665217391304348,0.665217391304348,-0.152173913043478
"37","DCMS",2012,"G6/G7",4,"Male",90,460,0.195652173913043,"DCMSMale",0.347826086956522,1.39130434782609,0.665217391304348,0.665217391304348,0.195652173913043
