"","Disability.statu","Date","Civil.Service.grad","count","total","share","yvar"
"1","Disabled",2008,"SCS",130,3780,0.0343915343915344,0.0343915343915344
"2","Disabled",2008,"All grades",24620,375490,0.0655676582598738,0.0655676582598738
"3","Disabled",2009,"SCS",170,3890,0.0437017994858612,0.0437017994858612
"4","Disabled",2009,"All grades",26800,378660,0.0707758939417947,0.0707758939417947
"5","Disabled",2010,"SCS",180,3740,0.0481283422459893,0.0481283422459893
"6","Disabled",2010,"All grades",28450,375670,0.0757313599701866,0.0757313599701866
"7","Disabled",2011,"SCS",180,3550,0.0507042253521127,0.0507042253521127
"8","Disabled",2011,"All grades",28990,374220,0.0774677996900219,0.0774677996900219
"9","Disabled",2012,"SCS",140,3120,0.0448717948717949,0.0448717948717949
"10","Disabled",2012,"All grades",25760,311710,0.0826409162362452,0.0826409162362452
"11","Disabled",2013,"SCS",140,3050,0.0459016393442623,0.0459016393442623
"12","Disabled",2013,"All grades",26440,307970,0.0858525181024126,0.0858525181024126
