"","Grade","Gender","Variable","value","grp","ylabels"
"1","Senior Civil Service","Female","In grade 2012",0.351,"Female In grade 2012","35%"
"2","Grades 6 & 7","Female","In grade 2012",0.411,"Female In grade 2012","41%"
"3","Senior/Higher Executive Officer","Female","In grade 2012",0.45,"Female In grade 2012","45%"
"4","Executive Officer","Female","In grade 2012",0.556,"Female In grade 2012","56%"
"5","Administrative Officer/Assistant","Female","In grade 2012",0.58,"Female In grade 2012","58%"
"6","All grades","Female","In grade 2012",0.531,"Female In grade 2012","53.1%"
"7","Senior Civil Service","Male","In grade 2012",0.649,"Male In grade 2012","65%"
"8","Grades 6 & 7","Male","In grade 2012",0.589,"Male In grade 2012","59%"
"9","Senior/Higher Executive Officer","Male","In grade 2012",0.55,"Male In grade 2012","55%"
"10","Executive Officer","Male","In grade 2012",0.444,"Male In grade 2012","44%"
"11","Administrative Officer/Assistant","Male","In grade 2012",0.42,"Male In grade 2012","42%"
"12","All grades","Male","In grade 2012",0.469,"Male In grade 2012","46.9%"
"13","Senior Civil Service","Female","As % of cut 2010-2012",0.277,"Female As % of cut 2010-2012","28%"
"14","Grades 6 & 7","Female","As % of cut 2010-2012",0.298,"Female As % of cut 2010-2012","30%"
"15","Senior/Higher Executive Officer","Female","As % of cut 2010-2012",0.524,"Female As % of cut 2010-2012","52%"
"16","Executive Officer","Female","As % of cut 2010-2012",0.599,"Female As % of cut 2010-2012","60%"
"17","Administrative Officer/Assistant","Female","As % of cut 2010-2012",0.529,"Female As % of cut 2010-2012","53%"
"18","All grades","Female","As % of cut 2010-2012",0.53,"Female As % of cut 2010-2012","53.0%"
"19","Senior Civil Service","Male","As % of cut 2010-2012",0.723,"Male As % of cut 2010-2012","72%"
"20","Grades 6 & 7","Male","As % of cut 2010-2012",0.702,"Male As % of cut 2010-2012","70%"
"21","Senior/Higher Executive Officer","Male","As % of cut 2010-2012",0.476,"Male As % of cut 2010-2012","48%"
"22","Executive Officer","Male","As % of cut 2010-2012",0.401,"Male As % of cut 2010-2012","40%"
"23","Administrative Officer/Assistant","Male","As % of cut 2010-2012",0.471,"Male As % of cut 2010-2012","47%"
"24","All grades","Male","As % of cut 2010-2012",0.47,"Male As % of cut 2010-2012","47.0%"
