"","Dept","Managed","value","measure","Period","group","chart","sorter","totalgroup"
"274","BIS","Y",0,"Cumulative_Perc_net_change","2010Q3","BIS-Y",TRUE,-0.194639059609182,FALSE
"279","BIS","Y",-0.0957446808510638,"Cumulative_Perc_net_change","2011Q1","BIS-Y",TRUE,-0.194639059609182,FALSE
"280","BIS","Y",-0.226063829787234,"Cumulative_Perc_net_change","2011Q4","BIS-Y",TRUE,-0.194639059609182,FALSE
"284","BIS","Departmental Group",-0.190235506472172,"Cumulative_Perc_net_change","2013Q2","BIS-Departmental Group",TRUE,-0.194639059609182,FALSE
"292","BIS","Y",-0.0904255319148937,"Cumulative_Perc_net_change","2010Q4","BIS-Y",TRUE,-0.194639059609182,FALSE
"294","BIS","Y",-0.199198461010743,"Cumulative_Perc_net_change","2014Q1","BIS-Y",TRUE,-0.194639059609182,FALSE
"296","BIS","Y",-0.185807130927311,"Cumulative_Perc_net_change","2012Q2","BIS-Y",TRUE,-0.194639059609182,FALSE
"298","BIS","Y",-0.180450598893938,"Cumulative_Perc_net_change","2013Q1","BIS-Y",TRUE,-0.194639059609182,FALSE
"299","BIS","N",-0.166386096645271,"Cumulative_Perc_net_change","2013Q4","BIS-N",TRUE,-0.194639059609182,FALSE
"300","BIS","N",-0.171278914860119,"Cumulative_Perc_net_change","2012Q3","BIS-N",TRUE,-0.194639059609182,FALSE
"308","BIS","Y",-0.191163662960684,"Cumulative_Perc_net_change","2012Q4","BIS-Y",TRUE,-0.194639059609182,FALSE
"309","BIS","Y",-0.234042553191489,"Cumulative_Perc_net_change","2011Q3","BIS-Y",TRUE,-0.194639059609182,FALSE
"317","BIS","Y",-0.156914893617021,"Cumulative_Perc_net_change","2011Q2","BIS-Y",TRUE,-0.194639059609182,FALSE
"319","BIS","N",-0.173725323967543,"Cumulative_Perc_net_change","2014Q1","BIS-N",TRUE,-0.194639059609182,FALSE
"322","BIS","Y",-0.196520194994057,"Cumulative_Perc_net_change","2013Q3","BIS-Y",TRUE,-0.194639059609182,FALSE
"326","BIS","N",-0.109316770186335,"Cumulative_Perc_net_change","2011Q2","BIS-N",TRUE,-0.194639059609182,FALSE
"328","BIS","Y",-0.196520194994057,"Cumulative_Perc_net_change","2013Q4","BIS-Y",TRUE,-0.194639059609182,FALSE
"329","BIS","Y",-0.19384192897737,"Cumulative_Perc_net_change","2012Q3","BIS-Y",TRUE,-0.194639059609182,FALSE
"330","BIS","Y",-0.196520194994057,"Cumulative_Perc_net_change","2013Q2","BIS-Y",TRUE,-0.194639059609182,FALSE
"332","BIS","Departmental Group",-0.183874818607603,"Cumulative_Perc_net_change","2013Q1","BIS-Departmental Group",TRUE,-0.194639059609182,FALSE
"334","BIS","N",-0.176783335351823,"Cumulative_Perc_net_change","2013Q3","BIS-N",TRUE,-0.194639059609182,FALSE
"349","BIS","N",-0.166997698922127,"Cumulative_Perc_net_change","2013Q1","BIS-N",TRUE,-0.194639059609182,FALSE
"350","BIS","N",-0.141310403294175,"Cumulative_Perc_net_change","2011Q4","BIS-N",TRUE,-0.194639059609182,FALSE
"355","BIS","N",-0.171278914860119,"Cumulative_Perc_net_change","2013Q2","BIS-N",TRUE,-0.194639059609182,FALSE
"357","BIS","Departmental Group",-0.194639059609182,"Cumulative_Perc_net_change","2013Q3","BIS-Departmental Group",TRUE,-0.194639059609182,FALSE
"358","BIS","Y",-0.207446808510638,"Cumulative_Perc_net_change","2012Q1","BIS-Y",TRUE,-0.194639059609182,FALSE
"359","BIS","N",-0.121739130434783,"Cumulative_Perc_net_change","2011Q3","BIS-N",TRUE,-0.194639059609182,FALSE
"360","BIS","N",-0.166386096645271,"Cumulative_Perc_net_change","2012Q4","BIS-N",TRUE,-0.194639059609182,FALSE
"365","BIS","Departmental Group",-0.186326523395369,"Cumulative_Perc_net_change","2012Q1","BIS-Departmental Group",TRUE,-0.194639059609182,FALSE
"373","BIS","Departmental Group",-0.171665740033123,"Cumulative_Perc_net_change","2011Q4","BIS-Departmental Group",TRUE,-0.194639059609182,FALSE
"374","BIS","N",-0.0459627329192547,"Cumulative_Perc_net_change","2011Q1","BIS-N",TRUE,-0.194639059609182,FALSE
"375","BIS","N",-0.165162892091559,"Cumulative_Perc_net_change","2012Q2","BIS-N",TRUE,-0.194639059609182,FALSE
"382","BIS","Departmental Group",-0.192681924881622,"Cumulative_Perc_net_change","2014Q1","BIS-Departmental Group",TRUE,-0.194639059609182,FALSE
"383","BIS","N",-0.163939687537847,"Cumulative_Perc_net_change","2012Q1","BIS-N",TRUE,-0.194639059609182,FALSE
"389","BIS","Departmental Group",-0.186321237017053,"Cumulative_Perc_net_change","2013Q4","BIS-Departmental Group",TRUE,-0.194639059609182,FALSE
"390","BIS","N",0,"Cumulative_Perc_net_change","2010Q3","BIS-N",TRUE,-0.194639059609182,FALSE
"413","BIS","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","BIS-Departmental Group",TRUE,-0.194639059609182,FALSE
