"","Group","Date","Civil.Service.grad","Disability.statu","count","total","share","sorter","totalgroup","grp","yvar"
"1","BIS",2008,"SCS","Disabled",10,100,0.1,0.0700190961171229,FALSE,"BISSCS",0.1
"2","BIS",2009,"All grades","Disabled",480,5230,0.0917782026768642,0.0700190961171229,FALSE,"BISAll grades",0.0917782026768642
"3","BIS",2012,"All grades","Disabled",1100,15710,0.0700190961171229,0.0700190961171229,FALSE,"BISAll grades",0.0700190961171229
"4","BIS",2012,"SCS","Disabled",10,300,0.0333333333333333,0.0700190961171229,FALSE,"BISSCS",0.0333333333333333
"5","BIS",2008,"All grades","Disabled",360,3340,0.107784431137725,0.0700190961171229,FALSE,"BISAll grades",0.107784431137725
"6","BIS",2011,"All grades","Disabled",830,10290,0.0806608357628766,0.0700190961171229,FALSE,"BISAll grades",0.0806608357628766
"7","BIS",2011,"SCS","Disabled",10,330,0.0303030303030303,0.0700190961171229,FALSE,"BISSCS",0.0303030303030303
"8","BIS",2010,"All grades","Disabled",810,9430,0.0858960763520679,0.0700190961171229,FALSE,"BISAll grades",0.0858960763520679
"9","BIS",2010,"SCS","Disabled",10,310,0.032258064516129,0.0700190961171229,FALSE,"BISSCS",0.032258064516129
"10","BIS",2009,"SCS","Disabled",10,220,0.0454545454545455,0.0700190961171229,FALSE,"BISSCS",0.0454545454545455
"11","CO",2012,"SCS","Disabled",0,150,0,0.0580645161290323,FALSE,"COSCS",0
"12","CO",2011,"SCS","Disabled",10,200,0.05,0.0580645161290323,FALSE,"COSCS",0.05
"13","CO",2009,"SCS","Disabled",10,160,0.0625,0.0580645161290323,FALSE,"COSCS",0.0625
"14","CO",2010,"SCS","Disabled",10,180,0.0555555555555556,0.0580645161290323,FALSE,"COSCS",0.0555555555555556
"15","CO",2008,"SCS","Disabled",0,170,0,0.0580645161290323,FALSE,"COSCS",0
"16","CO",2010,"All grades","Disabled",130,1710,0.0760233918128655,0.0580645161290323,FALSE,"COAll grades",0.0760233918128655
"17","CO",2012,"All grades","Disabled",90,1550,0.0580645161290323,0.0580645161290323,FALSE,"COAll grades",0.0580645161290323
"18","CO",2009,"All grades","Disabled",120,2230,0.0538116591928251,0.0580645161290323,FALSE,"COAll grades",0.0538116591928251
"19","CO",2011,"All grades","Disabled",110,2080,0.0528846153846154,0.0580645161290323,FALSE,"COAll grades",0.0528846153846154
"20","CO",2008,"All grades","Disabled",110,2560,0.04296875,0.0580645161290323,FALSE,"COAll grades",0.04296875
