"","Group","Date","Civil.Service.grad","Disability.statu","count","total","share","sorter","totalgroup","grp","yvar"
"1","BIS",2008,"SCS","Disabled",10,60,0.166666666666667,0.0862068965517241,FALSE,"BISSCS",0.166666666666667
"2","BIS",2009,"All grades","Disabled",280,1760,0.159090909090909,0.0862068965517241,FALSE,"BISAll grades",0.159090909090909
"3","BIS",2012,"All grades","Disabled",200,2320,0.0862068965517241,0.0862068965517241,FALSE,"BISAll grades",0.0862068965517241
"4","BIS",2012,"SCS","Disabled",10,150,0.0666666666666667,0.0862068965517241,FALSE,"BISSCS",0.0666666666666667
"5","BIS",2008,"All grades","Disabled",300,1380,0.217391304347826,0.0862068965517241,FALSE,"BISAll grades",0.217391304347826
"6","BIS",2011,"All grades","Disabled",250,2860,0.0874125874125874,0.0862068965517241,FALSE,"BISAll grades",0.0874125874125874
"7","BIS",2011,"SCS","Disabled",10,180,0.0555555555555556,0.0862068965517241,FALSE,"BISSCS",0.0555555555555556
"8","BIS",2010,"All grades","Disabled",280,3400,0.0823529411764706,0.0862068965517241,FALSE,"BISAll grades",0.0823529411764706
"9","BIS",2010,"SCS","Disabled",10,220,0.0454545454545455,0.0862068965517241,FALSE,"BISSCS",0.0454545454545455
"10","BIS",2009,"SCS","Disabled",10,130,0.0769230769230769,0.0862068965517241,FALSE,"BISSCS",0.0769230769230769
"11","CO",2012,"SCS","Disabled",0,130,0,0.0465116279069767,FALSE,"COSCS",0
"12","CO",2011,"SCS","Disabled",10,160,0.0625,0.0465116279069767,FALSE,"COSCS",0.0625
"13","CO",2009,"SCS","Disabled",10,120,0.0833333333333333,0.0465116279069767,FALSE,"COSCS",0.0833333333333333
"14","CO",2010,"SCS","Disabled",10,180,0.0555555555555556,0.0465116279069767,FALSE,"COSCS",0.0555555555555556
"15","CO",2008,"SCS","Disabled",0,120,0,0.0465116279069767,FALSE,"COSCS",0
"16","CO",2010,"All grades","Disabled",50,1130,0.0442477876106195,0.0465116279069767,FALSE,"COAll grades",0.0442477876106195
"17","CO",2012,"All grades","Disabled",40,860,0.0465116279069767,0.0465116279069767,FALSE,"COAll grades",0.0465116279069767
"18","CO",2009,"All grades","Disabled",50,740,0.0675675675675676,0.0465116279069767,FALSE,"COAll grades",0.0675675675675676
"19","CO",2011,"All grades","Disabled",50,990,0.0505050505050505,0.0465116279069767,FALSE,"COAll grades",0.0505050505050505
"20","CO",2008,"All grades","Disabled",50,770,0.0649350649350649,0.0465116279069767,FALSE,"COAll grades",0.0649350649350649
"21","DCLG",2012,"SCS","Disabled",0,70,0,0.0625,FALSE,"DCLGSCS",0
"22","DCLG",2011,"SCS","Disabled",10,110,0.0909090909090909,0.0625,FALSE,"DCLGSCS",0.0909090909090909
"23","DCLG",2009,"SCS","Disabled",10,100,0.1,0.0625,FALSE,"DCLGSCS",0.1
"24","DCLG",2010,"SCS","Disabled",10,110,0.0909090909090909,0.0625,FALSE,"DCLGSCS",0.0909090909090909
"25","DCLG",2008,"SCS","Disabled",0,120,0,0.0625,FALSE,"DCLGSCS",0
"26","DCLG",2010,"All grades","Disabled",150,2170,0.0691244239631336,0.0625,FALSE,"DCLGAll grades",0.0691244239631336
"27","DCLG",2012,"All grades","Disabled",100,1600,0.0625,0.0625,FALSE,"DCLGAll grades",0.0625
"28","DCLG",2009,"All grades","Disabled",150,2120,0.0707547169811321,0.0625,FALSE,"DCLGAll grades",0.0707547169811321
"29","DCLG",2011,"All grades","Disabled",140,2030,0.0689655172413793,0.0625,FALSE,"DCLGAll grades",0.0689655172413793
"30","DCLG",2008,"All grades","Disabled",150,2270,0.066079295154185,0.0625,FALSE,"DCLGAll grades",0.066079295154185
"31","DCMS",2012,"All grades","Disabled",10,320,0.03125,0.03125,FALSE,"DCMSAll grades",0.03125
"32","DCMS",2012,"SCS","Disabled",0,30,0,0.03125,FALSE,"DCMSSCS",0
"33","DCMS",2010,"SCS","Disabled",0,60,0,0.03125,FALSE,"DCMSSCS",0
"34","DCMS",2011,"SCS","Disabled",0,60,0,0.03125,FALSE,"DCMSSCS",0
"35","DCMS",2010,"All grades","Disabled",40,610,0.0655737704918033,0.03125,FALSE,"DCMSAll grades",0.0655737704918033
"36","DCMS",2009,"SCS","Disabled",0,40,0,0.03125,FALSE,"DCMSSCS",0
"37","DCMS",2011,"All grades","Disabled",40,570,0.0701754385964912,0.03125,FALSE,"DCMSAll grades",0.0701754385964912
"38","DCMS",2009,"All grades","Disabled",30,440,0.0681818181818182,0.03125,FALSE,"DCMSAll grades",0.0681818181818182
"39","DCMS",2008,"SCS","Disabled",0,20,0,0.03125,FALSE,"DCMSSCS",0
"40","DCMS",2008,"All grades","Disabled",10,310,0.032258064516129,0.03125,FALSE,"DCMSAll grades",0.032258064516129
"41","DECC",2009,"SCS","Disabled",0,10,0,0.0879120879120879,FALSE,"DECCSCS",0
"42","DECC",2008,"SCS","Disabled",0,0,NA,0.0879120879120879,FALSE,"DECCSCS",NA
"43","DECC",2010,"All grades","Disabled",50,730,0.0684931506849315,0.0879120879120879,FALSE,"DECCAll grades",0.0684931506849315
"44","DECC",2008,"All grades","Disabled",0,0,NA,0.0879120879120879,FALSE,"DECCAll grades",NA
