"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","yvar"
"1","BIS",2008,"SCS","Female",100,350,0.285714285714286,"BISSCS",0.503070910106086,0.285714285714286
"2","BIS",2008,"All grades","Female",5450,10790,0.505097312326228,"BISAll grades",0.503070910106086,0.505097312326228
"3","BIS",2009,"SCS","Female",130,360,0.361111111111111,"BISSCS",0.503070910106086,0.361111111111111
"4","BIS",2009,"All grades","Female",5430,10600,0.512264150943396,"BISAll grades",0.503070910106086,0.512264150943396
"5","BIS",2010,"SCS","Female",140,380,0.368421052631579,"BISSCS",0.503070910106086,0.368421052631579
"6","BIS",2010,"All grades","Female",5590,10880,0.513786764705882,"BISAll grades",0.503070910106086,0.513786764705882
"7","BIS",2011,"SCS","Female",160,410,0.390243902439024,"BISSCS",0.503070910106086,0.390243902439024
"8","BIS",2011,"All grades","Female",6250,11810,0.529212531752752,"BISAll grades",0.503070910106086,0.529212531752752
"9","BIS",2012,"SCS","Female",150,410,0.365853658536585,"BISSCS",0.503070910106086,0.365853658536585
"10","BIS",2012,"All grades","Female",9010,17910,0.503070910106086,"BISAll grades",0.503070910106086,0.503070910106086
"11","CO",2008,"SCS","Female",90,240,0.375,"COSCS",0.507299270072993,0.375
"12","CO",2008,"All grades","Female",1660,3100,0.535483870967742,"COAll grades",0.507299270072993,0.535483870967742
"13","CO",2009,"SCS","Female",100,240,0.416666666666667,"COSCS",0.507299270072993,0.416666666666667
"14","CO",2009,"All grades","Female",1810,3270,0.553516819571865,"COAll grades",0.507299270072993,0.553516819571865
"15","CO",2010,"SCS","Female",110,260,0.423076923076923,"COSCS",0.507299270072993,0.423076923076923
"16","CO",2010,"All grades","Female",1810,3280,0.551829268292683,"COAll grades",0.507299270072993,0.551829268292683
"17","CO",2011,"SCS","Female",110,260,0.423076923076923,"COSCS",0.507299270072993,0.423076923076923
"18","CO",2011,"All grades","Female",1670,3080,0.542207792207792,"COAll grades",0.507299270072993,0.542207792207792
"19","CO",2012,"SCS","Female",90,250,0.36,"COSCS",0.507299270072993,0.36
"20","CO",2012,"All grades","Female",1390,2740,0.507299270072993,"COAll grades",0.507299270072993,0.507299270072993
"21","DCLG",2008,"SCS","Female",80,190,0.421052631578947,"DCLGSCS",0.476534296028881,0.421052631578947
"22","DCLG",2008,"All grades","Female",2330,5530,0.421338155515371,"DCLGAll grades",0.476534296028881,0.421338155515371
