"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"2","BIS",2008,"SCS","Female",80,250,0.32,"BISSCS",0.474576271186441,1,FALSE,0.32
"4","BIS",2008,"All grades","Female",1990,4260,0.467136150234742,"BISAll grades",0.474576271186441,1,FALSE,0.467136150234742
"6","BIS",2009,"SCS","Female",100,260,0.384615384615385,"BISSCS",0.474576271186441,1,FALSE,0.384615384615385
"7","BIS",2009,"All grades","Female",1890,3960,0.477272727272727,"BISAll grades",0.474576271186441,1,FALSE,0.477272727272727
"10","BIS",2010,"SCS","Female",100,260,0.384615384615385,"BISSCS",0.474576271186441,1,FALSE,0.384615384615385
"12","BIS",2010,"All grades","Female",1920,4010,0.478802992518703,"BISAll grades",0.474576271186441,1,FALSE,0.478802992518703
"13","BIS",2011,"SCS","Female",90,220,0.409090909090909,"BISSCS",0.474576271186441,1,FALSE,0.409090909090909
"16","BIS",2011,"All grades","Female",1670,3480,0.479885057471264,"BISAll grades",0.474576271186441,1,FALSE,0.479885057471264
"18","BIS",2012,"SCS","Female",80,200,0.4,"BISSCS",0.474576271186441,1,FALSE,0.4
"19","BIS",2012,"All grades","Female",1400,2950,0.474576271186441,"BISAll grades",0.474576271186441,1,FALSE,0.474576271186441
"22","CO",2008,"SCS","Female",80,200,0.4,"COSCS",0.497109826589595,1,FALSE,0.4
"24","CO",2008,"All grades","Female",680,1320,0.515151515151515,"COAll grades",0.497109826589595,1,FALSE,0.515151515151515
"26","CO",2009,"SCS","Female",80,190,0.421052631578947,"COSCS",0.497109826589595,1,FALSE,0.421052631578947
"27","CO",2009,"All grades","Female",710,1340,0.529850746268657,"COAll grades",0.497109826589595,1,FALSE,0.529850746268657
"30","CO",2010,"SCS","Female",90,200,0.45,"COSCS",0.497109826589595,1,FALSE,0.45
"32","CO",2010,"All grades","Female",720,1350,0.533333333333333,"COAll grades",0.497109826589595,1,FALSE,0.533333333333333
"33","CO",2011,"SCS","Female",100,220,0.454545454545455,"COSCS",0.497109826589595,1,FALSE,0.454545454545455
"36","CO",2011,"All grades","Female",850,1610,0.527950310559006,"COAll grades",0.497109826589595,1,FALSE,0.527950310559006
"38","CO",2012,"SCS","Female",90,220,0.409090909090909,"COSCS",0.497109826589595,1,FALSE,0.409090909090909
"39","CO",2012,"All grades","Female",860,1730,0.497109826589595,"COAll grades",0.497109826589595,1,FALSE,0.497109826589595
"42","DCLG",2008,"SCS","Female",80,180,0.444444444444444,"DCLGSCS",0.51063829787234,1,FALSE,0.444444444444444
"44","DCLG",2008,"All grades","Female",1500,2990,0.501672240802676,"DCLGAll grades",0.51063829787234,1,FALSE,0.501672240802676
"46","DCLG",2009,"SCS","Female",50,130,0.384615384615385,"DCLGSCS",0.51063829787234,1,FALSE,0.384615384615385
"47","DCLG",2009,"All grades","Female",1270,2530,0.50197628458498,"DCLGAll grades",0.51063829787234,1,FALSE,0.50197628458498
"50","DCLG",2010,"SCS","Female",50,130,0.384615384615385,"DCLGSCS",0.51063829787234,1,FALSE,0.384615384615385
"52","DCLG",2010,"All grades","Female",1320,2640,0.5,"DCLGAll grades",0.51063829787234,1,FALSE,0.5
