"","Group","Date","Civil.Service.grad","Ethnic.grou","count","total","share","sorter","yvar","minpop"
"1","BIS",2008,"SCS","Ethnic Minority",10,210,0.0476190476190476,0.214723926380368,0.0476190476190476,0.14
"2","BIS",2009,"All grades","Ethnic Minority",460,2810,0.163701067615658,0.214723926380368,0.163701067615658,0.14
"3","BIS",2012,"All grades","Ethnic Minority",350,1630,0.214723926380368,0.214723926380368,0.214723926380368,0.14
"4","BIS",2012,"SCS","Ethnic Minority",10,120,0.0833333333333333,0.214723926380368,0.0833333333333333,0.14
"5","BIS",2008,"All grades","Ethnic Minority",460,2880,0.159722222222222,0.214723926380368,0.159722222222222,0.14
"6","BIS",2011,"All grades","Ethnic Minority",400,1960,0.204081632653061,0.214723926380368,0.204081632653061,0.14
"7","BIS",2011,"SCS","Ethnic Minority",10,130,0.0769230769230769,0.214723926380368,0.0769230769230769,0.14
"8","BIS",2010,"All grades","Ethnic Minority",450,2170,0.207373271889401,0.214723926380368,0.207373271889401,0.14
"9","BIS",2010,"SCS","Ethnic Minority",10,150,0.0666666666666667,0.214723926380368,0.0666666666666667,0.14
"10","BIS",2009,"SCS","Ethnic Minority",10,210,0.0476190476190476,0.214723926380368,0.0476190476190476,0.14
"11","CO",2012,"SCS","Ethnic Minority",0,90,0,0.142857142857143,0,0.14
"12","CO",2011,"SCS","Ethnic Minority",10,130,0.0769230769230769,0.142857142857143,0.0769230769230769,0.14
"13","CO",2009,"SCS","Ethnic Minority",10,150,0.0666666666666667,0.142857142857143,0.0666666666666667,0.14
"14","CO",2010,"SCS","Ethnic Minority",0,120,0,0.142857142857143,0,0.14
"15","CO",2008,"SCS","Ethnic Minority",10,170,0.0588235294117647,0.142857142857143,0.0588235294117647,0.14
"16","CO",2010,"All grades","Ethnic Minority",100,830,0.120481927710843,0.142857142857143,0.120481927710843,0.14
"17","CO",2012,"All grades","Ethnic Minority",110,770,0.142857142857143,0.142857142857143,0.142857142857143,0.14
"18","CO",2009,"All grades","Ethnic Minority",130,960,0.135416666666667,0.142857142857143,0.135416666666667,0.14
"19","CO",2011,"All grades","Ethnic Minority",120,850,0.141176470588235,0.142857142857143,0.141176470588235,0.14
"20","CO",2008,"All grades","Ethnic Minority",130,1010,0.128712871287129,0.142857142857143,0.128712871287129,0.14
"21","DCLG",2012,"SCS","Ethnic Minority",10,80,0.125,0.2,0.125,0.14
"22","DCLG",2011,"SCS","Ethnic Minority",10,110,0.0909090909090909,0.2,0.0909090909090909,0.14
"23","DCLG",2009,"SCS","Ethnic Minority",10,100,0.1,0.2,0.1,0.14
"24","DCLG",2010,"SCS","Ethnic Minority",10,110,0.0909090909090909,0.2,0.0909090909090909,0.14
"25","DCLG",2008,"SCS","Ethnic Minority",20,120,0.166666666666667,0.2,0.166666666666667,0.14
"26","DCLG",2010,"All grades","Ethnic Minority",430,2160,0.199074074074074,0.2,0.199074074074074,0.14
"27","DCLG",2012,"All grades","Ethnic Minority",320,1600,0.2,0.2,0.2,0.14
"28","DCLG",2009,"All grades","Ethnic Minority",630,2100,0.3,0.2,0.3,0.14
"29","DCLG",2011,"All grades","Ethnic Minority",430,2030,0.211822660098522,0.2,0.211822660098522,0.14
"30","DCLG",2008,"All grades","Ethnic Minority",510,2150,0.237209302325581,0.2,0.237209302325581,0.14
"31","DCMS",2012,"All grades","Ethnic Minority",40,320,0.125,0.125,0.125,0.14
"32","DCMS",2012,"SCS","Ethnic Minority",0,30,0,0.125,0,0.14
"33","DCMS",2010,"SCS","Ethnic Minority",0,60,0,0.125,0,0.14
"34","DCMS",2011,"SCS","Ethnic Minority",0,50,0,0.125,0,0.14
"35","DCMS",2010,"All grades","Ethnic Minority",160,590,0.271186440677966,0.125,0.271186440677966,0.14
"36","DCMS",2009,"SCS","Ethnic Minority",0,50,0,0.125,0,0.14
"37","DCMS",2011,"All grades","Ethnic Minority",90,530,0.169811320754717,0.125,0.169811320754717,0.14
"38","DCMS",2009,"All grades","Ethnic Minority",140,570,0.245614035087719,0.125,0.245614035087719,0.14
"39","DCMS",2008,"SCS","Ethnic Minority",0,20,0,0.125,0,0.14
"40","DCMS",2008,"All grades","Ethnic Minority",60,430,0.13953488372093,0.125,0.13953488372093,0.14
"41","DECC",2009,"SCS","Ethnic Minority",0,40,0,0.168674698795181,0,0.14
"42","DECC",2008,"SCS","Ethnic Minority",0,0,NA,0.168674698795181,NA,0.14
"43","DECC",2010,"All grades","Ethnic Minority",90,640,0.140625,0.168674698795181,0.140625,0.14
"44","DECC",2008,"All grades","Ethnic Minority",0,0,NA,0.168674698795181,NA,0.14
"45","DECC",2009,"All grades","Ethnic Minority",90,590,0.152542372881356,0.168674698795181,0.152542372881356,0.14
