Dept,November,December,January,February,March,April,May
HMRC,0,0,0,0,0,0.333333333,0.375
DCMS,0.142857143,0.185185185,0.266666667,0.225,0.225,0.3125,0.333333333
HMT,0.25,0.2,0.2,0.2,0.2,0.263157895,0.391304348
DfT,0.181818182,0.222222222,0.363636364,0.391304348,0.346153846,0.322580645,0.314285714
FCO,0.285714286,0.2,0.2,0.2,0.272727273,0.3125,0.388888889
MoD,0,0,0,0.0625,0.0625,0.05,0.086956522
Defra,0.142857143,0.16,0.192307692,0.214285714,0.258064516,0.205128205,0.219512195
HO,0.137931034,0.111111111,0.157894737,0.163265306,0.163265306,0.213114754,0.212121212
DfID,0,0,0,0,0,0,0.04
DECC,0.222222222,0.208333333,0.208333333,0.208333333,0.2,0.185185185,0.225806452
CO,0.24,0.181818182,0.27027027,0.243243243,0.243243243,0.22,0.230769231
DfE,0.263157895,0.23255814,0.266666667,0.255319149,0.25,0.26,0.228070175
BIS,0.095238095,0.065217391,0.065217391,0.058823529,0.058823529,0.058823529,0.054054054
DCLG,0.24,0.212121212,0.212121212,0.2,0.2,0.148148148,0.172413793
MoJ,0.473684211,0.422222222,0.4375,0.431372549,0.442307692,0.438596491,0.397727273
DWP,0.45,0.392857143,0.413793103,0.413793103,0.4,0.351351351,0.304347826
DH,0.5,0.391304348,0.391304348,0.391304348,0.416666667,0.361111111,0.288135593
