Dept,Whitehall?,Raw 2010 Q3 FTE,Raw 2010 Q4 FTE,Raw 2011 Q1 FTE,Raw 2011 Q2 FTE,Raw 2011 Q3 FTE,Raw 2011 Q4 FTE,Raw 2012 Q1 FTE,Raw 2012 Q2 FTE,Raw 2012 Q3 FTE,Raw 2012 Q4 FTE,Reclass 2010 Q3,Reclass 2010 Q4,Reclass 2011 Q1,Reclass 2011 Q2,Reclass 2011 Q3,Reclass 2011 Q4,Reclass 2012 Q1,Reclass 2012 Q2,Reclass 2012 Q3,Reclass 2012 Q4,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,perc Change 2010 Q3 FTE,perc Change 2010 Q4 FTE,perc Change 2011 Q1 FTE,perc Change 2011 Q2 FTE,perc Change 2011 Q3 FTE,perc Change 2011 Q4 FTE,perc Change 2012 Q1 FTE,perc Change 2012 Q2 FTE,perc Change 2012 Q3 FTE,perc Change 2012 Q4 FTE,Product,Number of periods,Change Rate,Cumulative endogenous change,Cumulative perc cut,Check total change,Dept group,Dept group alt,Cumulative abs endog change to 2010 Q3,Cumulative abs endog change to 2010 Q4,Cumulative abs endog change to 2011 Q1,Cumulative abs endog change to 2011 Q2,Cumulative abs endog change to 2011 Q3,Cumulative abs endog change to 2011 Q4,Cumulative abs endog change to 2012 Q1,Cumulative abs endog change to 2012 Q2,Cumulative abs endog change to 2012 Q3,Cumulative abs endog change to 2012 Q4,Cumulative perc endog change to 2010 Q3,Cumulative perc endog change to 2010 Q4,Cumulative perc endog change to 2011 Q1,Cumulative perc endog change to 2011 Q2,Cumulative perc endog change to 2011 Q3,Cumulative perc endog change to 2011 Q4,Cumulative perc endog change to 2012 Q1,Cumulative perc endog change to 2012 Q2,Cumulative perc endog change to 2012 Q3,Cumulative perc endog change to 2012 Q4,Check cumulative change
AGO,Core Whitehall Depts.,50,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0.8,9,-0.024488888,-10,-0.2,OK,Other,Other,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,OK
BIS,Core Whitehall Depts.,3760,3420,3400,3170,2880,2910,2930,3040,3010,3020,0,0,0,0,0,0,-50,30,0,0,0,-340,-20,-230,-290,30,70,80,-30,10,0,-0.090425532,-0.005847953,-0.067647059,-0.09148265,0.010416667,0.024054983,0.027303754,-0.009868421,0.003322259,0.808836337,9,-0.02329751,-720,-0.191163663,OK,Policy,Policy,0,-340,-360,-590,-880,-850,-780,-700,-730,-720,0,-0.090425532,-0.095744681,-0.156914894,-0.234042553,-0.22606383,-0.207446809,-0.185807131,-0.193841929,-0.191163663,OK
CO,Core Whitehall Depts.,1500,1460,1520,1630,1630,1640,1710,1800,1770,1800,0,0,0,200,0,0,50,98,0,0,0,-40,60,-90,0,10,20,-8,-30,30,0,-0.026666667,0.04109589,-0.059210526,0,0.006134969,0.012195122,-0.004678363,-0.016666667,0.016949153,0.96633722,9,-0.003797484,-48,-0.03366278,OK,Centre,Centre,0,-40,20,-70,-70,-60,-40,-48,-78,-48,0,-0.026666667,0.013333333,-0.046666667,-0.046666667,-0.040817996,-0.029120654,-0.03366278,-0.0497684,-0.03366278,OK
DCLG,Core Whitehall Depts.,2520,2470,2250,2020,2110,1860,1820,1700,1680,1660,0,0,0,0,0,0,0,0,0,0,0,-50,-220,-230,90,-250,-40,-120,-20,-20,0,-0.01984127,-0.089068826,-0.102222222,0.044554455,-0.118483412,-0.021505376,-0.065934066,-0.011764706,-0.011904762,0.658730159,9,-0.045323144,-860,-0.341269841,OK,Policy,Policy,0,-50,-270,-500,-410,-660,-700,-820,-840,-860,0,-0.01984127,-0.107142857,-0.198412698,-0.162698413,-0.261904762,-0.277777778,-0.325396825,-0.333333333,-0.341269841,OK
DCMS,Core Whitehall Depts.,460,460,450,490,460,460,450,450,520,400,0,0,0,0,0,0,0,0,0,0,0,0,-10,40,-30,0,-10,0,70,-120,0,0,-0.02173913,0.088888889,-0.06122449,0,-0.02173913,0,0.155555556,-0.230769231,0.869565217,9,-0.01540915,-60,-0.130434783,OK,Policy,Policy,0,0,-10,30,0,0,-10,-10,60,-60,0,0,-0.02173913,0.065217391,-1.11E-16,-1.11E-16,-0.02173913,-0.02173913,0.130434783,-0.130434783,OK
DECC,Core Whitehall Depts.,1120,1130,1150,1170,1190,1230,1290,1320,1370,1390,0,0,0,0,0,0,0,0,0,0,0,10,20,20,20,40,60,30,50,20,0,0.008928571,0.017699115,0.017391304,0.017094017,0.033613445,0.048780488,0.023255814,0.037878788,0.01459854,1.241071429,9,0.02428748,270,0.241071429,OK,Policy,Policy,0,10,30,50,70,110,170,200,250,270,0,0.008928571,0.026785714,0.044642857,0.0625,0.098214286,0.151785714,0.178571429,0.223214286,0.241071429,OK
DEFRA,Core Whitehall Depts.,2590,2570,2530,2340,2100,2080,2090,2060,2020,2040,0,0,0,0,0,0,0,0,0,0,0,-20,-40,-190,-240,-20,10,-30,-40,20,0,-0.007722008,-0.015564202,-0.075098814,-0.102564103,-0.00952381,0.004807692,-0.014354067,-0.019417476,0.00990099,0.787644788,9,-0.02617447,-550,-0.212355212,OK,Policy,Policy,0,-20,-60,-250,-490,-510,-500,-530,-570,-550,0,-0.007722008,-0.023166023,-0.096525097,-0.189189189,-0.196911197,-0.193050193,-0.204633205,-0.22007722,-0.212355212,OK
DfE,Core Whitehall Depts.,2800,2740,2660,2490,2490,2580,2590,2630,2550,2560,0,0,0,0,0,0,0,0,0,0,0,-60,-80,-170,0,90,10,40,-80,10,0,-0.021428571,-0.02919708,-0.063909774,0,0.036144578,0.003875969,0.015444015,-0.030418251,0.003921569,0.914285714,9,-0.009907501,-240,-0.085714286,OK,Policy,Policy,0,-60,-140,-310,-310,-220,-210,-170,-250,-240,0,-0.021428571,-0.05,-0.110714286,-0.110714286,-0.078571429,-0.075,-0.060714286,-0.089285714,-0.085714286,OK
DfID,Core Whitehall Depts.,1600,1580,1570,1560,1560,1620,1650,1690,1710,1730,0,0,0,0,0,0,0,0,0,0,0,-20,-10,-10,0,60,30,40,20,20,0,-0.0125,-0.006329114,-0.006369427,0,0.038461538,0.018518519,0.024242424,0.01183432,0.011695906,1.08125,9,0.008717532,130,0.08125,OK,Foreign facing,Foreign facing,0,-20,-30,-40,-40,20,50,90,110,130,0,-0.0125,-0.01875,-0.025,-0.025,0.0125,0.03125,0.05625,0.06875,0.08125,OK
DfT,Core Whitehall Depts.,2070,2030,1860,1780,1710,1660,1630,1640,1660,1700,0,0,0,0,0,0,0,0,0,0,0,-40,-170,-80,-70,-50,-30,10,20,40,0,-0.019323671,-0.083743842,-0.043010753,-0.039325843,-0.029239766,-0.018072289,0.006134969,0.012195122,0.024096386,0.821256039,9,-0.021642408,-370,-0.178743961,OK,Policy,Policy,0,-40,-210,-290,-360,-410,-440,-430,-410,-370,0,-0.019323671,-0.101449275,-0.140096618,-0.173913043,-0.198067633,-0.212560386,-0.207729469,-0.198067633,-0.178743961,OK
DH,Core Whitehall Depts.,2540,2570,2560,2390,2370,2330,2290,2270,2260,2240,0,0,0,0,0,0,0,0,0,0,0,30,-10,-170,-20,-40,-40,-20,-10,-20,0,0.011811024,-0.003891051,-0.06640625,-0.008368201,-0.016877637,-0.017167382,-0.008733624,-0.004405286,-0.008849558,0.881889764,9,-0.013868294,-300,-0.118110236,OK,Policy,Policy,0,30,20,-150,-170,-210,-250,-270,-280,-300,0,0.011811024,0.007874016,-0.059055118,-0.066929134,-0.082677165,-0.098425197,-0.106299213,-0.11023622,-0.118110236,OK
DWP,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,0,,,Delivery,Delivery,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
FCO,Core Whitehall Depts.,5900,5770,5660,5560,5450,5770,5780,6420,5450,5600,0,0,0,0,0,0,0,0,0,0,0,-130,-110,-100,-110,320,10,640,-970,150,0,-0.022033898,-0.019064125,-0.017667845,-0.019784173,0.058715596,0.001733102,0.110726644,-0.151090343,0.027522936,0.949152542,9,-0.005781639,-300,-0.050847458,OK,Foreign facing,Foreign facing,0,-130,-240,-340,-450,-130,-120,520,-450,-300,0,-0.022033898,-0.040677966,-0.057627119,-0.076271186,-0.022033898,-0.020338983,0.088135593,-0.076271186,-0.050847458,OK
GEO,Core Whitehall Depts.,110,110,110,0,0,0,0,0,0,0,0,0,0,-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,,0,,,Other,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
