#,Columns that need attention when updating,"Raw ONS figures as collated, summed by department and Whitehall/non-Whitehall",,,,,,,,,,,,,Reclassifications in each period,,,,,,,,,,,,,"Change in each period, accounting for reclassifications in each period",,,,,,,,,,,,,"% Change in each period, accounting for reclassifications in each period",,,,,,,,,,,,, Calculated rates ,,,,,,"Cumulative change to each period, accounting for reclassifications",,,,,,,,,,,,,"Cumulative % change to each period, accounting for reclassifications",,,,,,,,,,,,,,Latest and previous period figures. Relies on information entered on SETUP sheet being correct and up to date.,,,,,,,,,
#,,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHECK: Latest quarter: 2013 Q3,,,,CHECK: Previous quarter: 2013 Q2,,,,,
Dept,Whitehall?,ONS 2010 Q3 FTE,ONS 2010 Q4 FTE,ONS 2011 Q1 FTE,ONS 2011 Q2 FTE,ONS 2011 Q3 FTE,ONS 2011 Q4 FTE,ONS 2012 Q1 FTE,ONS 2012 Q2 FTE,ONS 2012 Q3 FTE,ONS 2012 Q4 FTE,ONS 2013 Q1 FTE,ONS 2013 Q2 FTE,ONS 2013 Q3 FTE,Reclass 2010 Q3,Reclass 2010 Q4,Reclass 2011 Q1,Reclass 2011 Q2,Reclass 2011 Q3,Reclass 2011 Q4,Reclass 2012 Q1,Reclass 2012 Q2,Reclass 2012 Q3,Reclass 2012 Q4,Reclass 2013 Q1,Reclass 2013 Q2,Reclass 2013 Q3,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,Change 2013 Q1 FTE,Change 2013 Q2 FTE,Change 2013 Q3 FTE,% Change 2010 Q3 FTE,% Change 2010 Q4 FTE,% Change 2011 Q1 FTE,% Change 2011 Q2 FTE,% Change 2011 Q3 FTE,% Change 2011 Q4 FTE,% Change 2012 Q1 FTE,% Change 2012 Q2 FTE,% Change 2012 Q3 FTE,% Change 2012 Q4 FTE,% Change 2013 Q1 FTE,% Change 2013 Q2 FTE,% Change 2013 Q3 FTE, Product , Number of periods ,Change Rate,Cumulative net change,Cumulative % change, Check total change , Cumulative net change to 2010 Q3 , Cumulative net change to 2010 Q4 , Cumulative net change to 2011 Q1 , Cumulative net change to 2011 Q2 , Cumulative net change to 2011 Q3 , Cumulative net change to 2011 Q4 , Cumulative net change to 2012 Q1 , Cumulative net change to 2012 Q2 , Cumulative net change to 2012 Q3 , Cumulative net change to 2012 Q4 , Cumulative net change to 2013 Q1 , Cumulative net change to 2013 Q2 , Cumulative net change to 2013 Q3 , Cumulative % net change to 2010 Q3 , Cumulative % net change to 2010 Q4 , Cumulative % net change to 2011 Q1 , Cumulative % net change to 2011 Q2 , Cumulative % net change to 2011 Q3 , Cumulative % net change to 2011 Q4 , Cumulative % net change to 2012 Q1 , Cumulative % net change to 2012 Q2 , Cumulative % net change to 2012 Q3 , Cumulative % net change to 2012 Q4 , Cumulative % net change to 2013 Q1 , Cumulative % net change to 2013 Q2 , Cumulative % net change to 2013 Q3 , Check cumulative change , Cumulative % net change to Previous Quarter , Cumulative % net change to Latest Quarter , Cumulative net change to Previous Quarter , Cumulative net change to Latest Quarter , Net change in Previous Quarter , Net change in Latest Quarter , % net change in Previous Quarter , % net change in Latest Quarter , ONS total in previous quarter , ONS total in latest quarter 
AGO,Whitehall,50,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,-20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,12,-1.84%,-10,-20.00%, OK ,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,-20%,OK,-20%,-20%,-10,-10,0,0,0.0%,0.0%,40,40
BIS,Whitehall,3760,3420,3400,3170,2880,2910,2930,3040,3010,3020,3060,3000,3000,0,0,0,0,0,0,-50,30,0,0,0,0,0,0,-340,-20,-230,-290,30,70,80,-30,10,40,-60,0,0,-9.0%,-0.6%,-6.8%,-9.1%,1.0%,2.4%,2.7%,-1.0%,0.3%,1.3%,-2.0%,0.0%,80.3%,12,-1.81%,-740,-19.65%, OK ,0,-340,-360,-590,-880,-850,-780,-700,-730,-720,-680,-740,-740,0,-9%,-10%,-16%,-23%,-23%,-21%,-19%,-19%,-19%,-18%,-20%,-20%,OK,-20%,-19.7%,-740,-740,-60,0,-2.0%,0.0%,3000,3000
CO,Whitehall,1500,1460,1520,1630,1630,1640,1710,1800,1770,1800,1810,1880,1920,0,0,0,200,0,0,50,98,0,0,0,0,0,0,-40,60,-90,0,10,20,-8,-30,30,10,70,40,0,-2.7%,4.1%,-5.9%,0.0%,0.6%,1.2%,-0.5%,-1.7%,1.7%,0.6%,3.9%,2.1%,103.1%,12,0.25%,72,3.08%, OK ,0,-40,20,-70,-70,-60,-40,-48,-78,-48,-38,32,72,0,-3%,1%,-5%,-5%,-4%,-3%,-3%,-5%,-3%,-3%,1%,3%,OK,1%,3%,32,72,70,40,3.9%,2.1%,1880,1920
DCLG,Whitehall,2520,2470,2250,2020,2110,1860,1820,1700,1680,1660,1680,1600,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,-220,-230,90,-250,-40,-120,-20,-20,20,-80,50,0,-2.0%,-8.9%,-10.2%,4.5%,-11.8%,-2.2%,-6.6%,-1.2%,-1.2%,1.2%,-4.8%,3.1%,65.5%,12,-3.47%,-870,-34.52%, OK ,0,-50,-270,-500,-410,-660,-700,-820,-840,-860,-840,-920,-870,0,-2%,-11%,-20%,-16%,-26%,-28%,-33%,-33%,-34%,-33%,-37%,-35%,OK,-37%,-34.5%,-920,-870,-80,50,-4.8%,3.1%,1600,1650
DCMS,Whitehall,460,460,450,490,460,460,450,450,520,400,390,470,480,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,-10,40,-30,0,-10,0,70,-120,-110,80,10,0,0.0%,-2.2%,8.9%,-6.1%,0.0%,-2.2%,0.0%,15.6%,-23.1%,-27.5%,20.5%,2.1%,77.6%,12,-2.09%,-80,-22.41%, OK ,0,0,-10,30,0,0,-10,-10,60,-60,-170,-90,-80,0,0%,-2%,7%,0%,0%,-2%,-2%,13%,-13%,-37%,-24%,-22%,OK,-24%,-22%,-90,-80,80,10,20.5%,2.1%,470,480
DECC,Whitehall,1120,1130,1150,1170,1190,1230,1290,1320,1370,1390,1430,1480,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,20,40,60,30,50,20,40,50,20,0,0.9%,1.8%,1.7%,1.7%,3.4%,4.9%,2.3%,3.8%,1.5%,2.9%,3.5%,1.4%,133.9%,12,2.46%,380,33.93%, OK ,0,10,30,50,70,110,170,200,250,270,310,360,380,0,1%,3%,4%,6%,10%,15%,18%,22%,24%,28%,32%,34%,OK,32%,34%,360,380,50,20,3.5%,1.4%,1480,1500
Defra,Whitehall,2590,2570,2530,2340,2100,2080,2090,2060,2020,2040,2090,2140,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-40,-190,-240,-20,10,-30,-40,20,50,50,40,0,-0.8%,-1.6%,-7.5%,-10.3%,-1.0%,0.5%,-1.4%,-1.9%,1.0%,2.5%,2.4%,1.9%,84.2%,12,-1.43%,-410,-15.83%, OK ,0,-20,-60,-250,-490,-510,-500,-530,-570,-550,-500,-450,-410,0,-1%,-2%,-10%,-19%,-20%,-19%,-20%,-22%,-21%,-19%,-17%,-16%,OK,-17%,-15.8%,-450,-410,50,40,2.4%,1.9%,2140,2180
DfE,Whitehall,2800,2740,2660,2490,2490,2580,2590,2630,2550,2560,2520,2360,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,-80,-170,0,90,10,40,-80,10,-40,-160,-180,0,-2.1%,-2.9%,-6.4%,0.0%,3.6%,0.4%,1.5%,-3.0%,0.4%,-1.6%,-6.3%,-7.6%,77.9%,12,-2.06%,-620,-22.14%, OK ,0,-60,-140,-310,-310,-220,-210,-170,-250,-240,-280,-440,-620,0,-2%,-5%,-11%,-11%,-8%,-8%,-6%,-9%,-9%,-10%,-16%,-22%,OK,-16%,-22%,-440,-620,-160,-180,-6.3%,-7.6%,2360,2180
DfID,Whitehall,1600,1580,1570,1560,1560,1620,1650,1690,1710,1730,1760,1810,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-10,-10,0,60,30,40,20,20,30,50,20,0,-1.3%,-0.6%,-0.6%,0.0%,3.8%,1.9%,2.4%,1.2%,1.2%,1.7%,2.8%,1.1%,114.4%,12,1.13%,230,14.37%, OK ,0,-20,-30,-40,-40,20,50,90,110,130,160,210,230,0,-1%,-2%,-3%,-3%,1%,3%,6%,7%,8%,10%,13%,14%,OK,13%,14%,210,230,50,20,2.8%,1.1%,1810,1830
DfT,Whitehall,2070,2030,1860,1780,1710,1660,1630,1640,1660,1700,1710,1770,1760,0,0,0,0,0,0,0,0,0,0,0,90,0,0,-40,-170,-80,-70,-50,-30,10,20,40,10,-30,-10,0,-1.9%,-8.4%,-4.3%,-3.9%,-2.9%,-1.8%,0.6%,1.2%,2.4%,0.6%,-1.8%,-0.6%,80.7%,12,-1.77%,-400,-19.30%, OK ,0,-40,-210,-290,-360,-410,-440,-430,-410,-370,-360,-390,-400,0,-2%,-10%,-14%,-17%,-20%,-21%,-21%,-20%,-18%,-17%,-19%,-19%,OK,-19%,-19.3%,-390,-400,-30,-10,-1.8%,-0.6%,1770,1760
