#,Columns that need attention when updating,"Raw ONS figures as collated, summed by department and Whitehall/non-Whitehall",,,,,,,,,,,,,,Reclassifications in each period,,,,,,,,,,,,,,"Change in each period, accounting for reclassifications in each period",,,,,,,,,,,,,,"% Change in each period, accounting for reclassifications in each period",,,,,,,,,,,,,,Calculated rates,,,,,,"Cumulative change to each period, accounting for reclassifications",,,,,,,,,,,,,,"Cumulative % change to each period, accounting for reclassifications",,,,,,,,,,,,,,,Latest and previous period figures. Relies on information entered on SETUP sheet being correct and up to date.,,,,,,,,,
#,,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHECK: Latest quarter: 2013 Q4,,,,CHECK: Previous quarter: 2013 Q3,,,,,
Dept,Whitehall?,ONS 2010 Q3 FTE,ONS 2010 Q4 FTE,ONS 2011 Q1 FTE,ONS 2011 Q2 FTE,ONS 2011 Q3 FTE,ONS 2011 Q4 FTE,ONS 2012 Q1 FTE,ONS 2012 Q2 FTE,ONS 2012 Q3 FTE,ONS 2012 Q4 FTE,ONS 2013 Q1 FTE,ONS 2013 Q2 FTE,ONS 2013 Q3 FTE,ONS 2013 Q4 FTE,Reclass 2010 Q3,Reclass 2010 Q4,Reclass 2011 Q1,Reclass 2011 Q2,Reclass 2011 Q3,Reclass 2011 Q4,Reclass 2012 Q1,Reclass 2012 Q2,Reclass 2012 Q3,Reclass 2012 Q4,Reclass 2013 Q1,Reclass 2013 Q2,Reclass 2013 Q3,Reclass 2013 Q4,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,Change 2013 Q1 FTE,Change 2013 Q2 FTE,Change 2013 Q3 FTE,Change 2013 Q4 FTE,% Change 2010 Q3 FTE,% Change 2010 Q4 FTE,% Change 2011 Q1 FTE,% Change 2011 Q2 FTE,% Change 2011 Q3 FTE,% Change 2011 Q4 FTE,% Change 2012 Q1 FTE,% Change 2012 Q2 FTE,% Change 2012 Q3 FTE,% Change 2012 Q4 FTE,% Change 2013 Q1 FTE,% Change 2013 Q2 FTE,% Change 2013 Q3 FTE,% Change 2013 Q4 FTE,Product,Number of periods,Change Rate,Cumulative net change,Cumulative % change,Check total change,Cumulative net change to 2010 Q3,Cumulative net change to 2010 Q4,Cumulative net change to 2011 Q1,Cumulative net change to 2011 Q2,Cumulative net change to 2011 Q3,Cumulative net change to 2011 Q4,Cumulative net change to 2012 Q1,Cumulative net change to 2012 Q2,Cumulative net change to 2012 Q3,Cumulative net change to 2012 Q4,Cumulative net change to 2013 Q1,Cumulative net change to 2013 Q2,Cumulative net change to 2013 Q3,Cumulative net change to 2013 Q4,Cumulative % net change to 2010 Q3,Cumulative % net change to 2010 Q4,Cumulative % net change to 2011 Q1,Cumulative % net change to 2011 Q2,Cumulative % net change to 2011 Q3,Cumulative % net change to 2011 Q4,Cumulative % net change to 2012 Q1,Cumulative % net change to 2012 Q2,Cumulative % net change to 2012 Q3,Cumulative % net change to 2012 Q4,Cumulative % net change to 2013 Q1,Cumulative % net change to 2013 Q2,Cumulative % net change to 2013 Q3,Cumulative % net change to 2013 Q4,Check cumulative change,Cumulative % net change to Previous Quarter,Cumulative % net change to Latest Quarter,Cumulative net change to Previous Quarter,Cumulative net change to Latest Quarter,Net change in Previous Quarter,Net change in Latest Quarter,% net change in Previous Quarter,% net change in Latest Quarter,ONS total in previous quarter,ONS total in latest quarter
AGO,Whitehall,50,40,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,13,-0.017018411,-10,-0.2,OK,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,OK,-0.2,-0.2,-10,-10,0,0,0,0,40,40
BIS,Whitehall,3760,3420,3400,3170,2880,2910,2930,3040,3010,3020,3060,3000,3000,3000,0,0,0,0,0,0,-50,30,0,0,0,0,0,0,0,-340,-20,-230,-290,30,70,80,-30,10,40,-60,0,0,0,-0.090425532,-0.005847953,-0.067647059,-0.09148265,0.010416667,0.024054983,0.027303754,-0.009868421,0.003322259,0.013245033,-0.019607843,0,0,0.803479805,13,-0.016690167,-740,-0.196520195,OK,0,-340,-360,-590,-880,-850,-780,-700,-730,-720,-680,-740,-740,-740,0,-0.090425532,-0.095744681,-0.156914894,-0.234042553,-0.22606383,-0.207446809,-0.185807131,-0.193841929,-0.191163663,-0.180450599,-0.196520195,-0.196520195,-0.196520195,OK,-0.196520195,-0.196520195,-740,-740,0,0,0,0,3000,3000
CO,Whitehall,1500,1460,1520,1630,1630,1640,1710,1800,1770,1800,1810,1880,1920,1980,0,0,0,200,0,0,50,98,0,0,0,0,0,0,0,-40,60,-90,0,10,20,-8,-30,30,10,70,40,60,0,-0.026666667,0.04109589,-0.059210526,0,0.006134969,0.012195122,-0.004678363,-0.016666667,0.016949153,0.005555556,0.038674033,0.021276596,0.03125,1.062970942,13,0.004708571,72,0.062970942,OK,0,-40,20,-70,-70,-60,-40,-48,-78,-48,-38,32,72,132,0,-0.026666667,0.013333333,-0.046666667,-0.046666667,-0.040817996,-0.029120654,-0.03366278,-0.0497684,-0.03366278,-0.02829424,0.009285541,0.030759701,0.062970942,OK,0.030759701,0.062970942,72,132,40,60,0.021276596,0.03125,1920,1980
DCLG,Whitehall,2520,2470,2250,2020,2110,1860,1820,1700,1680,1660,1680,1600,1650,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,-220,-230,90,-250,-40,-120,-20,-20,20,-80,50,10,0,-0.01984127,-0.089068826,-0.102222222,0.044554455,-0.118483412,-0.021505376,-0.065934066,-0.011764706,-0.011904762,0.012048193,-0.047619048,0.03125,0.006060606,0.658730159,13,-0.031600789,-870,-0.341269841,OK,0,-50,-270,-500,-410,-660,-700,-820,-840,-860,-840,-920,-870,-860,0,-0.01984127,-0.107142857,-0.198412698,-0.162698413,-0.261904762,-0.277777778,-0.325396825,-0.333333333,-0.341269841,-0.333333333,-0.365079365,-0.345238095,-0.341269841,OK,-0.345238095,-0.341269841,-870,-860,50,10,0.03125,0.006060606,1650,1660
DCMS,Whitehall,460,460,450,490,460,460,450,450,520,400,390,470,480,380,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,-10,40,-30,0,-10,0,70,-120,-110,80,10,-100,0,0,-0.02173913,0.088888889,-0.06122449,0,-0.02173913,0,0.155555556,-0.230769231,-0.275,0.205128205,0.021276596,-0.208333333,0.614269788,13,-0.036792324,-80,-0.385730212,OK,0,0,-10,30,0,0,-10,-10,60,-60,-170,-90,-80,-180,0,0,-0.02173913,0.065217391,-1.11022E-16,-1.11022E-16,-0.02173913,-0.02173913,0.130434783,-0.130434783,-0.369565217,-0.240245262,-0.224080268,-0.385730212,OK,-0.224080268,-0.385730212,-80,-180,10,-100,0.021276596,-0.208333333,480,380
DECC,Whitehall,1120,1130,1150,1170,1190,1230,1290,1320,1370,1390,1430,1480,1500,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,20,40,60,30,50,20,40,50,20,70,0,0.008928571,0.017699115,0.017391304,0.017094017,0.033613445,0.048780488,0.023255814,0.037878788,0.01459854,0.028776978,0.034965035,0.013513514,0.046666667,1.401785714,13,0.026320969,380,0.401785714,OK,0,10,30,50,70,110,170,200,250,270,310,360,380,450,0,0.008928571,0.026785714,0.044642857,0.0625,0.098214286,0.151785714,0.178571429,0.223214286,0.241071429,0.276785714,0.321428571,0.339285714,0.401785714,OK,0.339285714,0.401785714,380,450,20,70,0.013513514,0.046666667,1500,1570
DEFRA,Whitehall,2590,2570,2530,2340,2100,2080,2090,2060,2020,2040,2090,2140,2180,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-40,-190,-240,-20,10,-30,-40,20,50,50,40,-20,0,-0.007722008,-0.015564202,-0.075098814,-0.102564103,-0.00952381,0.004807692,-0.014354067,-0.019417476,0.00990099,0.024509804,0.023923445,0.018691589,-0.009174312,0.833976834,13,-0.013868295,-410,-0.166023166,OK,0,-20,-60,-250,-490,-510,-500,-530,-570,-550,-500,-450,-410,-430,0,-0.007722008,-0.023166023,-0.096525097,-0.189189189,-0.196911197,-0.193050193,-0.204633205,-0.22007722,-0.212355212,-0.193050193,-0.173745174,-0.158301158,-0.166023166,OK,-0.158301158,-0.166023166,-410,-430,40,-20,0.018691589,-0.009174312,2180,2160
DfE,Whitehall,2800,2740,2660,2490,2490,2580,2590,2630,2550,2560,2520,2360,2180,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,-80,-170,0,90,10,40,-80,10,-40,-160,-180,40,0,-0.021428571,-0.02919708,-0.063909774,0,0.036144578,0.003875969,0.015444015,-0.030418251,0.003921569,-0.015625,-0.063492063,-0.076271186,0.018348624,0.792857143,13,-0.017696334,-620,-0.207142857,OK,0,-60,-140,-310,-310,-220,-210,-170,-250,-240,-280,-440,-620,-580,0,-0.021428571,-0.05,-0.110714286,-0.110714286,-0.078571429,-0.075,-0.060714286,-0.089285714,-0.085714286,-0.1,-0.157142857,-0.221428571,-0.207142857,OK,-0.221428571,-0.207142857,-620,-580,-180,40,-0.076271186,0.018348624,2180,2220
DfID,Whitehall,1600,1580,1570,1560,1560,1620,1650,1690,1710,1730,1760,1810,1830,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-10,-10,0,60,30,40,20,20,30,50,20,-10,0,-0.0125,-0.006329114,-0.006369427,0,0.038461538,0.018518519,0.024242424,0.01183432,0.011695906,0.01734104,0.028409091,0.011049724,-0.005464481,1.1375,13,0.00995949,230,0.1375,OK,0,-20,-30,-40,-40,20,50,90,110,130,160,210,230,220,0,-0.0125,-0.01875,-0.025,-0.025,0.0125,0.03125,0.05625,0.06875,0.08125,0.1,0.13125,0.14375,0.1375,OK,0.14375,0.1375,230,220,20,-10,0.011049724,-0.005464481,1830,1820
DfT,Whitehall,2070,2030,1860,1780,1710,1660,1630,1640,1660,1700,1710,1770,1760,1770,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-40,-170,-80,-70,-50,-30,10,20,40,10,-30,-10,10,0,-0.019323671,-0.083743842,-0.043010753,-0.039325843,-0.029239766,-0.018072289,0.006134969,0.012195122,0.024096386,0.005882353,-0.01754386,-0.005649718,0.005681818,0.811594203,13,-0.015929819,-400,-0.188405797,OK,0,-40,-210,-290,-360,-410,-440,-430,-410,-370,-360,-390,-400,-390,0,-0.019323671,-0.101449275,-0.140096618,-0.173913043,-0.198067633,-0.212560386,-0.207729469,-0.198067633,-0.178743961,-0.173913043,-0.188405797,-0.192991075,-0.188405797,OK,-0.192991075,-0.188405797,-400,-390,-10,10,-0.005649718,0.005681818,1760,1770
