Dept,Whitehall?,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,% Change 2010 Q4 FTE,% Change 2011 Q1 FTE,% Change 2011 Q2 FTE,% Change 2011 Q3 FTE,% Change 2011 Q4 FTE,% Change 2012 Q1 FTE,% Change 2012 Q2 FTE,% Change 2012 Q3 FTE,% Change 2012 Q4 FTE,Change from baseline 2010 Q3 FTE,Change from baseline 2010 Q4 FTE,Change from baseline 2011 Q1 FTE,Change from baseline 2011 Q2 FTE,Change from baseline 2011 Q3 FTE,Change from baseline 2011 Q4 FTE,Change from baseline 2012 Q1 FTE,Change from baseline 2012 Q2 FTE,Change from baseline 2012 Q3 FTE,Change from baseline 2012 Q4 FTE,% Change from baseline 2010 Q3,% Change from baseline 2010 Q4,% Change from baseline 2011 Q1,% Change from baseline 2011 Q2,% Change from baseline 2011 Q3,% Change from baseline 2011 Q4,% Change from baseline 2012 Q1,% Change from baseline 2012 Q2,% Change from baseline 2012 Q3,% Change from baseline 2012 Q4,Product,Change Rate,FTE start,FTE end,FTE end calc,Diff,Dept group,Dept group 2,Stdev of rate
AGO,Core Whitehall Depts.,0,-10,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.8,-0.024488888,50,40,40,0,Other,Other,0.066666667
BIS,Core Whitehall Depts.,0,-340,-20,-230,-290,30,20,110,-30,10,-0.090425532,-0.005847953,-0.067647059,-0.09148265,0.010416667,0.006872852,0.037542662,-0.009868421,0.003322259,0,-340,-360,-590,-880,-850,-830,-720,-750,-740,0,-0.090425532,-0.095744681,-0.156914894,-0.234042553,-0.22606383,-0.220744681,-0.191489362,-0.199468085,-0.196808511,0.803191489,-0.024057245,3760,3020,3020,0,Policy,Policy,0.04751763
CO,Core Whitehall Depts.,0,-40,60,-90,0,10,70,128,-30,30,-0.026666667,0.04109589,-0.059210526,0,0.006993007,0.048611111,0.084768212,-0.018315018,0.018656716,0,-40,20,-70,-70,-60,10,138,108,138,0,-0.026666667,0.013333333,-0.046666667,-0.046666667,-0.04,0.006666667,0.092,0.072,0.092,1.092,0.009826957,1500,1638,1638,0,Centre,Centre,0.043537928
DCLG,Core Whitehall Depts.,0,-50,-220,-230,90,-250,-40,-120,-20,-20,-0.01984127,-0.089068826,-0.102222222,0.044554455,-0.118483412,-0.021505376,-0.065934066,-0.011764706,-0.011904762,0,-50,-270,-500,-410,-660,-700,-820,-840,-860,0,-0.01984127,-0.107142857,-0.198412698,-0.162698413,-0.261904762,-0.277777778,-0.325396825,-0.333333333,-0.341269841,0.658730159,-0.045323144,2520,1660,1660,0,Policy,Policy,0.052974838
DCMS,Core Whitehall Depts.,0,0,-10,40,-30,0,-10,0,70,-120,0,-0.02173913,0.088888889,-0.06122449,0,-0.02173913,0,0.155555556,-0.230769231,0,0,-10,30,0,0,-10,-10,60,-60,0,0,-0.02173913,0.065217391,0,0,-0.02173913,-0.02173913,0.130434783,-0.130434783,0.869565217,-0.01540915,460,400,400,0,Policy,Policy,0.105549842
DECC,Core Whitehall Depts.,0,10,20,20,20,40,60,30,50,20,0.008928571,0.017699115,0.017391304,0.017094017,0.033613445,0.048780488,0.023255814,0.037878788,0.01459854,0,10,30,50,70,110,170,200,250,270,0,0.008928571,0.026785714,0.044642857,0.0625,0.098214286,0.151785714,0.178571429,0.223214286,0.241071429,1.241071429,0.02428748,1120,1390,1390,0,Policy,Policy,0.012966799
DEFRA,Core Whitehall Depts.,0,-20,-40,-190,-240,-20,10,-30,-40,20,-0.007722008,-0.015564202,-0.075098814,-0.102564103,-0.00952381,0.004807692,-0.014354067,-0.019417476,0.00990099,0,-20,-60,-250,-490,-510,-500,-530,-570,-550,0,-0.007722008,-0.023166023,-0.096525097,-0.189189189,-0.196911197,-0.193050193,-0.204633205,-0.22007722,-0.212355212,0.787644788,-0.02617447,2590,2040,2040,0,Policy,Policy,0.037752399
DfE,Core Whitehall Depts.,0,-60,-80,-170,0,90,10,40,-80,10,-0.021428571,-0.02919708,-0.063909774,0,0.036144578,0.003875969,0.015444015,-0.030418251,0.003921569,0,-60,-140,-310,-310,-220,-210,-170,-250,-240,0,-0.021428571,-0.05,-0.110714286,-0.110714286,-0.078571429,-0.075,-0.060714286,-0.089285714,-0.085714286,0.914285714,-0.009907501,2800,2560,2560,0,Policy,Policy,0.029755669
DfID,Core Whitehall Depts.,0,-20,-10,-10,0,60,30,40,20,20,-0.0125,-0.006329114,-0.006369427,0,0.038461538,0.018518519,0.024242424,0.01183432,0.011695906,0,-20,-30,-40,-40,20,50,90,110,130,0,-0.0125,-0.01875,-0.025,-0.025,0.0125,0.03125,0.05625,0.06875,0.08125,1.08125,0.008717532,1600,1730,1730,0,Foreign facing,Foreign facing,0.016659967
DfT,Core Whitehall Depts.,0,-40,-170,-80,-70,-50,-30,10,20,40,-0.019323671,-0.083743842,-0.043010753,-0.039325843,-0.029239766,-0.018072289,0.006134969,0.012195122,0.024096386,0,-40,-210,-290,-360,-410,-440,-430,-410,-370,0,-0.019323671,-0.101449275,-0.140096618,-0.173913043,-0.198067633,-0.212560386,-0.207729469,-0.198067633,-0.178743961,0.821256039,-0.021642408,2070,1700,1700,0,Policy,Policy,0.032992607
