Dept,WH,,,Sum of 2010 Q3 FTE,Sum of 2010 Q4 FTE,Sum of 2011 Q1 FTE,Sum of 2011 Q2 FTE,Sum of 2011 Q3 FTE,Sum of 2011 Q4 FTE,Sum of 2012 Q1 FTE,Sum of 2012 Q2 FTE,Sum of 2012 Q3 FTE,Sum of 2012 Q4 FTE
AGO,Core Whitehall Depts.,Core Whitehall Depts.,AGO,50,40,40,40,40,40,40,40,40,40
BIS,Core Whitehall Depts.,,BIS,3760,3420,3400,3170,2880,2910,2930,3040,3010,3020
CO,Core Whitehall Depts.,,CO,1500,1460,1520,1430,1430,1440,1510,1638,1608,1638
DCLG,Core Whitehall Depts.,,DCLG,2520,2470,2250,2020,2110,1860,1820,1700,1680,1660
DCMS,Core Whitehall Depts.,,DCMS,460,460,450,490,460,460,450,450,520,400
DECC,Core Whitehall Depts.,,DECC,1120,1130,1150,1170,1190,1230,1290,1320,1370,1390
DEFRA,Core Whitehall Depts.,,DEFRA,2590,2570,2530,2340,2100,2080,2090,2060,2020,2040
DfE,Core Whitehall Depts.,,DfE,2800,2740,2660,2490,2490,2580,2590,2630,2550,2560
DfID,Core Whitehall Depts.,,DfID,1600,1580,1570,1560,1560,1620,1650,1690,1710,1730
DfT,Core Whitehall Depts.,,DfT,2070,2030,1860,1780,1710,1660,1630,1640,1660,1700
DH,Core Whitehall Depts.,,DH,2540,2570,2560,2390,2370,2330,2290,2270,2260,2240
DWP,Core Whitehall Depts.,,DWP,,,,,,,,,,
FCO,Core Whitehall Depts.,,FCO,4570,4860,5660,5560,5450,5770,5780,4570,5450,5600
GEO,Core Whitehall Depts.,,GEO,110,110,110,110,110,110,110,110,110,110
HMRC,Core Whitehall Depts.,,HMRC,,,,,,,,,,
HMT,Core Whitehall Depts.,,HMT,1360,1300,1240,1170,1150,1130,1200,1190,1190,1180
HO,Core Whitehall Depts.,,HO,,,,,,,,,,
MoD,Core Whitehall Depts.,,MoD,,,,,,,,,,
MoJ,Core Whitehall Depts.,,MoJ,3300,3201,3241,3031,2981,2891,2791,2791,2721,2746
NIO,Core Whitehall Depts.,,NIO,110,110,100,50,50,50,60,90,90,90
Scot Gov,Core Whitehall Depts.,,Scot Gov,,,,,,,,,,
Welsh Gov,Non-Whitehall Civil Service,,Welsh Gov,,,,,,,,,,
AGO,Non-Whitehall Civil Service,Non-Whitehall Civil Service,AGO,9100,8980,8900,8710,8500,8380,8380,8320,8220,8120
BIS,Non-Whitehall Civil Service,,BIS,8460,8200,8120,7630,7590,7280,6930,6930,6880,6990
CO,Non-Whitehall Civil Service,,CO,1950,1630,1580,1530,1430,1400,1300,852,882,912
DCLG,Non-Whitehall Civil Service,,DCLG,2090,2050,1950,1910,1900,1900,1880,1900,1880,1890
DCMS,Non-Whitehall Civil Service,,DCMS,110,120,120,120,110,110,120,130,130,110
DECC,Non-Whitehall Civil Service,,DECC,,,,,,,,,,
DEFRA,Non-Whitehall Civil Service,,DEFRA,7070,6910,6880,6870,6560,6440,6400,6290,6210,6170
DfE,Non-Whitehall Civil Service,,DfE,1670,1630,1620,1610,1590,1670,1670,2750,2660,2580
DfID,Non-Whitehall Civil Service,,DfID,,,,,,,,,,
DfT,Non-Whitehall Civil Service,,DfT,16330,16120,15810,15600,15460,15370,15290,15200,15110,15070
DH,Non-Whitehall Civil Service,,DH,2570,2520,2460,2460,2240,2210,2180,2180,2190,2180
DWP,Non-Whitehall Civil Service,,DWP,115430,112320,109590,105700,102380,101100,99800,98210,98450,97290
FCO,Non-Whitehall Civil Service,,FCO,5660,5630,5370,5350,5310,5290,5290,5260,5270,5300
GEO,Non-Whitehall Civil Service,,GEO,,,,,,,,,,
HMRC,Non-Whitehall Civil Service,,HMRC,,,,,,,,,,
HMT,Non-Whitehall Civil Service,,HMT,75140,74290,80330,74820,74060,73870,73340,72520,71550,71220
HO,Non-Whitehall Civil Service,,HO,29070,27910,27380,26160,25430,24700,24490,24370,24280,24480
MoD,Non-Whitehall Civil Service,,MoD,73590,73130,72080,70680,69760,66350,63090,61400,60520,59110
MoJ,Non-Whitehall Civil Service,,MoJ,75930,75589,74969,73019,72209,70189,69029,67829,66819,66184
NIO,Non-Whitehall Civil Service,,NIO,,,,,,,,,,
Scot Gov,Non-Whitehall Civil Service,,Scot Gov,16820,16690,17890,16300,16080,15800,15720,15770,15690,15660
Welsh Gov,Non-Whitehall Civil Service,,Welsh Gov,5610,5550,5450,5300,5110,5100,5170,5230,5310,5310
AGI,Total,,AGO,9150,9020,8940,8750,8540,8420,8420,8360,8260,8160
BIS,Total,,BIS,12220,11620,11520,10800,10470,10190,9860,9970,9890,10010
CO,Total,,CO,3450,3090,3100,2960,2860,2840,2810,2490,2490,2550
DCLG,Total,,DCLG,4610,4520,4200,3930,4010,3760,3700,3600,3560,3550
DCMS,Total,,DCMS,570,580,570,610,570,570,570,580,650,510
DECC,Total,,DECC,1120,1130,1150,1170,1190,1230,1290,1320,1370,1390
DEFRA,Total,,DEFRA,9660,9480,9410,9210,8660,8520,8490,8350,8230,8210
DfE,Total,,DfE,4470,4370,4280,4100,4080,4250,4260,5380,5210,5140
DfID,Total,,DfID,1600,1580,1570,1560,1560,1620,1650,1690,1710,1730
DfT,Total,,DfT,18400,18150,17670,17380,17170,17030,16920,16840,16770,16770
DH,Total,,DH,5110,5090,5020,4850,4610,4540,4470,4450,4450,4420
DWP,Total,,DWP,115430,112320,109590,105700,102380,101100,99800,98210,98450,97290
FCO,Total,,FCO,10230,10490,11030,10910,10760,11060,11070,9830,10720,10900
GEO,Total,,GEO,110,110,110,110,110,110,110,110,110,110
HMRC,Total,,HMRC,0,0,0,0,0,0,0,0,0,0
HMT,Total,,HMT,76500,75590,81570,75990,75210,75000,74540,73710,72740,72400
HO,Total,,HO,29070,27910,27380,26160,25430,24700,24490,24370,24280,24480
MoD,Total,,MoD,73590,73130,72080,70680,69760,66350,63090,61400,60520,59110
MoJ,Total,,MoJ,79230,78790,78210,76050,75190,73080,71820,70620,69540,68930
NIO,Total,,NIO,110,110,100,50,50,50,60,90,90,90
Scot Gov,Total,,Scot Gov,16820,16690,17890,16300,16080,15800,15720,15770,15690,15660
Welsh Gov,Total,,Welsh Gov,5610,5550,5450,5300,5110,5100,5170,5230,5310,5310
Total,Total,,Total,482670,474870,476290,457870,448910,440420,433480,427600,425350,422030
Total,Core Whitehall Depts.,,Total,30460,30051,30341,28801,28081,28161,28231,27229,27989,28144
Total,Non-Whitehall Civil Service,,Total,446600,439269,440499,423769,415719,407159,400079,395141,392051,388576
Total excl. FCO,Total,,Total,472440,464380,465260,446960,438150,429360,422410,417770,414630,411130
Total excl. FCO,Core Whitehall Depts.,,Total,25890,25191,24681,23241,22631,22391,22451,22659,22539,22544
Total excl. FCO,Non-Whitehall Civil Service,,Total,446600,439269,440499,423769,415719,407159,400079,395141,392051,388576
