DeptX,Dept,Organisation,Whitehall?,TWD dept groups,Organisation type,2010 Q3 FTE,2010 Q4 FTE,2011 Q1 FTE,2011 Q2 FTE,2011 Q3 FTE,2011 Q4 FTE,2012 Q1 FTE,2012 Q2 FTE,2010 Q3 change,2010 Q4 change,2011 Q1 change,2011 Q2 change,2011 Q3 change,2011 Q4 change,2012 Q1 change,2012 Q2 change,2010 Q3 % change,2010 Q4 % change,2011 Q1 % change,2011 Q2 % change,2011 Q3 % change,2011 Q4 % change,2012 Q1 % change,2012 Q2 % change,2010 Q3 change from baseline,2010 Q4 change from baseline,2011 Q1 change from baseline,2011 Q2 change from baseline,2011 Q3 change from baseline,2011 Q4 change from baseline,2012 Q1 change from baseline,2012 Q2 change from baseline,2010 Q3 % change from baseline,2010 Q4 % change from baseline,2011 Q1 % change from baseline,2011 Q2 % change from baseline,2011 Q3 % change from baseline,2011 Q4 % change from baseline,2012 Q1 % change from baseline,2012 Q2 % change from baseline
AGO,AGO,Attorney General's Office,Core Whitehall Depts.,Other depts,Ministerial Department,50,40,40,40,40,40,40,40,0,-10,0,0,0,0,0,0,0.0%,-20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,-10,-10,-10,-10,-10,-10,-10,0.0%,-20.0%,-20.0%,-20.0%,-20.0%,-20.0%,-20.0%,-20.0%
,AGO,Crown Prosecution Service,Non-Whitehall Civil Service,Other depts,Non-Ministerial Department,7850,7730,7660,7420,7170,7080,7060,7010,0,-120,-70,-240,-250,-90,-20,-50,0.0%,-1.5%,-0.9%,-3.1%,-3.4%,-1.3%,-0.3%,-0.7%,0,-120,-190,-430,-680,-770,-790,-840,0.0%,-1.5%,-2.4%,-5.5%,-8.7%,-9.8%,-10.1%,-10.7%
,AGO,Crown Prosecution Service Inspectorate,Non-Whitehall Civil Service,Other depts,Ministerial Department,40,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,AGO,National Fraud Authority [AGO],Non-Whitehall Civil Service,Other depts,?,50,50,50,90,40,40,40,40,0,0,0,40,-50,0,0,0,0.0%,0.0%,0.0%,80.0%,-55.6%,0.0%,0.0%,0.0%,0,0,0,40,-10,-10,-10,-10,0.0%,0.0%,0.0%,80.0%,-20.0%,-20.0%,-20.0%,-20.0%
,AGO,Revenue and Customs Prosecution Office,Non-Whitehall Civil Service,Other depts,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,AGO,Serious Fraud Office,Non-Whitehall Civil Service,Other depts,Non-Ministerial Department,300,310,300,310,300,300,300,300,0,10,-10,10,-10,0,0,0,0.0%,3.3%,-3.2%,3.3%,-3.2%,0.0%,0.0%,0.0%,0,10,0,10,0,0,0,0,0.0%,3.3%,0.0%,3.3%,0.0%,0.0%,0.0%,0.0%
,AGO,Treasury Solicitor,Non-Whitehall Civil Service,Other depts,Ministerial Department,860,850,850,850,950,920,940,930,0,-10,0,0,100,-30,20,-10,0.0%,-1.2%,0.0%,0.0%,11.8%,-3.2%,2.2%,-1.1%,0,-10,-10,-10,90,60,80,70,0.0%,-1.2%,-1.2%,-1.2%,10.5%,7.0%,9.3%,8.1%
BIS,BIS,Advisory Conciliation and Arbitration Service,Non-Whitehall Civil Service,Policy,Crown Non Departmental Public Body,880,860,850,810,830,820,810,790,0,-20,-10,-40,20,-10,-10,-20,0.0%,-2.3%,-1.2%,-4.7%,2.5%,-1.2%,-1.2%,-2.5%,0,-20,-30,-70,-50,-60,-70,-90,0.0%,-2.3%,-3.4%,-8.0%,-5.7%,-6.8%,-8.0%,-10.2%
,BIS,"Business, Enterprise and Regulatory Reform",Core Whitehall Depts.,Policy,Ministerial Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,BIS,"Business, Innovation and Skills",Core Whitehall Depts.,Policy,Ministerial Department,3760,3420,3400,3170,2880,2910,2930,3040,0,-340,-20,-230,-290,30,20,110,0.0%,-9.0%,-0.6%,-6.8%,-9.1%,1.0%,0.7%,3.8%,0,-340,-360,-590,-880,-850,-830,-720,0.0%,-9.0%,-9.6%,-15.7%,-23.4%,-22.6%,-22.1%,-19.1%
