Order number,Organisation,Dept,ONS Q1-2 2009,ONS Q3-4 2009,ONS Q3-4 2009 [L],ONS Q1-2 2010,ONS Q1-2 2010 [L],ONS Q2-3 2010,ONS Q2-3 2010 [L],ONS Q3-4 2010,ONS Q3-4 [L],ONS Q4 2010 - Q1 2011 [L],ONS Q1 2011 - Q2 2011[L],ONS Q2 2011 - Q3 2011 [L],ONS Q3 2011 - Q4 2011 [L],ONS Q4 2011 - Q1 2012,ONS Q1 2012 - Q2 2012,Dept detail / Agency,Whitehall?,2009 Q1 FTE,2009 Q2 FTE,2009 Q3 FTE,2009 Q4 FTE,2010 Q1 FTE,2010 Q2 FTE,2010 Q3 FTE,2010 Q4 FTE,2011 Q1 FTE,2011 Q2 FTE,2011 Q3 FTE,2011 Q4 FTE,2012 Q1 FTE,2012 Q2 FTE
1,Attorney General's departments,AGO,Attorney General's Office,,Attorney General's Office,,Attorney General's Office,,Attorney General's Office,,Attorney General's Office,Attorney General's Office,Attorney General's Office,Attorney General's Office,Attorney General's Office,Attorney General's Office,Attorney General's Office,Attorney General's Office,Core Whitehall Depts.,40,50,50,50,50,40,50,40,40,40,40,40,40,40
2,Attorney General's departments,AGO,Crown Prosecution Service,,Crown Prosecution Service,,Crown Prosecution Service,,Crown Prosecution Service,,Crown Prosecution Service,Crown Prosecution Service,Crown Prosecution Service,Crown Prosecution Service,Crown Prosecution Service,Crown Prosecution Service,Crown Prosecution Service,Crown Prosecution Service,Non-Whitehall Civil Service,8080,8040,7980,8240,8240,7950,7850,7730,7660,7420,7170,7080,7060,7010
3,Attorney General's departments,AGO,Crown Prosecution Service Inspectorate,,Crown Prosecution Service Inspectorate,,Crown Prosecution Service Inspectorate,,Crown Prosecution Service Inspectorate,,Crown Prosecution Service Inspectorate,Crown Prosecution Service Inspectorate,Crown Prosecution Service Inspectorate,Crown Prosecution Service Inspectorate,Crown Prosecution Service Inspectorate,Crown Prosecution Service Inspectorate,Crown Prosecution Service Inspectorate,Crown Prosecution Service Inspectorate,Non-Whitehall Civil Service,50,50,50,40,40,40,40,40,40,40,40,40,40,40
4,Attorney General's departments,AGO,,,,,,National Fraud Authority,National Fraud Authority,,National Fraud Authority,National Fraud Authority,National Fraud Authority ,National Fraud Authority [AGO],National Fraud Authority [AGO],National Fraud Authority [AGO],#N/A,National Fraud Authority [AGO],Non-Whitehall Civil Service,,,,,,50,50,50,50,50,,,,
5,Attorney General's departments,AGO,Revenue and Customs Prosecution Office,,Revenue and Customs Prosecution Office,,Revenue and Customs Prosecution Office,,Revenue and Customs Prosecution Office,,Revenue and Customs Prosecution Office,Revenue and Customs Prosecution Office,Revenue and Customs Prosecution Office,Revenue and Customs Prosecution Office,Revenue and Customs Prosecution Office,Revenue and Customs Prosecution Office,#N/A,Revenue and Customs Prosecution Office,Non-Whitehall Civil Service,340,330,320,170,,,,,,,,,,
6,Attorney General's departments,AGO,Serious Fraud Office,,Serious Fraud Office,,Serious Fraud Office,,Serious Fraud Office,,Serious Fraud Office,Serious Fraud Office,Serious Fraud Office,Serious Fraud Office,Serious Fraud Office,Serious Fraud Office,Serious Fraud Office,Serious Fraud Office,Non-Whitehall Civil Service,310,300,300,320,310,330,300,310,300,310,300,300,300,300
7,Attorney General's departments,AGO,Treasury Solicitor,,Treasury Solicitor,,Treasury Solicitor,,Treasury Solicitor,,Treasury Solicitor,Treasury Solicitor,Treasury Solicitor,Treasury Solicitor,Treasury Solicitor,Treasury Solicitor,Treasury Solicitor,Treasury Solicitor,Non-Whitehall Civil Service,800,810,820,830,860,860,860,850,850,850,950,920,940,930
8,"Business, Innovation and Skills",BIS,Advisory Conciliation and Arbitration Service,,Advisory Conciliation and Arbitration Service,,Advisory Conciliation and Arbitration Service,,Advisory Conciliation and Arbitration Service,,Advisory Conciliation and Arbitration Service,Advisory Conciliation and Arbitration Service,Advisory Conciliation and Arbitration Service,Advisory Conciliation and Arbitration Service,Advisory Conciliation and Arbitration Service,Advisory Conciliation and Arbitration Service,Advisory Conciliation and Arbitration Service,Advisory Conciliation and Arbitration Service,Non-Whitehall Civil Service,840,880,880,890,900,900,880,860,850,810,830,820,810,790
9,"Business, Innovation and Skills",BIS,"Business, Enterprise and Regulatory Reform",,"Business, Enterprise and Regulatory Reform",,"Business, Enterprise and Regulatory Reform",,"Business, Enterprise and Regulatory Reform",,"Business, Enterprise and Regulatory Reform","Business, Enterprise and Regulatory Reform","Business, Enterprise and Regulatory Reform","Business, Enterprise and Regulatory Reform","Business, Enterprise and Regulatory Reform","Business, Enterprise and Regulatory Reform",#N/A,"Business, Enterprise and Regulatory Reform",Core Whitehall Depts.,3590,0,,,,,,,,,,,,
10,"Business, Innovation and Skills",BIS,"Department for Business, Innovation and Skills","Business, Innovation and Skills","Business, Innovation and Skills",,"Business, Innovation and Skills",,"Business, Innovation and Skills",,"Business, Innovation and Skills","Business, Innovation and Skills","Business, Innovation and Skills","Business, Innovation and Skills","Business, Innovation and Skills ","Business, Innovation and Skills",#N/A,"Business, Innovation and Skills",Core Whitehall Depts.,0,4770,3870,3960,3940,3860,3760,3420,3400,3170,2880,2910,2930,
11,"Business, Innovation and Skills",BIS,Companies House,,Companies House,,Companies House,,Companies House,,Companies House,Companies House,Companies House ,Companies House,Companies House,Companies House,Companies House,Companies House,Non-Whitehall Civil Service,1050,1050,1050,1060,1050,1070,1060,1050,1030,1030,970,920,900,890
12,"Business, Innovation and Skills",BIS,,,,,,,,,,,UK Space Agency,UK Space Agency,UK Space Agency,UK Space Agency,UK Space Agency,UK Space Agency,Non-Whitehall Civil Service,,,,,,,,,,30,30,40,40,40
13,"Innovation, Universities and Skills",BIS,"Department for Innovation, Universities and Skills",,"Department for Innovation, Universities and Skills",,"Department for Innovation, Universities and Skills",,"Department for Innovation, Universities and Skills",,"Department for Innovation, Universities and Skills","Department for Innovation, Universities and Skills","Department for Innovation, Universities and Skills","Department for Innovation, Universities and Skills","Department for Innovation, Universities and Skills","Department for Innovation, Universities and Skills",#N/A,"Department for Innovation, Universities and Skills",Core Whitehall Depts.,860,0,,,,,,,,,,,,
14,Export Credits Guarantee Department,BIS,Export Credit Guarantee Department,,Export Credit Guarantee Department,,Export Credit Guarantee Department,,Export Credit Guarantee Department,,Export Credit Guarantee Department,Export Credit Guarantee Department,Export Credit Guarantee Department,Export Credit Guarantee Department,Export Credit Guarantee Department,Export Credit Guarantee Department,Export Credit Guarantee Department,Export Credit Guarantee Department,Non-Whitehall Civil Service,210,210,210,210,210,210,200,200,200,190,190,190,180,190
15,"Business, Innovation and Skills",BIS,Insolvency Service,,Insolvency Service,,Insolvency Service,,Insolvency Service,,Insolvency Service,Insolvency Service,Insolvency Service,Insolvency Service,Insolvency Service,Insolvency Service,Insolvency Service,Insolvency Service,Non-Whitehall Civil Service,2470,2560,2620,2680,2640,2530,2510,2470,2450,2020,2020,2000,2000,1980
16,"Business, Innovation and Skills",BIS,National Measurement Office,,National Measurement Office,,National Measurement Office,,National Measurement Office,,National Measurement Office,National Measurement Office,National Measurement Office,National Measurement Office,National Measurement Office,National Measurement Office,National Measurement Office,National Measurement Office,Non-Whitehall Civil Service,0,60,70,60,70,70,70,70,70,70,70,70,60,70
17,"Business, Innovation and Skills",BIS,Office of Fair Trading,,Office of Fair Trading,,Office of Fair Trading,,Office of Fair Trading,,Office of Fair Trading,Office of Fair Trading,Office of Fair Trading,Office of Fair Trading,Office of Fair Trading,Office of Fair Trading,Office of Fair Trading,Office of Fair Trading,Non-Whitehall Civil Service,590,570,580,570,620,630,620,620,570,550,550,550,550,530
18,"Business, Innovation and Skills",BIS,Office of Gas and Electricity Market,,Office of Gas and Electricity Market,,Office of Gas and Electricity Market,,Office of Gas and Electricity Market,,Office of Gas and Electricity Market,Office of Gas and Electricity Market,Office of Gas and Electricity Market,Office of Gas and Electricity Market,Office of Gas and Electricity Market,Office of Gas and Electricity Market,Office of Gas and Electricity Market,Office of Gas and Electricity Market,Non-Whitehall Civil Service,330,330,350,350,370,390,410,430,440,460,520,530,550,570
19,"Business, Innovation and Skills",BIS,Postal Services Commission,,Postal Services Commission,,Postal Services Commission,,Postal Services Commission,,Postal Services Commission,Postal Services Commission,Postal Services Commission,Postal Services Commission,Postal Services Commission ,Postal Services Commission ,#N/A,Postal Services Commission ,Non-Whitehall Civil Service,50,50,50,50,50,50,50,50,50,50,50,0,,
