Dept,Operational delivery - services to individuals and businesses,Operational delivery - public goods & other,ALB management,Delivery through contractual relationships,Grant-funding system - formula,Grant-funding system - bid-based
BIS,0,0,8,0,0,2
DCMS,0,0,8,0,0,2
Defra,0,0,9,0,0,1
DECC,0,0,5,0,0,5
DCLG,0,0,2,0,8,0
DfE,0,0,2,0,8,0
DH,0,0,1,0,9,0
DfT,0,0,4,2,4,0
MoJ,2,2,4,2,0,0
DfID,0,0,0,0,5,5
FCO,3,0,3,0,2,2
DWP,8,0,1,1,0,0
MoD,0,7,3,0,0,0
HMRC,4,4,2,0,0,0
HO,2.333333333,2.333333333,2.333333333,0,3,0
