Dept group,Organisation,Dept IfG,Whitehall,Managed,Year,Communications and Marketing,Economics,Engineering,Finance,Human Resources,Information Technology,Inspector of Education and Training,Internal Audit,Knowledge and Information Management,Law,Medicine,Operational Delivery,Operational Research,Planning,Policy Delivery,Procurement and Contract Management,Programme and Project Management,Property Asset Management,Psychology,Science,Social and Market Research,Statistics,Tax Professionals,Veterinarian,Other,Not Reported,Total
Attorney General's departments,Attorney General's Office,AGO,Whitehall,Yes,2010,0,0,0,0,0,0,0,0,0,10,0,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,40
Attorney General's departments,Crown Prosecution Service,AGO,Non-Whitehall,No,2010,40,0,0,80,160,50,0,10,20,3440,0,4420,0,0,0,20,10,0,0,0,0,0,0,0,0,0,8240
Attorney General's departments,Crown Prosecution Service Inspectorate,AGO,Non-Whitehall,No,2010,0,0,0,0,..,0,0,0,0,20,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,40
Attorney General's departments,National Fraud Authority [AGO],AGO,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Attorney General's departments,Revenue and Customs Prosecution Office,AGO,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Attorney General's departments,Serious Fraud Office,AGO,Non-Whitehall,No,2010,10,0,0,10,10,..,0,0,0,20,0,240,0,0,..,..,20,0,0,0,0,0,0,0,0,0,320
Attorney General's departments,Treasury Solicitor,AGO,Non-Whitehall,No,2010,0,0,0,10,20,20,0,0,..,510,0,50,0,0,250,0,..,0,0,0,0,0,0,0,0,0,860
"Business, Innovation and Skills",Advisory Conciliation and Arbitration Service,BIS,Non-Whitehall,No,2010,10,0,0,10,20,30,0,0,10,0,0,790,10,0,10,..,..,0,0,0,0,0,0,0,0,0,900
"Business, Innovation and Skills","Business, Enterprise and Regulatory Reform",BIS,Whitehall,Yes,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Business, Innovation and Skills","Business, Innovation and Skills",BIS,Whitehall,Yes,2010,0,0,0,..,..,..,0,0,..,0,0,340,0,0,30,0,0,0,0,0,0,0,0,0,3490,0,3870
"Business, Innovation and Skills",Companies House,BIS,Non-Whitehall,No,2010,30,0,0,60,40,160,0,10,0,10,0,690,0,..,20,10,10,10,0,0,0,0,0,0,0,0,1050
"Business, Innovation and Skills",UK Space Agency,BIS,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Innovation, Universities and Skills","Department for Innovation, Universities and Skills",BIS,Whitehall,Yes,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Export Credits Guarantee Department,Export Credit Guarantee Department,BIS,Non-Whitehall,No,2010,10,..,0,30,20,10,0,..,0,10,0,50,10,0,0,..,..,0,0,0,0,0,0,0,50,0,200
"Business, Innovation and Skills",Insolvency Service,BIS,Non-Whitehall,No,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,2600
"Business, Innovation and Skills",National Measurement Office,BIS,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Business, Innovation and Skills",National Weights and Measures Laboratory,BIS,Non-Whitehall,No,2010,0,0,0,0,0,0,0,0,0,0,0,..,0,0,..,0,0,0,0,0,0,0,0,0,70,0,70
"Business, Innovation and Skills",Office of Fair Trading,BIS,Non-Whitehall,No,2010,30,30,0,20,20,20,0,0,..,40,0,370,0,0,50,0,30,0,0,0,0,0,0,0,0,0,610
"Business, Innovation and Skills",Office of Gas and Electricity Market,DECC,Non-Whitehall,No,2010,10,50,0,10,10,30,0,0,..,30,0,90,0,..,130,10,..,0,0,0,0,0,0,0,0,0,370
"Business, Innovation and Skills",Postal Services Commission,BIS,Non-Whitehall,No,2010,..,10,0,..,..,..,0,0,0,10,..,..,0,0,10,..,10,0,0,0,..,0,0,0,..,0,50
"Business, Innovation and Skills",Skills Funding Agency,BIS,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Business, Innovation and Skills",UK Intellectual Property Office,BIS,Non-Whitehall,No,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,850
"Business, Innovation and Skills",HM Land Registry,BIS,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Business, Innovation and Skills",Met Office,BIS,Non-Whitehall,No,2010,120,0,0,30,30,380,0,10,10,10,0,530,0,0,0,10,40,0,0,510,0,0,0,0,170,0,1850
"Business, Innovation and Skills",Ordnance Survey,BIS,Non-Whitehall,No,2010,140,0,0,30,30,180,0,..,0,10,0,680,20,0,20,..,20,30,0,0,0,0,0,0,0,0,1170
Cabinet Office ,Buying Solutions,CO,Non-Whitehall,Yes,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cabinet Office ,Cabinet Office excl agencies,CO,Whitehall,Yes,2010,120,10,0,50,50,40,0,0,10,0,0,40,..,..,420,20,10,0,0,0,0,..,0,0,460,0,1230
Cabinet Office ,Central Office of Information,CO,Non-Whitehall,Yes,2010,600,0,0,20,10,20,0,..,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,120,0,770
Charity Commission,Charity Commission,CO,Non-Whitehall,No,2010,20,0,0,10,10,10,0,0,10,20,0,310,0,0,30,..,..,0,0,0,0,0,0,0,30,0,450
Cabinet Office ,National School of Government,CO,Non-Whitehall,No,2010,10,0,0,10,10,10,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,230
Cabinet Office ,Office of the Parliamentary Counsel,CO,Non-Whitehall,Yes,2010,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,70
Cabinet Office ,Government Procurement Service,CO,Non-Whitehall,Yes,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Communities and Local Government,Department for Communities and Local Government,DCLG,Whitehall,Yes,2010,..,0,0,0,..,..,0,0,0,0,0,520,0,0,..,0,0,0,0,0,0,0,0,0,10,2010,2550
Communities and Local Government,Fire Service College,DCLG,Non-Whitehall,No,2010,20,0,..,10,10,10,0,0,..,0,0,60,0,0,..,10,20,..,0,0,0,0,0,0,60,0,200
Communities and Local Government,Ordnance Survey [DCLG],DCLG,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Communities and Local Government,Planning Inspectorate,DCLG,Non-Whitehall,Yes,2010,0,0,0,20,30,60,0,0,0,0,0,350,0,250,0,..,0,0,0,0,0,10,0,0,0,0,720
