Dept,Month,FTE_Payroll,Paybill_Payroll
AG Depts,01/03/2012,38,205841
AG Depts,01/04/2012,40,200125
AG Depts,01/05/2012,38,202375
AG Depts,01/06/2012,39,199179
AG Depts,01/07/2012,41,218295
AG Depts,01/08/2012,40,227730
AG Depts,01/09/2012,40,205884
BIS,01/03/2012,2930,13153218
BIS,01/04/2012,2983,13005691
BIS,01/05/2012,3011,13317265
BIS,01/06/2012,3018,13936691
BIS,01/07/2012,3015,13485506
BIS,01/08/2012,3007,13460837
BIS,01/09/2012,3010,13209079
BIS,01/10/2012,3044,13700362
BIS,01/11/2012,3014,13307190
BIS,01/12/2012,3019,13649509
BIS,01/01/2013,3037,16687178
BIS,01/02/2013,3050,13934523
BIS,01/03/2013,3057,13920586
CO,01/03/2012,1684,8047991
CO,01/04/2012,1726,8261601
CO,01/05/2012,1807,8755395
CO,01/06/2012,1887,9497028
CO,01/07/2012,1853,9764889
CO,01/08/2012,1870,9223761
CO,01/09/2012,1879,9095452
CO,01/10/2012,1876,8997690
CO,01/11/2012,1865,10427656
CO,01/12/2012,1884,9285907
CO,01/01/2013,1904,9189478
CO,01/02/2013,1906,9298904
CO,01/03/2013,1896,9399913
DCLG,01/03/2012,1822,8335950
DCLG,01/04/2012,1807,7563304
DCLG,01/05/2012,1700,8042736
DCLG,01/06/2012,1702,7548695
DCLG,01/07/2012,1704,7547969
DCLG,01/08/2012,1667,7549567
DCLG,01/09/2012,1677,7867989
DCLG,01/10/2012,1672,7469989
DCLG,01/11/2012,1655,7580013
DCLG,01/12/2012,1663,7506610
DCLG,01/01/2013,1677,8233867
DCLG,01/02/2013,1675,7572909
DCLG,01/03/2013,1681,8623709
DECC,01/03/2012,1286,6700646
DECC,01/04/2012,1282,6139156
DECC,01/05/2012,1293,6601146
DECC,01/06/2012,1316,6584681
DECC,01/07/2012,1313,6735541
DECC,01/08/2012,1179,7033000
DECC,01/09/2012,1367,6810897
DECC,01/10/2012,1368,7029674
DECC,01/11/2012,1388,6896445
DECC,01/12/2012,1389,8025166
DECC,01/01/2013,1406,6940273
