Organisation,Whitehall,Group,Include
Total (All Departments),Total,Whole Civil Service,Yes
Attorney General's Departments,WH,AGO,No
Attorney General's Office,WH,AGO,No
Crown Prosecution Service,NWH,AGO,No
Crown Prosecution Service Inspectorate,NWH,AGO,No
National Fraud Authority (from 2010 to 2011),NWH,AGO,No
Revenue and Customs Prosecutions Office (until 2009),NWH,AGO,No
Serious Fraud Office,NWH,AGO,No
Treasury Solicitor,NWH,AGO,No
"Business, Innovation and Skills (incl agencies)",Whole,BIS,No
"Advisory, Conciliation and Arbitration Service",NWH,BIS,No
Companies House,NWH,BIS,No
"Business, Innovations and Skills (excl agencies)",WH,BIS,Yes
Insolvency Service,NWH,BIS,No
Land Registry (from 2012),NWH,BIS,No
Met Office (from 2012),NWH,BIS,No
National Measurement Office (from 2010),NWH,BIS,No
Office of Fair Trading,NWH,BIS,No
Office of Gas and Electricity Market,NWH,BIS,No
Ordnance Survey (from 2012),NWH,BIS,No
Postal Services Commission (until 2011),NWH,BIS,No
Skills Funding Agency (from 2011),NWH,BIS,No
UK Intellectual Property Office (from 2010),NWH,BIS,No
UK Space Agency (from 2012),NWH,BIS,No
Cabinet Office (incl agencies),Whole,CO,No
Government Procurement Service (from 2011),NWH,CO,No
Cabinet Office (excl agencies),WH,CO,Yes
Central Office of Information,NWH,CO,No
National School of Government (until 2011),NWH,CO,No
Office of the Parliamentary Counsel,WH,CO,Yes
Chancellor's Departments including HM Treasury,Whole,CD,No
Asset Protection Agency (from 2012),NWH,HMT,No
Debt Management Office,NWH,HMT,No
Government Actuary's Department,NWH,HMRC,Yes
HM Treasury,WH,HMT,Yes
National Savings and Investments,NWH,HMT,No
Office for Budget Responsibility (from 2011),NWH,HMT,No
Office for National Statistics (2008 only : from 2009 became UK Statistics Authority),NWH,[CO],No
Office of Government Commerce (until 2010),NWH,HMT,No
OGC Buying Solutions (until 2010 : responsibility moved to Cabinet Office in 2011 survey),NWH,CO,No
Royal Mint (until 2009),NWH,HMT,No
Charity Commission,NWH,CO,No
"Communities and Local Government, Department for (incl agencies)",Whole,DCLG,No
"Communities and Local Government, Department for (excl agencies)",WH,DCLG,Yes
Fire Service College,NWH,DCLG,No
Ordnance Survey (until 2011),NWH,DCLG,No
Planning Inspectorate,NWH,DCLG,No
Queen Elizabeth II Conference Centre,NWH,DCLG,No
"Culture Media and Sport, Department for (incl agencies)",Whole,DCMS,No
"Department for Culture, Media & Sport, Department for (excl agencies)",WH,DCMS,Yes
Royal Parks Agency,NWH,DCMS,No
Defence (incl agencies),Whole,MOD,No
Army Base Repair Organisation (MOD) (until 2008),NWH,MOD,Yes
DARA (MOD) : until 2008,NWH,MOD,Yes
Defence Science and Technology Laboratory (MOD),NWH,MOD,Yes
Defence Support Group (from 2009),NWH,MOD,Yes
Meteorological Office (MOD) (until 2011),NWH,MOD,Yes
Ministry of Defence (excl agencies),WH,MOD,Yes
Royal Fleet Auxilliary,NWH,MOD,Yes
UK Hydrographic Office (MOD),NWH,MOD,Yes
"Education, Department for",WH,DfE,Yes
"Energy & Climate Change, Department for (from 2009)",Total,DECC,No
"Energy and Climate Change, Department for (from 2009)",WH,DECC,Yes
"Environment, Food and Rural Affairs, Department for (incl agencies)",Whole,Defra,No
Animal Health (until 2011),NWH,Defra,No
Animal Health and Veterinary Laboratories Agency (from 2012),NWH,Defra,No
Food and Environment Research Agency,NWH,Defra,No
"Centre for Environment, Fisheries and Aquaculture Science",NWH,Defra,No
"Environment, Food and Rural Affairs, Department for (excl agencies)",WH,Defra,Yes
Government Decontamination Services (until 2009),NWH,Defra,No
Marine and Fisheries Agency (until 2010),NWH,Defra,No
OFWAT (formerly Office of Water Services),NWH,Defra,No
Pesticides Safety Directorate (until 2008),NWH,Defra,No
Rural Payments Agency,NWH,Defra,No
Veterinary Laboratories Agency (until 2011),NWH,Defra,No
Veterinary Medicines Directorate,NWH,Defra,No
ESTYN (from 2011 - previously reported under Welsh Assembly Government),NWH,WelshGov,No
ESTYN (from 2011),NWH,WelshGov,No
UK Export Finance (prior to 2012 named Export Credits Guarantee Department),NWH,HMT,No
Food Standards Agency (from 2012),NWH,DH,No
Foreign and Commonwealth Office (incl agencies),Whole,FCO,No
Foreign and Commonwealth Office (excl agencies),WH,FCO,Yes
Wilton Park Executive Agency,NWH,FCO,No
Government Equalities Office (until 2011),WH,DCMS,Yes
Government Equalities Office (Until 2011),WH,DCMS,No
"Health, Department of (incl agencies)",Whole,DH,No
"Health, Department of (excl agencies)",WH,DH,Yes
Food Standards Agency (until 2011),NWH,DH,No
Meat Hygiene Service (until 2010),NWH,DH,No
Medicines and Healthcare Products Regulatory Agency,NWH,DH,No
NHS Business Services Authority (Civil Service only) (until 2011),NWH,DH,No
NHS Purchasing and Supply Agency (until 2010),NWH,DH,No
HM Revenue and Customs (incl agencies),Whole,HMRC,No
HM Revenue and Customs (excl agencies),NWH,HMRC,Yes
Valuation Office,NWH,HMRC,Yes
Home Office (incl agencies),Whole,HO,No
Assets Recovery Agency (until 2008),NWH,HO,Yes
UK Border Agency,NWH,HO,Yes
Criminal Records Bureau,NWH,HO,Yes
Home Office (excl agencies),WH,HO,Yes
Identity and Passport Service,NWH,HO,Yes
National Fraud Authority (from 2012),NWH,HO,Yes
Office for Security and Counter-Terrorism (until 2008),NWH,HO,Yes
"Innovation, Universities and Skills, Department for (incl agencies) (until 2009)",Whole,BIS,No
"Innovation, Universities and Skills, Department for (excl agencies) (until 2009)",WH,BIS,Yes
National Weights and Measures Laboratory (until 2009),NWH,BIS,No
UK Intellectual Property Office (until 2009),NWH,BIS,No
"International Development, Department for",WH,DfID,Yes
"Justice, Ministry of (incl agencies)",Whole,MOJ,No
HM Courts and Tribunals Service (from 2012),NWH,MOJ,No
HM Courts Service (until 2011),NWH,MOJ,No
Land Registry(until 2011),NWH,MOJ,No
"Justice, Ministry of (excl agencies)",WH,MOJ,Yes
National Archives,NWH,MOJ,No
National Offender Management Service (from 2009),NWH,MOJ,No
Office of the Public Guardian,NWH,MOJ,No
Public Sector Prison Service (until 2008),NWH,MOJ,No
Scotland Office,NWH,MOJ,No
Tribunals Service (until 2011),NWH,MOJ,No
UK Supreme Court (from 2010),NWH,MOJ,No
Wales Office,NWH,MOJ,No
Northern Ireland Office,WH,NIO,No
Office for Standards in Education,NWH,DfE,No
Office of Qualifications and Examinations Regulation (from 2011),NWH,DfE,No
Ofqual (from 2011),NWH,DfE,No
Scottish Government (incl agencies),Whole,ScotGov,No
Communities Scotland (until 2008),NWH,ScotGov,No
Courts Group (until 2009),NWH,ScotGov,No
Crown Office and Procurator Fiscal Service,NWH,ScotGov,No
Disclosure Scotland (from 2010),NWH,ScotGov,No
Education Scotland (from 2012),NWH,ScotGov,No
Fisheries Research Services (until 2009),NWH,ScotGov,No
General Register Office for Scotland (until 2011),NWH,ScotGov,No
HM Inspectorate of Education (until 2011),NWH,ScotGov,No
Historic Scotland,NWH,ScotGov,No
Mental Health Tribunal for Scotland (until 2009),NWH,ScotGov,No
National Archives of Scotland (until 2011),NWH,ScotGov,No
National Records of Scotland (from 2012),NWH,ScotGov,No
Office of Accountant in Bankruptcy,NWH,ScotGov,No
Office of the Scottish Charity Regulator,NWH,ScotGov,No
Registers of Scotland,NWH,ScotGov,No
Scottish Agricultural Science Agency (until 2008),NWH,ScotGov,No
Scottish Building Standards Agency (until 2008),NWH,ScotGov,No
Scottish Courts Service,NWH,ScotGov,No
Scottish Fisheries Protection Agency (until 2009),NWH,ScotGov,No
Scottish Government (excl agencies),NWH,ScotGov,No
Scottish Housing Regulator,NWH,ScotGov,No
Scottish Prison Service,NWH,ScotGov,No
Scottish Public Pensions Agency,NWH,ScotGov,No
Social Work Inspection Agency (until 2011),NWH,ScotGov,No
Student Awards Agency for Scotland,NWH,ScotGov,No
Transport Scotland,NWH,ScotGov,No
Security and Intelligence Services,NWH,FCO,No
"Transport, Department for (incl agencies)",Whole,DfT,No
"Transport, Department for (excl agencies)",WH,DfT,Yes
Driver and Vehicle Licensing Agency,NWH,DfT,No
Driving Standards Agency,NWH,DfT,No
Government Car and Despatch Agency,NWH,DfT,No
Highways Agency,NWH,DfT,No
Maritime and Coastguard Agency,NWH,DfT,No
Office of Rail Regulator,NWH,DfT,No
