Department,Whitehall,Dept,Abbreviation
Defence Science and Technology Laboratory,No,MoD,DSTL
Ministry of Defence,No,MoD,MoD
Cabinet Office excl agencies,Yes,CO,CO
Highways Agency,No,DfT,Highways Agency
Environment Agency,No,Defra,Environment Agency
Vehicle and Operator Services Agency,No,DfT,VOSA
Crown Prosecution Service,No,AGO,CPS
National Offender Management Service,No,MoJ,NOMS
Meteorological Office,No,BIS,Met Office
Planning Inspectorate,No,DCLG,Planning Inspectorate
Medicines and Healthcare Products Regulatory Agency,No,,MHPRA
Foreign and Commonwealth Office,Yes,FCO,FCO
Driver and Vehicle Licensing Agency,No,DfT,DVLA
Criminal Cases Review Commission,No,,CCRC
Ofwat (Water Services Regulation Authority),No,Defra,OfWat
UK Export Finance,No,BIS,UK Export Finance
Office of Rail Regulation,No,DfT,ORR
Government Procurement Service,No,CO,GPS
Forestry Commission,No,Defra,Defra
Office for National Statistics,NO,HMT,HM Treasury
Home Office,Yes,HO,Home Office
Welsh  Government,No,Welsh Gov,Welsh Gov
Royal Botanic Gardens Kew (RBG Kew),No,DCMS,Kew
HM Treasury,Yes,HMT,HM Treasury
Valuation Office Agency,No,HMRC,VOA
"Centre for Environment, Fisheries and Aquaculture Science",No,Defra,CEFAC
Ordnance Survey,No,BIS,Ordnance Survey
Homes and Communities Agency,No,DCLG,HCA
Department for International Development,Yes,DfID,DfID
HM Courts and Tribunals Service,No,MoJ,HMCTS
Cross Departmental Opportunities,No,Cross-dept,Cross-dept
National Heritage Memorial Fund/ Heritage Lottery Fund,No,DCMS,NHMF/HLF
Competition Commission,No,BIS,Comp. Commission
"Department for Environment, Food and Rural Affairs",Yes,Defra,Defra
Skills Funding Agency,No,BIS,SFA
Ministry of Justice,Yes,MoJ,MoJ
Serious Fraud Office,No,HO,SFO
Animal Health & Veterinary Laboratories Agency,No,Defra,AHVLA
Children and Family Court Advisory and Support Service,No,DfE,Cafcass
Department for Education,Yes,DfE,DfE
UK Hydrographic Office,No,MoD,UKHO
"Office for Standards in Education, Children's Services and Skills (OFSTED)",No,DfE,Ofsted
HM Revenue and Customs,No,HMRC,HMRC
Rural Payments Agency,No,Defra,RPA
Office of Gas and Electricity Markets,No,DECC,Ofgem
National Savings and Investments,No,HMT,NSI
Consumer Focus,No,BIS,Consumer Focus
ESTYN,No,Welsh Gov,Estyn
Maritime and Coastguard Agency,No,DfT,MCA
Department of Energy and Climate Change,Yes,DECC,DECC
National Archives,No,MoJ,Nat Arch
Health and Safety Executive,No,DWP,HSE
Registers of Scotland,No,Scot Gov,RoS
Department for Communities and Local Government,Yes,DCLG,DCLG
Medical Research Council,No,BIS,MRC
Intellectual Property Office,No,BIS,IPO
Department of Health,Yes,DH,DH
Youth Justice Board,No,MoJ,YJB
Charity Commission,No,CO,Charity Commission
Driving Standards Agency,No,DfT,DSA
Office of Fair Trading,No,BIS,OFT
Scottish Government,No,Scot Gov,Scot Gov
Department for Work and Pensions,No,DWP,DWP
Department for Transport,Yes,DfT,DfT
Vehicle Certification Agency,No,DfT,VCA
Higher Education Funding Council for England (HEFCE),No,BIS,HEFCE
Consumer Council for Water,No,Defra,CCW
Department for Culture Media and Sport,Yes,DCMS,DCMS
"Department for Business, Innovation and Skills",Yes,BIS,BIS
