Profession,Category
Communications and Marketing,Corporate
Economics,Specialist
Engineering,Specialist
Finance,Corporate
Human Resources,Corporate
Information Technology,Corporate
Inspector of Education and Training,Specialist
Internal Audit,Corporate
Knowledge and Information Management,Corporate
Law,Specialist
Medicine,Specialist
Operational Delivery,Operational delivery
Operational Research,Specialist
Planning,Specialist
Policy Delivery,Policy
Procurement and Contract Management,Corporate
Programme and Project Management,PPM
Property Asset Management,Corporate
Psychology,Specialist
Science,Specialist
Social and Market Research,Specialist
Statistics,Specialist
Tax Professionals,Tax
Veterinarian,Specialist
Other,Other
Not Reported,Not reported
Total,Total
