Month,Short Form,IfG classification,Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,IFG notes,IfG analysis - Non-consultant total,Non payroll,Non payroll component total
01/04/2011,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,6,5.63,15,14.6,17,17,13,12.8,4,4,,,55,54,,,,,,,,,,,55,54,,,,,,,,,,,,,,0,,
01/05/2011,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,4,3.63,14,13.6,17,17,13,12.8,4,4,,,52,51,,,,,,,,,,,52,51,180331.8,9439.27,,,33852.18,18482.68,242105.93,,,,242105.93,,,0,,
01/06/2011,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,4,3.63,14,13.6,16,16,13,12.8,4,4,,,51,50,,,,,,,,,,,51,50,156473.77,8912.12,7500,,32736.94,16577.81,£222.201.44,,,,£222.201.44,,,0,,
01/07/2011,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,3,2.63,13,12.6,16,16,13,12.8,4,4,,,49,48,,,,,,,,,,,49,48,152660.26,5557.19,,53.19,30931.97,14685.29,203887.9,,,,203887.9,,,0,,
01/08/2011,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,5,5,13,12.6,18,18,14,13.8,4,4,0,0,54,53,,,,,,,,,,,54,53,148614.69,4042.95,6000,,30520.83,15085.62,204264.09,,,,204264.09,,,0,,
01/09/2011,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,6,6,13,12.6,16,16,14,13.8,4,4,0,0,53,52,,,,,,,,,,,53,52,177984.57,5429.06,2400,,26978.31,12002.59,224794.53,,,,224794.53,,,0,,
01/10/2011,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,6,6,12,11.6,17,17,14,13.8,4,4,,,53,52,1,1,,,,,,,1,1,54,53,186431,6052.33,,37.12,38710.84,17103.29,248334.58,,,0,248334.58,Three  of the (3.0 fte) staff included in the total headcount are funded from WO monies but are on loan to the independent Commission on Devolution in Wales.  These staff include two (2.0 fte) in grade HEO/SEO and one (1.0) in G7/6.,$ rather than £,1,,
01/11/2011,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,7,7,11,10.6,15,15,15,14.8,4,4,,,52,51,1,1,,,,,,,1,1,53,52,168413.76,11758.99,,,35111.6,17315.59,232599.94,,,0,232599.94,Three  of the (3.0 fte) staff included in the total headcount are funded from WO monies but are on loan to the independent Commission on Devolution in Wales.  These staff include two (2.0 fte) in grade HEO/SEO and one (1.0) in G7/6.,$ rather than £,1,,
01/12/2011,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,9,9,10,9.6,14,14,16,15.8,4,4,,,53,52,1,1,,,,,,,1,1,54,53,142687.47,7859.04,0,0,31088.95,15157.59,196793.05,,,0,196793.05,,$ rather than £; also ministerial dept given as Ministry of Justice rather than Wales Office,1,,
01/01/2012,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,9,9,10,9.6,18,18,16,15.8,4,4,,,57,56,1,1,,,,,,,1,1,58,57,180339.05,7771.97,0,0,31757.22,15421.37,235289.61,,,0,235289.61,Three  of the (3.0 fte) staff included in the total headcount are funded from WO monies but are on loan to the independent Commission on Devolution in Wales.  These staff include two (2.0 fte) in grade HEO/SEO and one (1.0) in G7/6.,$ rather than £; also ministerial dept given as Ministry of Justice rather than Wales Office,1,,
01/02/2012,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,9,9,9,8.6,21,21,17,16.8,4,4,,,60,59,1,1,,,,,,,1,1,61,60,168959.52,7972.41,0,512.92,14004.23,35604.4,227053.48,1538.44,0,1538.44,228591.92,Three  of the (3.0 fte) staff included in the total headcount are funded from WO monies but are on loan to the independent Commission on Devolution in Wales.  These staff include two (2.0 fte) in grade HEO/SEO and one (1.0) in G7/6.,$ rather than £; also ministerial dept given as Ministry of Justice rather than Wales Office,1,,
01/03/2012,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,9,9,11,10.6,22,22,17,16.8,4,4,,,63,62,1,1,,,,,,,1,1,64,63,168500.12,8818.66,3183.61,1140.55,36263.82,14343.77,232250.53,,,0,232250.53,,$ rather than £,1,,
01/04/2012,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,9,9,11,10.6,20,20,17,16.8,4,4,,,61,60,1,1,,,,,,,1,1,62,61,166784.75,7838.5,,4033.76,26899.92,16637.06,222193.99,,,0,222193.99,,$ rather than £; note also the Organisation name is displaced in the original source document,1,,
01/05/2012,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,9,9,10,9.6,19,19,17,16.8,4,4,0,0,59,58,1,0.6,0,0,0,0,0,0,1,0.6,60,59,170810.18,7188.8,,2008.73,40603.82,13506.1,234117.63,3347.34,,3347.34,237464.97,"[recorded in the 'not for publication' notes section] 3 of the staff included are seconded to the Commission on Devolution in Wales and include 1G6, 1SEO and 1 HEO",$ rather than £,0.6,,
01/06/2012,Wales Off,Whitehall,Wales Office,Ministerial Department,Wales Office,9,9,7,6.6,23,23,14,13.8,4,4,0,0,57,56,1,0.6,0,0,0,0,0,0,1,0.6,58,57,167065.67,8489.77,,4754.86,34459.88,15865.83,230636.01,4660.96,,4660.96,235296.97,"[recorded in the 'not for publication' notes section] 3 of the staff included are seconded to the Commission on Devolution in Wales and include 1G6, 1SEO and 1 HEO",,0.6,,
