original,new
month,month
short.form,dept
ifg.classification,whitehall
organisation.name,org
organisation.type,orgtype
main..parent.or.sponsoring.department,dept_orig
payroll.staff.ao.aa.headcount,hc_payroll_aaao
payroll.staff.ao.aa.full.time.equivalent,fte_payroll_aaao
payroll.staff.eo.headcount,hc_payroll_eo
payroll.staff.eo.full.time.equivalent,fte_payroll_eo
payroll.staff.seo.heo.headcount,hc_payroll_seoheo
payroll.staff.seo.heo.full.time.equivalent,fte_payroll_seoheo
payroll.staff.grade.6.7.headcount,hc_payroll_g67
payroll.staff.grade.6.7.full.time.equivalent,fte_payroll_g67
payroll.staff.scs.headcount,hc_payroll_scs
payroll.staff.scs.full.time.equivalent,fte_payroll_scs
payroll.staff.other..unknown.or.unspecified.headcount,hc_payroll_other
payroll.staff.other..unknown.or.unspecified.full.time.equivalent,fte_payroll_other
payroll.staff.total.employees.headcount,hc_payroll_total
payroll.staff.total.employees.full.time.equivalent,fte_payroll_total
non.payroll.staff.agency.staff..clerical.admin..headcount,hc_nonpayroll_agency
non.payroll.staff.agency.staff..clerical.admin..full.time.equivalent,fte_nonpayroll_agency
non.payroll.staff.intermin.managers.headcount,hc_nonpayroll_interim
non.payroll.staff.interim.managers.full.time.equivalent,fte_nonpayroll_interim
non.payroll.staff.specialist.contractors.headcount,hc_nonpayroll_specialist
non.payroll.staff.specialist.contractors.full.time.equivalent,fte_nonpayroll_specialist
non.payroll.staff.consultants.consultancy.headcount,hc_nonpayroll_consultant
non.payroll.staff.consultants.consultancy.full.time.equivalent,fte_nonpayroll_consultant
non.payroll.staff.total.employees.headcount,hc_nonpayroll_total
non.payroll.staff.total.employees.full.time.equivalent,fte_nonpayroll_total
grand.total..workforce.numbers..headcount,hc_total
grand.total..workforce.numbers..full.time.equivalent,fte_total
payroll.staff.costs.salary,cost_payroll_salary
payroll.staff.costs.allowances,cost_payroll_allowances
payroll.staff.costs.non.consolidated.performance.payments,cost_payroll_bonuses
payroll.staff.costs.overtime,cost_payroll_overtime
payroll.staff.costs.employer.pension.contributions,cost_payroll_pensions
payroll.staff.costs.employer.national.insurance.contributions,cost_payroll_ni
payroll.staff.costs.total.paybill.for.payroll.staff,cost_payroll_total
non.payroll.staff.total.cost.of.contingent.labour..agency..clerical.and.admin..staff..interim.managers.and.specialist.contractors,cost_nonpayroll_nonconsultant
non.payroll.staff.total.cost.of.consultants.consultancy,cost_nonpayroll_consultant
non.payroll.staff.total.non.payroll..ccl..staff.costs,cost_nonpayroll_total
grand.total.paybill.staffing..payroll.and.non.payroll..costs,cost_total
comments,comments
ifg.notes,ifg_notes
ifg.analysis...non.consultant.total,ifg_nonconsultant_total
non.payroll,non_payroll
non.payroll.component.total,non_payroll_total
