"","Organisation","Date","National.Identit","Gender","Full.Part.tim","Ethnic.grou","Disability.statu","Wage.band","Civil.Service.grad","Age.band","country","count","Whitehall","Group","Managed","Include","total","share","grp"
"1","Army Base Repair Organisation (MOD) (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Grades 6 & 7","Total","United Kingdom, overseas or unknown",3850,"WH","MoD",NA,"Yes",58450,0.0658682634730539,"MoD2013"
"2","Army Base Repair Organisation (MOD) (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Grades 6 & 7","Total","United Kingdom, overseas or unknown",4300,"WH","MoD",NA,"Yes",77660,0.0553695596188514,"MoD2010"
"3","Army Base Repair Organisation (MOD) (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",20610,"WH","MoD",NA,"Yes",77660,0.265387586917332,"MoD2010"
"4","Army Base Repair Organisation (MOD) (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",260,"WH","MoD",NA,"Yes",58450,0.00444824636441403,"MoD2013"
"5","Army Base Repair Organisation (MOD) (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",17700,"WH","MoD",NA,"Yes",58450,0.302822925577417,"MoD2013"
"6","Army Base Repair Organisation (MOD) (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Administrative officers and assistants","Total","United Kingdom, overseas or unknown",24220,"WH","MoD",NA,"Yes",58450,0.41437125748503,"MoD2013"
"7","Army Base Repair Organisation (MOD) (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Administrative officers and assistants","Total","United Kingdom, overseas or unknown",36050,"WH","MoD",NA,"Yes",77660,0.464202935874324,"MoD2010"
"8","Army Base Repair Organisation (MOD) (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Executive officer","Total","United Kingdom, overseas or unknown",13740,"WH","MoD",NA,"Yes",77660,0.176925057944888,"MoD2010"
"9","Army Base Repair Organisation (MOD) (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Executive officer","Total","United Kingdom, overseas or unknown",10480,"WH","MoD",NA,"Yes",58450,0.179298545765612,"MoD2013"
"10","Army Base Repair Organisation (MOD) (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",340,"WH","MoD",NA,"Yes",77660,0.00437805820242081,"MoD2010"
"11","Assets Recovery Agency (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",6270,"WH","HO",NA,"Yes",27070,0.231621721462874,"HO2010"
"12","Assets Recovery Agency (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Grades 6 & 7","Total","United Kingdom, overseas or unknown",1780,"WH","HO",NA,"Yes",27070,0.0657554488363502,"HO2010"
"13","Assets Recovery Agency (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",6020,"WH","HO",NA,"Yes",26470,0.227427276161692,"HO2013"
"14","Assets Recovery Agency (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Grades 6 & 7","Total","United Kingdom, overseas or unknown",1790,"WH","HO",NA,"Yes",26470,0.067623724971666,"HO2013"
"15","Assets Recovery Agency (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Administrative officers and assistants","Total","United Kingdom, overseas or unknown",9400,"WH","HO",NA,"Yes",27070,0.347247875877355,"HO2010"
"16","Assets Recovery Agency (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Executive officer","Total","United Kingdom, overseas or unknown",10390,"WH","HO",NA,"Yes",26470,0.392519833774084,"HO2013"
"17","Assets Recovery Agency (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",200,"WH","HO",NA,"Yes",26470,0.00755572346052135,"HO2013"
"18","Assets Recovery Agency (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Administrative officers and assistants","Total","United Kingdom, overseas or unknown",8070,"WH","HO",NA,"Yes",26470,0.304873441632036,"HO2013"
"19","Assets Recovery Agency (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Executive officer","Total","United Kingdom, overseas or unknown",9350,"WH","HO",NA,"Yes",27070,0.345400812707795,"HO2010"
"20","Assets Recovery Agency (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",270,"WH","HO",NA,"Yes",27070,0.00997414111562616,"HO2010"
"21","Business, Innovations and Skills (excl agencies)",2013,"Total","Total","Total","Total","Total","Total","Administrative officers and assistants","Total","United Kingdom, overseas or unknown",220,"WH","BIS",NA,"Yes",3140,0.0700636942675159,"BIS2013"
"22","Business, Innovations and Skills (excl agencies)",2013,"Total","Total","Total","Total","Total","Total","Executive officer","Total","United Kingdom, overseas or unknown",470,"WH","BIS",NA,"Yes",3140,0.14968152866242,"BIS2013"
"23","Business, Innovations and Skills (excl agencies)",2010,"Total","Total","Total","Total","Total","Total","Administrative officers and assistants","Total","United Kingdom, overseas or unknown",390,"WH","BIS",NA,"Yes",4020,0.0970149253731343,"BIS2010"
"24","Business, Innovations and Skills (excl agencies)",2010,"Total","Total","Total","Total","Total","Total","Grades 6 & 7","Total","United Kingdom, overseas or unknown",1220,"WH","BIS",NA,"Yes",4020,0.303482587064677,"BIS2010"
"25","Business, Innovations and Skills (excl agencies)",2010,"Total","Total","Total","Total","Total","Total","Executive officer","Total","United Kingdom, overseas or unknown",630,"WH","BIS",NA,"Yes",4020,0.156716417910448,"BIS2010"
"26","Business, Innovations and Skills (excl agencies)",2010,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",1480,"WH","BIS",NA,"Yes",4020,0.368159203980099,"BIS2010"
"27","Business, Innovations and Skills (excl agencies)",2010,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",260,"WH","BIS",NA,"Yes",4020,0.0646766169154229,"BIS2010"
"28","Business, Innovations and Skills (excl agencies)",2013,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",1180,"WH","BIS",NA,"Yes",3140,0.375796178343949,"BIS2013"
"29","Business, Innovations and Skills (excl agencies)",2013,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",220,"WH","BIS",NA,"Yes",3140,0.0700636942675159,"BIS2013"
"30","Business, Innovations and Skills (excl agencies)",2013,"Total","Total","Total","Total","Total","Total","Grades 6 & 7","Total","United Kingdom, overseas or unknown",1050,"WH","BIS",NA,"Yes",3140,0.334394904458599,"BIS2013"
"31","Cabinet Office (excl agencies)",2010,"Total","Total","Total","Total","Total","Total","Administrative officers and assistants","Total","United Kingdom, overseas or unknown",180,"WH","CO",NA,"Yes",1270,0.141732283464567,"CO2010"
"32","Cabinet Office (excl agencies)",2010,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",390,"WH","CO",NA,"Yes",1270,0.307086614173228,"CO2010"
"33","Cabinet Office (excl agencies)",2013,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",180,"WH","CO",NA,"Yes",1850,0.0972972972972973,"CO2013"
"34","Cabinet Office (excl agencies)",2010,"Total","Total","Total","Total","Total","Total","Executive officer","Total","United Kingdom, overseas or unknown",240,"WH","CO",NA,"Yes",1270,0.188976377952756,"CO2010"
"35","Cabinet Office (excl agencies)",2013,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",600,"WH","CO",NA,"Yes",1850,0.324324324324324,"CO2013"
"36","Cabinet Office (excl agencies)",2013,"Total","Total","Total","Total","Total","Total","Administrative officers and assistants","Total","United Kingdom, overseas or unknown",160,"WH","CO",NA,"Yes",1850,0.0864864864864865,"CO2013"
"37","Cabinet Office (excl agencies)",2013,"Total","Total","Total","Total","Total","Total","Grades 6 & 7","Total","United Kingdom, overseas or unknown",640,"WH","CO",NA,"Yes",1850,0.345945945945946,"CO2013"
"38","Cabinet Office (excl agencies)",2010,"Total","Total","Total","Total","Total","Total","Grades 6 & 7","Total","United Kingdom, overseas or unknown",320,"WH","CO",NA,"Yes",1270,0.251968503937008,"CO2010"
"39","Cabinet Office (excl agencies)",2013,"Total","Total","Total","Total","Total","Total","Executive officer","Total","United Kingdom, overseas or unknown",270,"WH","CO",NA,"Yes",1850,0.145945945945946,"CO2013"
"40","Cabinet Office (excl agencies)",2010,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",140,"WH","CO",NA,"Yes",1270,0.110236220472441,"CO2010"
"41","Child Maintenance & Enforcement Commission (from 2009 to 2012)",2010,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",400,"WH","DWP",NA,"Yes",133530,0.00299558151726204,"DWP2010"
"42","Child Maintenance & Enforcement Commission (from 2009 to 2012)",2010,"Total","Total","Total","Total","Total","Total","Administrative officers and assistants","Total","United Kingdom, overseas or unknown",65200,"WH","DWP",NA,"Yes",133530,0.488279787313712,"DWP2010"
"43","Child Maintenance & Enforcement Commission (from 2009 to 2012)",2013,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",280,"WH","DWP",NA,"Yes",108290,0.00258564964447317,"DWP2013"
"44","Child Maintenance & Enforcement Commission (from 2009 to 2012)",2010,"Total","Total","Total","Total","Total","Total","Executive officer","Total","United Kingdom, overseas or unknown",49150,"WH","DWP",NA,"Yes",133530,0.368082078933573,"DWP2010"
"45","Child Maintenance & Enforcement Commission (from 2009 to 2012)",2013,"Total","Total","Total","Total","Total","Total","Administrative officers and assistants","Total","United Kingdom, overseas or unknown",50900,"WH","DWP",NA,"Yes",108290,0.470034167513159,"DWP2013"
"46","Child Maintenance & Enforcement Commission (from 2009 to 2012)",2010,"Total","Total","Total","Total","Total","Total","Grades 6 & 7","Total","United Kingdom, overseas or unknown",3590,"WH","DWP",NA,"Yes",133530,0.0268853441174268,"DWP2010"
"47","Child Maintenance & Enforcement Commission (from 2009 to 2012)",2013,"Total","Total","Total","Total","Total","Total","Grades 6 & 7","Total","United Kingdom, overseas or unknown",2840,"WH","DWP",NA,"Yes",108290,0.0262258749653708,"DWP2013"
"48","Child Maintenance & Enforcement Commission (from 2009 to 2012)",2013,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",12100,"WH","DWP",NA,"Yes",108290,0.111737002493305,"DWP2013"
"49","Child Maintenance & Enforcement Commission (from 2009 to 2012)",2013,"Total","Total","Total","Total","Total","Total","Executive officer","Total","United Kingdom, overseas or unknown",42170,"WH","DWP",NA,"Yes",108290,0.389417305383692,"DWP2013"
"50","Child Maintenance & Enforcement Commission (from 2009 to 2012)",2010,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",15170,"WH","DWP",NA,"Yes",133530,0.113607429042163,"DWP2010"
"51","Child Support Agency (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Administrative officers and assistants","Total","United Kingdom, overseas or unknown",65200,"WH","DWP",NA,"Yes",133530,0.488279787313712,"DWP2010"
"52","Child Support Agency (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",12100,"WH","DWP",NA,"Yes",108290,0.111737002493305,"DWP2013"
"53","Child Support Agency (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",400,"WH","DWP",NA,"Yes",133530,0.00299558151726204,"DWP2010"
"54","Child Support Agency (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Grades 6 & 7","Total","United Kingdom, overseas or unknown",2840,"WH","DWP",NA,"Yes",108290,0.0262258749653708,"DWP2013"
"55","Child Support Agency (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Senior and higher executive officer","Total","United Kingdom, overseas or unknown",15170,"WH","DWP",NA,"Yes",133530,0.113607429042163,"DWP2010"
"56","Child Support Agency (until 2008)",2013,"Total","Total","Total","Total","Total","Total","Senior Civil Service","Total","United Kingdom, overseas or unknown",280,"WH","DWP",NA,"Yes",108290,0.00258564964447317,"DWP2013"
"57","Child Support Agency (until 2008)",2010,"Total","Total","Total","Total","Total","Total","Executive officer","Total","United Kingdom, overseas or unknown",49150,"WH","DWP",NA,"Yes",133530,0.368082078933573,"DWP2010"
