"Dept","Managed","value","measure","Period","group"
"AGO","Y",50,"ONS","2010Q3","AGO-Y"
"BIS","Y",3760,"ONS","2010Q3","BIS-Y"
"CO","Y",1610,"ONS","2010Q3","CO-Y"
"DCLG","Y",2520,"ONS","2010Q3","DCLG-Y"
"DCMS","Y",460,"ONS","2010Q3","DCMS-Y"
"DECC","Y",1120,"ONS","2010Q3","DECC-Y"
"DEFRA","Y",5220,"ONS","2010Q3","DEFRA-Y"
"DfE","Y",2800,"ONS","2010Q3","DfE-Y"
"DfID","Y",1600,"ONS","2010Q3","DfID-Y"
"DfT","Y",2070,"ONS","2010Q3","DfT-Y"
"DH","Y",2540,"ONS","2010Q3","DH-Y"
"DWP","Y",111830,"ONS","2010Q3","DWP-Y"
"FCO","Y",5900,"ONS","2010Q3","FCO-Y"
"GEO","Y",110,"ONS","2010Q3","GEO-Y"
"HMRC","Y",67550,"ONS","2010Q3","HMRC-Y"
"HMT","Y",1360,"ONS","2010Q3","HMT-Y"
"HO","Y",24590,"ONS","2010Q3","HO-Y"
"MoD","Y",63950,"ONS","2010Q3","MoD-Y"
"MoJ","Y",73390,"ONS","2010Q3","MoJ-Y"
"NIO","Y",110,"ONS","2010Q3","NIO-Y"
"Scot Gov","Y",0,"ONS","2010Q3","Scot Gov-Y"
"Welsh Gov","Y",0,"ONS","2010Q3","Welsh Gov-Y"
"AGO","N",9100,"ONS","2010Q3","AGO-N"
"BIS","N",8050,"ONS","2010Q3","BIS-N"
"CO","N",5110,"ONS","2010Q3","CO-N"
"DCLG","N",2090,"ONS","2010Q3","DCLG-N"
"DCMS","N",110,"ONS","2010Q3","DCMS-N"
"DECC","N",410,"ONS","2010Q3","DECC-N"
"DEFRA","N",4440,"ONS","2010Q3","DEFRA-N"
"DfE","N",1670,"ONS","2010Q3","DfE-N"
"DfID","N",0,"ONS","2010Q3","DfID-N"
"DfT","N",16330,"ONS","2010Q3","DfT-N"
"DH","N",2570,"ONS","2010Q3","DH-N"
"DWP","N",3600,"ONS","2010Q3","DWP-N"
"FCO","N",5660,"ONS","2010Q3","FCO-N"
"GEO","N",0,"ONS","2010Q3","GEO-N"
"HMRC","N",3770,"ONS","2010Q3","HMRC-N"
"HMT","N",370,"ONS","2010Q3","HMT-N"
"HO","N",4480,"ONS","2010Q3","HO-N"
"MoD","N",9640,"ONS","2010Q3","MoD-N"
"MoJ","N",5840,"ONS","2010Q3","MoJ-N"
"NIO","N",0,"ONS","2010Q3","NIO-N"
"Scot Gov","N",16750,"ONS","2010Q3","Scot Gov-N"
"Welsh Gov","N",5610,"ONS","2010Q3","Welsh Gov-N"
"AGO","Departmental Group",9150,"ONS","2010Q3","AGO-Departmental Group"
"BIS","Departmental Group",11810,"ONS","2010Q3","BIS-Departmental Group"
"CO","Departmental Group",6720,"ONS","2010Q3","CO-Departmental Group"
"DCLG","Departmental Group",4610,"ONS","2010Q3","DCLG-Departmental Group"
"DCMS","Departmental Group",570,"ONS","2010Q3","DCMS-Departmental Group"
"DECC","Departmental Group",1530,"ONS","2010Q3","DECC-Departmental Group"
"DEFRA","Departmental Group",9660,"ONS","2010Q3","DEFRA-Departmental Group"
"DfE","Departmental Group",4470,"ONS","2010Q3","DfE-Departmental Group"
"DfID","Departmental Group",1600,"ONS","2010Q3","DfID-Departmental Group"
"DfT","Departmental Group",18400,"ONS","2010Q3","DfT-Departmental Group"
"DH","Departmental Group",5110,"ONS","2010Q3","DH-Departmental Group"
"DWP","Departmental Group",115430,"ONS","2010Q3","DWP-Departmental Group"
"FCO","Departmental Group",11560,"ONS","2010Q3","FCO-Departmental Group"
"GEO","Departmental Group",110,"ONS","2010Q3","GEO-Departmental Group"
"HMRC","Departmental Group",71320,"ONS","2010Q3","HMRC-Departmental Group"
"HMT","Departmental Group",1730,"ONS","2010Q3","HMT-Departmental Group"
"HO","Departmental Group",29070,"ONS","2010Q3","HO-Departmental Group"
"MoD","Departmental Group",73590,"ONS","2010Q3","MoD-Departmental Group"
"MoJ","Departmental Group",79230,"ONS","2010Q3","MoJ-Departmental Group"
"NIO","Departmental Group",110,"ONS","2010Q3","NIO-Departmental Group"
"Scot Gov","Departmental Group",16750,"ONS","2010Q3","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",5610,"ONS","2010Q3","Welsh Gov-Departmental Group"
"Total","Y",372540,"ONS","2010Q3","Total-Y"
"Total","N",105600,"ONS","2010Q3","Total-N"
"Total","Departmental Group",478140,"ONS","2010Q3","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",366640,"ONS","2010Q3","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",105600,"ONS","2010Q3","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",472240,"ONS","2010Q3","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",478380,"ONS","2010Q3","Total employment-Total Employment ONS total"
"AGO","Y",40,"ONS","2010Q4","AGO-Y"
"BIS","Y",3420,"ONS","2010Q4","BIS-Y"
"CO","Y",1560,"ONS","2010Q4","CO-Y"
"DCLG","Y",2470,"ONS","2010Q4","DCLG-Y"
"DCMS","Y",460,"ONS","2010Q4","DCMS-Y"
"DECC","Y",1130,"ONS","2010Q4","DECC-Y"
"DEFRA","Y",5120,"ONS","2010Q4","DEFRA-Y"
"DfE","Y",2740,"ONS","2010Q4","DfE-Y"
"DfID","Y",1580,"ONS","2010Q4","DfID-Y"
"DfT","Y",2030,"ONS","2010Q4","DfT-Y"
"DH","Y",2570,"ONS","2010Q4","DH-Y"
"DWP","Y",108740,"ONS","2010Q4","DWP-Y"
"FCO","Y",5770,"ONS","2010Q4","FCO-Y"
"GEO","Y",110,"ONS","2010Q4","GEO-Y"
"HMRC","Y",66800,"ONS","2010Q4","HMRC-Y"
"HMT","Y",1300,"ONS","2010Q4","HMT-Y"
"HO","Y",23800,"ONS","2010Q4","HO-Y"
"MoD","Y",63620,"ONS","2010Q4","MoD-Y"
"MoJ","Y",73100,"ONS","2010Q4","MoJ-Y"
"NIO","Y",110,"ONS","2010Q4","NIO-Y"
"Scot Gov","Y",0,"ONS","2010Q4","Scot Gov-Y"
"Welsh Gov","Y",0,"ONS","2010Q4","Welsh Gov-Y"
"AGO","N",8980,"ONS","2010Q4","AGO-N"
"BIS","N",7770,"ONS","2010Q4","BIS-N"
"CO","N",4730,"ONS","2010Q4","CO-N"
"DCLG","N",2050,"ONS","2010Q4","DCLG-N"
"DCMS","N",120,"ONS","2010Q4","DCMS-N"
"DECC","N",430,"ONS","2010Q4","DECC-N"
"DEFRA","N",4360,"ONS","2010Q4","DEFRA-N"
"DfE","N",1630,"ONS","2010Q4","DfE-N"
"DfID","N",0,"ONS","2010Q4","DfID-N"
"DfT","N",16120,"ONS","2010Q4","DfT-N"
"DH","N",2520,"ONS","2010Q4","DH-N"
"DWP","N",3580,"ONS","2010Q4","DWP-N"
"FCO","N",5630,"ONS","2010Q4","FCO-N"
"GEO","N",0,"ONS","2010Q4","GEO-N"
"HMRC","N",3740,"ONS","2010Q4","HMRC-N"
"HMT","N",370,"ONS","2010Q4","HMT-N"
"HO","N",4110,"ONS","2010Q4","HO-N"
"MoD","N",9510,"ONS","2010Q4","MoD-N"
"MoJ","N",5690,"ONS","2010Q4","MoJ-N"
"NIO","N",0,"ONS","2010Q4","NIO-N"
"Scot Gov","N",16620,"ONS","2010Q4","Scot Gov-N"
"Welsh Gov","N",5550,"ONS","2010Q4","Welsh Gov-N"
"AGO","Departmental Group",9020,"ONS","2010Q4","AGO-Departmental Group"
"BIS","Departmental Group",11190,"ONS","2010Q4","BIS-Departmental Group"
"CO","Departmental Group",6290,"ONS","2010Q4","CO-Departmental Group"
"DCLG","Departmental Group",4520,"ONS","2010Q4","DCLG-Departmental Group"
"DCMS","Departmental Group",580,"ONS","2010Q4","DCMS-Departmental Group"
"DECC","Departmental Group",1560,"ONS","2010Q4","DECC-Departmental Group"
"DEFRA","Departmental Group",9480,"ONS","2010Q4","DEFRA-Departmental Group"
"DfE","Departmental Group",4370,"ONS","2010Q4","DfE-Departmental Group"
"DfID","Departmental Group",1580,"ONS","2010Q4","DfID-Departmental Group"
"DfT","Departmental Group",18150,"ONS","2010Q4","DfT-Departmental Group"
"DH","Departmental Group",5090,"ONS","2010Q4","DH-Departmental Group"
"DWP","Departmental Group",112320,"ONS","2010Q4","DWP-Departmental Group"
"FCO","Departmental Group",11400,"ONS","2010Q4","FCO-Departmental Group"
"GEO","Departmental Group",110,"ONS","2010Q4","GEO-Departmental Group"
"HMRC","Departmental Group",70540,"ONS","2010Q4","HMRC-Departmental Group"
"HMT","Departmental Group",1670,"ONS","2010Q4","HMT-Departmental Group"
"HO","Departmental Group",27910,"ONS","2010Q4","HO-Departmental Group"
"MoD","Departmental Group",73130,"ONS","2010Q4","MoD-Departmental Group"
"MoJ","Departmental Group",78790,"ONS","2010Q4","MoJ-Departmental Group"
"NIO","Departmental Group",110,"ONS","2010Q4","NIO-Departmental Group"
"Scot Gov","Departmental Group",16620,"ONS","2010Q4","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",5550,"ONS","2010Q4","Welsh Gov-Departmental Group"
"Total","Y",366470,"ONS","2010Q4","Total-Y"
"Total","N",103510,"ONS","2010Q4","Total-N"
"Total","Departmental Group",469980,"ONS","2010Q4","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",360700,"ONS","2010Q4","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",103510,"ONS","2010Q4","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",464210,"ONS","2010Q4","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",470210,"ONS","2010Q4","Total employment-Total Employment ONS total"
"AGO","Y",40,"ONS","2011Q1","AGO-Y"
"BIS","Y",3400,"ONS","2011Q1","BIS-Y"
"CO","Y",1620,"ONS","2011Q1","CO-Y"
"DCLG","Y",2250,"ONS","2011Q1","DCLG-Y"
"DCMS","Y",450,"ONS","2011Q1","DCMS-Y"
"DECC","Y",1150,"ONS","2011Q1","DECC-Y"
"DEFRA","Y",5050,"ONS","2011Q1","DEFRA-Y"
"DfE","Y",2660,"ONS","2011Q1","DfE-Y"
"DfID","Y",1570,"ONS","2011Q1","DfID-Y"
"DfT","Y",1860,"ONS","2011Q1","DfT-Y"
"DH","Y",2560,"ONS","2011Q1","DH-Y"
"DWP","Y",106220,"ONS","2011Q1","DWP-Y"
"FCO","Y",5660,"ONS","2011Q1","FCO-Y"
"GEO","Y",110,"ONS","2011Q1","GEO-Y"
"HMRC","Y",66880,"ONS","2011Q1","HMRC-Y"
"HMT","Y",1240,"ONS","2011Q1","HMT-Y"
"HO","Y",23260,"ONS","2011Q1","HO-Y"
"MoD","Y",62720,"ONS","2011Q1","MoD-Y"
"MoJ","Y",72630,"ONS","2011Q1","MoJ-Y"
"NIO","Y",100,"ONS","2011Q1","NIO-Y"
"Scot Gov","Y",0,"ONS","2011Q1","Scot Gov-Y"
"Welsh Gov","Y",0,"ONS","2011Q1","Welsh Gov-Y"
"AGO","N",8900,"ONS","2011Q1","AGO-N"
"BIS","N",7680,"ONS","2011Q1","BIS-N"
"CO","N",4730,"ONS","2011Q1","CO-N"
"DCLG","N",1950,"ONS","2011Q1","DCLG-N"
"DCMS","N",120,"ONS","2011Q1","DCMS-N"
"DECC","N",440,"ONS","2011Q1","DECC-N"
"DEFRA","N",4360,"ONS","2011Q1","DEFRA-N"
"DfE","N",1620,"ONS","2011Q1","DfE-N"
"DfID","N",0,"ONS","2011Q1","DfID-N"
"DfT","N",15810,"ONS","2011Q1","DfT-N"
"DH","N",2460,"ONS","2011Q1","DH-N"
"DWP","N",3370,"ONS","2011Q1","DWP-N"
"FCO","N",5370,"ONS","2011Q1","FCO-N"
"GEO","N",0,"ONS","2011Q1","GEO-N"
"HMRC","N",3730,"ONS","2011Q1","HMRC-N"
"HMT","N",370,"ONS","2011Q1","HMT-N"
"HO","N",4120,"ONS","2011Q1","HO-N"
"MoD","N",9360,"ONS","2011Q1","MoD-N"
"MoJ","N",5580,"ONS","2011Q1","MoJ-N"
"NIO","N",0,"ONS","2011Q1","NIO-N"
"Scot Gov","N",16370,"ONS","2011Q1","Scot Gov-N"
"Welsh Gov","N",5450,"ONS","2011Q1","Welsh Gov-N"
"AGO","Departmental Group",8940,"ONS","2011Q1","AGO-Departmental Group"
"BIS","Departmental Group",11080,"ONS","2011Q1","BIS-Departmental Group"
"CO","Departmental Group",6350,"ONS","2011Q1","CO-Departmental Group"
"DCLG","Departmental Group",4200,"ONS","2011Q1","DCLG-Departmental Group"
"DCMS","Departmental Group",570,"ONS","2011Q1","DCMS-Departmental Group"
"DECC","Departmental Group",1590,"ONS","2011Q1","DECC-Departmental Group"
"DEFRA","Departmental Group",9410,"ONS","2011Q1","DEFRA-Departmental Group"
"DfE","Departmental Group",4280,"ONS","2011Q1","DfE-Departmental Group"
"DfID","Departmental Group",1570,"ONS","2011Q1","DfID-Departmental Group"
"DfT","Departmental Group",17670,"ONS","2011Q1","DfT-Departmental Group"
"DH","Departmental Group",5020,"ONS","2011Q1","DH-Departmental Group"
"DWP","Departmental Group",109590,"ONS","2011Q1","DWP-Departmental Group"
"FCO","Departmental Group",11030,"ONS","2011Q1","FCO-Departmental Group"
"GEO","Departmental Group",110,"ONS","2011Q1","GEO-Departmental Group"
"HMRC","Departmental Group",70610,"ONS","2011Q1","HMRC-Departmental Group"
"HMT","Departmental Group",1610,"ONS","2011Q1","HMT-Departmental Group"
"HO","Departmental Group",27380,"ONS","2011Q1","HO-Departmental Group"
"MoD","Departmental Group",72080,"ONS","2011Q1","MoD-Departmental Group"
"MoJ","Departmental Group",78210,"ONS","2011Q1","MoJ-Departmental Group"
"NIO","Departmental Group",100,"ONS","2011Q1","NIO-Departmental Group"
"Scot Gov","Departmental Group",16370,"ONS","2011Q1","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",5450,"ONS","2011Q1","Welsh Gov-Departmental Group"
"Total","Y",361430,"ONS","2011Q1","Total-Y"
"Total","N",101790,"ONS","2011Q1","Total-N"
"Total","Departmental Group",463220,"ONS","2011Q1","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",355770,"ONS","2011Q1","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",101790,"ONS","2011Q1","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",457560,"ONS","2011Q1","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",470760,"ONS","2011Q1","Total employment-Total Employment ONS total"
"AGO","Y",40,"ONS","2011Q2","AGO-Y"
"BIS","Y",3170,"ONS","2011Q2","BIS-Y"
"CO","Y",1730,"ONS","2011Q2","CO-Y"
"DCLG","Y",2020,"ONS","2011Q2","DCLG-Y"
"DCMS","Y",490,"ONS","2011Q2","DCMS-Y"
"DECC","Y",1170,"ONS","2011Q2","DECC-Y"
"DEFRA","Y",4830,"ONS","2011Q2","DEFRA-Y"
"DfE","Y",2490,"ONS","2011Q2","DfE-Y"
"DfID","Y",1560,"ONS","2011Q2","DfID-Y"
"DfT","Y",1780,"ONS","2011Q2","DfT-Y"
"DH","Y",2390,"ONS","2011Q2","DH-Y"
"DWP","Y",102350,"ONS","2011Q2","DWP-Y"
"FCO","Y",5560,"ONS","2011Q2","FCO-Y"
"GEO","Y",0,"ONS","2011Q2","GEO-Y"
"HMRC","Y",67470,"ONS","2011Q2","HMRC-Y"
"HMT","Y",1150,"ONS","2011Q2","HMT-Y"
"HO","Y",22440,"ONS","2011Q2","HO-Y"
"MoD","Y",61440,"ONS","2011Q2","MoD-Y"
"MoJ","Y",70650,"ONS","2011Q2","MoJ-Y"
"NIO","Y",50,"ONS","2011Q2","NIO-Y"
"Scot Gov","Y",0,"ONS","2011Q2","Scot Gov-Y"
"Welsh Gov","Y",0,"ONS","2011Q2","Welsh Gov-Y"
"AGO","N",8670,"ONS","2011Q2","AGO-N"
"BIS","N",7170,"ONS","2011Q2","BIS-N"
"CO","N",4400,"ONS","2011Q2","CO-N"
"DCLG","N",1910,"ONS","2011Q2","DCLG-N"
"DCMS","N",120,"ONS","2011Q2","DCMS-N"
"DECC","N",460,"ONS","2011Q2","DECC-N"
"DEFRA","N",4380,"ONS","2011Q2","DEFRA-N"
"DfE","N",1610,"ONS","2011Q2","DfE-N"
"DfID","N",0,"ONS","2011Q2","DfID-N"
"DfT","N",15600,"ONS","2011Q2","DfT-N"
"DH","N",2460,"ONS","2011Q2","DH-N"
"DWP","N",3350,"ONS","2011Q2","DWP-N"
"FCO","N",5350,"ONS","2011Q2","FCO-N"
"GEO","N",0,"ONS","2011Q2","GEO-N"
"HMRC","N",3710,"ONS","2011Q2","HMRC-N"
"HMT","N",380,"ONS","2011Q2","HMT-N"
"HO","N",3870,"ONS","2011Q2","HO-N"
"MoD","N",9240,"ONS","2011Q2","MoD-N"
"MoJ","N",5400,"ONS","2011Q2","MoJ-N"
"NIO","N",0,"ONS","2011Q2","NIO-N"
"Scot Gov","N",16190,"ONS","2011Q2","Scot Gov-N"
"Welsh Gov","N",5300,"ONS","2011Q2","Welsh Gov-N"
"AGO","Departmental Group",8710,"ONS","2011Q2","AGO-Departmental Group"
"BIS","Departmental Group",10340,"ONS","2011Q2","BIS-Departmental Group"
"CO","Departmental Group",6130,"ONS","2011Q2","CO-Departmental Group"
"DCLG","Departmental Group",3930,"ONS","2011Q2","DCLG-Departmental Group"
"DCMS","Departmental Group",610,"ONS","2011Q2","DCMS-Departmental Group"
"DECC","Departmental Group",1630,"ONS","2011Q2","DECC-Departmental Group"
"DEFRA","Departmental Group",9210,"ONS","2011Q2","DEFRA-Departmental Group"
"DfE","Departmental Group",4100,"ONS","2011Q2","DfE-Departmental Group"
"DfID","Departmental Group",1560,"ONS","2011Q2","DfID-Departmental Group"
"DfT","Departmental Group",17380,"ONS","2011Q2","DfT-Departmental Group"
"DH","Departmental Group",4850,"ONS","2011Q2","DH-Departmental Group"
"DWP","Departmental Group",105700,"ONS","2011Q2","DWP-Departmental Group"
"FCO","Departmental Group",10910,"ONS","2011Q2","FCO-Departmental Group"
"GEO","Departmental Group",0,"ONS","2011Q2","GEO-Departmental Group"
"HMRC","Departmental Group",71180,"ONS","2011Q2","HMRC-Departmental Group"
"HMT","Departmental Group",1530,"ONS","2011Q2","HMT-Departmental Group"
"HO","Departmental Group",26310,"ONS","2011Q2","HO-Departmental Group"
"MoD","Departmental Group",70680,"ONS","2011Q2","MoD-Departmental Group"
"MoJ","Departmental Group",76050,"ONS","2011Q2","MoJ-Departmental Group"
"NIO","Departmental Group",50,"ONS","2011Q2","NIO-Departmental Group"
"Scot Gov","Departmental Group",16190,"ONS","2011Q2","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",5300,"ONS","2011Q2","Welsh Gov-Departmental Group"
"Total","Y",352780,"ONS","2011Q2","Total-Y"
"Total","N",99570,"ONS","2011Q2","Total-N"
"Total","Departmental Group",452350,"ONS","2011Q2","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",347220,"ONS","2011Q2","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",99570,"ONS","2011Q2","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",446790,"ONS","2011Q2","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",452560,"ONS","2011Q2","Total employment-Total Employment ONS total"
"AGO","Y",40,"ONS","2011Q3","AGO-Y"
"BIS","Y",2880,"ONS","2011Q3","BIS-Y"
"CO","Y",1740,"ONS","2011Q3","CO-Y"
"DCLG","Y",2110,"ONS","2011Q3","DCLG-Y"
"DCMS","Y",460,"ONS","2011Q3","DCMS-Y"
"DECC","Y",1190,"ONS","2011Q3","DECC-Y"
"DEFRA","Y",4490,"ONS","2011Q3","DEFRA-Y"
"DfE","Y",2490,"ONS","2011Q3","DfE-Y"
"DfID","Y",1560,"ONS","2011Q3","DfID-Y"
"DfT","Y",1710,"ONS","2011Q3","DfT-Y"
"DH","Y",2370,"ONS","2011Q3","DH-Y"
"DWP","Y",99060,"ONS","2011Q3","DWP-Y"
"FCO","Y",5450,"ONS","2011Q3","FCO-Y"
