"Profession","Dept.group","Organisation","Dept.IfG","Whitehall","Managed","Year","value","Category","Note_profgroup"
"Communications and Marketing","Attorney General's departments","Attorney General's Office","AGO","Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","Crown Prosecution Service","AGO","Non-Whitehall","No",2010,40,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","Crown Prosecution Service Inspectorate","AGO","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","National Fraud Authority [AGO]","AGO","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","Revenue and Customs Prosecution Office","AGO","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","Serious Fraud Office","AGO","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","Treasury Solicitor","AGO","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Advisory Conciliation and Arbitration Service","BIS","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Business, Enterprise and Regulatory Reform","BIS","Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Business, Innovation and Skills","BIS","Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Companies House","BIS","Non-Whitehall","No",2010,30,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","UK Space Agency","BIS","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Innovation, Universities and Skills","Department for Innovation, Universities and Skills","BIS","Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Export Credits Guarantee Department","Export Credit Guarantee Department","BIS","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Insolvency Service","BIS","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","National Measurement Office","BIS","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","National Weights and Measures Laboratory","BIS","Non-Whitehall","No",2010,0,"Communications & marketing",""
