"","x"
"1","Total (All Departments)"
"2","Attorney General's Departments"
"3","Attorney General's Office"
"4","Crown Prosecution Service"
"5","Crown Prosecution Service Inspectorate"
"6","National Fraud Authority (from 2010 to 2011)"
"7","Revenue and Customs Prosecutions Office (until 2009)"
"8","Serious Fraud Office"
"9","Treasury Solicitor"
"10","Business, Innovation and Skills (incl agencies)"
"11","Advisory, Conciliation and Arbitration Service"
"12","Companies House"
"13","Business, Innovations and Skills (excl agencies)"
"14","Insolvency Service"
"15","Land Registry (from 2012)"
"16","Met Office (from 2012)"
"17","National Measurement Office (from 2010)"
"18","Office of Fair Trading"
"19","Office of Gas and Electricity Market"
"20","Ordnance Survey (from 2012)"
"21","Postal Services Commission (until 2011)"
"22","Skills Funding Agency (from 2011)"
"23","UK Intellectual Property Office (from 2010)"
"24","UK Space Agency (from 2012)"
"25","Cabinet Office (incl agencies)"
"26","Government Procurement Service (from 2011)"
"27","Cabinet Office (excl agencies)"
"28","Central Office of Information"
"29","National School of Government (until 2011)"
"30","Office of the Parliamentary Counsel"
"31","Chancellor's Departments including HM Treasury"
"32","Asset Protection Agency (from 2012)"
"33","Debt Management Office"
"34","Government Actuary's Department"
"35","HM Treasury"
"36","National Savings and Investments"
"37","Office for Budget Responsibility (from 2011)"
"38","Office for National Statistics (2008 only : from 2009 became UK Statistics Authority)"
"39","Office of Government Commerce (until 2010)"
"40","OGC Buying Solutions (until 2010 : responsibility moved to Cabinet Office in 2011 survey)"
"41","Royal Mint (until 2009)"
"42","Charity Commission"
"43","Communities and Local Government, Department for (incl agencies)"
"44","Communities and Local Government, Department for (excl agencies)"
"45","Fire Service College"
"46","Ordnance Survey (until 2011)"
"47","Planning Inspectorate"
"48","Queen Elizabeth II Conference Centre"
"49","Culture Media and Sport, Department for (incl agencies)"
"50","Department for Culture, Media & Sport, Department for (excl agencies)"
"51","Royal Parks Agency"
"52","Defence (incl agencies)"
"53","Army Base Repair Organisation (MOD) (until 2008)"
"54","DARA (MOD) : until 2008"
"55","Defence Science and Technology Laboratory (MOD)"
"56","Defence Support Group (from 2009)"
