"Dept","Whitehall","value","measure","Period","group","change"
"AGO","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","AGO-Departmental Group",NA
"AGO","Departmental Group",-0.01420765,"Cumulative_Perc_net_change","2010Q4","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.02295082,"Cumulative_Perc_net_change","2011Q1","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.043715847,"Cumulative_Perc_net_change","2011Q2","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.066772067,"Cumulative_Perc_net_change","2011Q3","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.079947049,"Cumulative_Perc_net_change","2011Q4","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.079947049,"Cumulative_Perc_net_change","2012Q1","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.08653454,"Cumulative_Perc_net_change","2012Q2","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.097513693,"Cumulative_Perc_net_change","2012Q3","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.108492845,"Cumulative_Perc_net_change","2012Q4","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.113982421,"Cumulative_Perc_net_change","2013Q1","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.150213623,"Cumulative_Perc_net_change","2013Q2","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.18612009,"Cumulative_Perc_net_change","2013Q3","AGO-Departmental Group",-Inf
"AGO","Departmental Group",-0.212106038,"Cumulative_Perc_net_change","2013Q4","AGO-Departmental Group",-Inf
"AGO","Non-Whitehall",0,"Cumulative_Perc_net_change","2010Q3","AGO-Non-Whitehall",NA
"AGO","Non-Whitehall",-0.013186813,"Cumulative_Perc_net_change","2010Q4","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.021978022,"Cumulative_Perc_net_change","2011Q1","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.042857143,"Cumulative_Perc_net_change","2011Q2","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.066040534,"Cumulative_Perc_net_change","2011Q3","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.079288186,"Cumulative_Perc_net_change","2011Q4","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.079288186,"Cumulative_Perc_net_change","2012Q1","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.085912012,"Cumulative_Perc_net_change","2012Q2","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.096951722,"Cumulative_Perc_net_change","2012Q3","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.107991432,"Cumulative_Perc_net_change","2012Q4","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.113511287,"Cumulative_Perc_net_change","2013Q1","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.14994233,"Cumulative_Perc_net_change","2013Q2","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.154318431,"Cumulative_Perc_net_change","2013Q3","AGO-Non-Whitehall",-Inf
"AGO","Non-Whitehall",-0.181458404,"Cumulative_Perc_net_change","2013Q4","AGO-Non-Whitehall",-Inf
"AGO","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","AGO-Whitehall",NA
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2010Q4","AGO-Whitehall",-Inf
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2011Q1","AGO-Whitehall",-Inf
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2011Q2","AGO-Whitehall",-Inf
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2011Q3","AGO-Whitehall",-Inf
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2011Q4","AGO-Whitehall",-Inf
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2012Q1","AGO-Whitehall",-Inf
