"puborg","puburl","saved.as","extension","url","marked.as.csv","filetitle","pubtitle","pubdescription","date_year","month","senjun","organogram","staff","workforce","annual","payments","strategy","special","recruitment","meetings","earners","hospitality","expenses","spending","ministerial","travel","business","date","abbrev","coredept","include","filename"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-30-september-2012--2","Cabinet Office_647","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/83781/BCE-Sept-2012-FINAL-TEMPLATE-senior-data.csv","TRUE","Boundary Commission for England staff and salary data  senior posts as at 30 September 2012","Cabinet Office staff and salary data, 30 September 2012","Staff and salary data for Cabinet Office.","2012","September","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012 September","CO",TRUE,TRUE,"Cabinet Office_647.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-archive","Cabinet Office_289","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/60735/IndependentOfficestaffandsalarydataFINALTEMPLATEseniordata_0.csv","TRUE","Independent Office staff and salary data  senior data as at 30 September 2011","Cabinet Office staff and salary data: archive","Archive of organograms and senior salaries for the Cabinet Office, Independent Office and Boundary Commission for England. ","2011","September","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011 September","CO",TRUE,TRUE,"Cabinet Office_289.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-archive","Cabinet Office_286","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/60732/CabinetOfficestaffandSalarydataSEPT2011FINAL_seniordata_0.csv","TRUE","Cabinet Office staff and salary data  senior posts as at 30 September 2011","Cabinet Office staff and salary data: archive","Archive of organograms and senior salaries for the Cabinet Office, Independent Office and Boundary Commission for England. ","2011","September","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011 September","CO",TRUE,TRUE,"Cabinet Office_286.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data","Cabinet Office_703","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/62514/BCE-FINAL-TEMPLATE-31-March-2012-senior-data.csv","TRUE","Boundary Commission for England staff and salary data  senior posts as at 31 March 2012","Cabinet Office staff and salary data, 31 March 2012","Staff and salary data for Cabinet Office. ","2012","March","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012 March","CO",TRUE,TRUE,"Cabinet Office_703.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-as-at-31-march-2013","Cabinet Office_603","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/207339/IO_Snr_310313.csv","TRUE","Independent Office staff and salary data  senior posts as at 31 March 2013","Cabinet Office staff and salary data as at 31 March 2013","Staff and salary data for Cabinet Office.","2013","March","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013 March","CO",TRUE,TRUE,"Cabinet Office_603.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-as-at-31-march-2013","Cabinet Office_605","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/207341/BCE_Snr_310313.csv","TRUE","Boundary Commission for England staff and salary data  senior posts as at 31 March 2013","Cabinet Office staff and salary data as at 31 March 2013","Staff and salary data for Cabinet Office.","2013","March","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013 March","CO",TRUE,TRUE,"Cabinet Office_605.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data","Cabinet Office_699","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/62510/CO-150612-organogram-HL-senior-data.csv","TRUE","Cabinet Office staff and salary data  senior posts as at 31 March 2012","Cabinet Office staff and salary data, 31 March 2012","Staff and salary data for Cabinet Office. ","2012","March","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012 March","CO",TRUE,TRUE,"Cabinet Office_699.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data","Cabinet Office_701","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/62512/IO-FINAL-TEMPLATE-31-March-2012-senior-data.csv","TRUE","Independent Office staff and salary data  senior posts as at 31 March 2012","Cabinet Office staff and salary data, 31 March 2012","Staff and salary data for Cabinet Office. ","2012","March","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012 March","CO",TRUE,TRUE,"Cabinet Office_701.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-30-september-2012--2","Cabinet Office_643","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/83777/CABINET-OFFICE-FINAL-TEMPLATE-SEPT-2012-senior-data.csv","TRUE","Cabinet Office staff and salary data  senior posts as at 30 September 2012","Cabinet Office staff and salary data, 30 September 2012","Staff and salary data for Cabinet Office.","2012","September","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012 September","CO",TRUE,TRUE,"Cabinet Office_643.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-30-september-2012--2","Cabinet Office_645","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/83779/IO-Sept-2012-FINAL-TEMPLATE-senior-data.csv","TRUE","Independent Office staff and salary data  senior posts as at 30 September 2012","Cabinet Office staff and salary data, 30 September 2012","Staff and salary data for Cabinet Office.","2012","September","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012 September","CO",TRUE,TRUE,"Cabinet Office_645.csv"
