"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
"Measure","Employee engagement index","My work ","Organisational objectives and purpose ","My manager ","My team ","Learning and development ","Inclusion and fair treatment ","Resources and workload ","Pay and benefits ","Leadership and managing change ","B01. I am interested in my work ","B02. I am sufficiently challenged by my work ","B03. My work gives me a sense of personal accomplishment ","B04. I feel involved in the decisions that affect my work ","B05. I have a choice in deciding how I do my work","B06. I have a clear understanding of [my organisation's] purpose","B07. I have a clear understanding of [my organisation's] objectives ","B08. I understand how my work contributes to [my organisation's] objectives ","B09. My manager motivates me to be more effective in my job ","B10. My manager is considerate of my life outside work ","B11. My manager is open to my ideas ","B12. My manager helps me to understand how I contribute to [my organisation's] objectives ","B13. Overall, I have confidence in the decisions made by my manager ","B14. My manager recognises when I have done my job well ","B15. I receive regular feedback on my performance ","B16. The feedback I receive helps me to improve my performance ","B17. I think that my performance is evaluated fairly ","B18. Poor performance is dealt with effectively in my team ","B19. The people in my team can be relied upon to help when things get difficult in my job ","B20. The people in my team work together to find ways to improve the service we provide ","B21. The people in my team are encouraged to come up with new and better ways of doing things ","B22. I am able to access the right learning and development opportunities when I need to ","B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance ","B24. There are opportunities for me to develop my career in [my organisation] ","B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career ","B26. I am treated fairly at work ","B27. I am treated with respect by the people I work with ","B28. I feel valued for the work I do ","B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)  ","B30. In my job, I am clear what is expected of me ","B31. I get the information I need to do my job well ","B32. I have clear work objectives ","B33. I have the skills I need to do my job effectively ","B34. I have the tools I need to do my job effectively","B35. I have an acceptable workload","B36. I achieve a good balance between my work life and my private life","B37. I feel that my pay adequately reflects my performance ","B38. I am satisfied with the total benefits package ","B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable ","B40. I feel that [my organisation] as a whole is managed well ","B41. [Senior managers] in [my organisation] are sufficiently visible ","B42. I believe the actions of [senior managers] are consistent with [my organisation's] values ","B43. I believe that [the board has] a clear vision for the future of [my organisation] ","B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] ","B45. I feel that change is managed well in [my organisation] ","B46. When changes are made in [my organisation] they are usually for the better ","B47. [My organisation] keeps me informed about matters that affect me ","B48. I have the opportunity to contribute my views before decisions are made that affect me ","B49. I think it is safe to challenge the way things are done in [my organisation] ","B50. I am proud when I tell others I am part of [my organisation] ","B51. I would recommend [my organisation] as a great place to work ","B52. I feel a strong personal attachment to [my organisation] ","B53. [My organisation] inspires me to do the best in my job ","B54. [My organisation] motivates me to help it achieve its objectives","B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey ","B56. I believe that managers where I work will take action on the results from this survey ","B57. Where I work, I think effective action has been taken on the results of the last survey","B58. I am trusted to carry out my job effectively ","B59. I believe I would be supported if I try a new idea, even if it may not work ","B60. My performance is evaluated based on whether I get things done, rather than solely follow process ","B61. When I talk about [my organisation] I say ""we"" rather than ""they” ","B62. I have some really good friendships at work ","C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to leave [my organisation] as soon as possible ","C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to leave [my organisation] within the next 12 months ","C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to stay working for [my organisation] for at least the next year ","C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to stay working for [my organisation] for at least the next three years ","D01. Are you aware of the Civil Service Code? ","D02. Are you aware of how to raise a concern under the Civil Service Code? ","D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? ","W01. Overall, how satisfied are you with your life nowadays? (% 7-10) (0=not at all satisfied, 10=completely satisfied) ","W02. Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10) (0=not at all worthwhile, 10=completely worthwhile) ","W03. Overall, how happy did you feel yesterday? (% 7-10) (0=not at all happy, 10=completely happy) ","W04. Overall, how anxious did you feel yesterday? (% 0-3) (0=not at all happy, 10=completely anxious) ","E01. During the past 12 months have you personally experienced discrimination at work? ","E03. During the past 12 months have you personally experienced bullying or harassment at work? ",""
"Grade: AO/AA (n=77,720)","52%","61%","77%","65%","76%","42%","70%","74%","27%","34%","81%","67%","65%","42%","50%","79%","75%","78%","65%","73%","73%","63%","66%","76%","69%","64%","61%","41%","82%","78%","69%","59%","44%","33%","32%","74%","82%","56%","68%","87%","67%","78%","84%","66%","65%","72%","24%","30%","25%","35%","39%","36%","34%","30%","30%","23%","48%","28%","34%","45%","39%","37%","38%","36%","33%","44%","32%","87%","59%","54%","50%","81%","10%","10%","20%","60%","81%","59%","59%","59%","66%","57%","50%","12%","11%",""
": EO (n=72,857)","52%","69%","78%","64%","76%","45%","71%","70%","27%","32%","87%","78%","73%","48%","61%","80%","76%","79%","64%","75%","74%","61%","66%","74%","65%","59%","59%","39%","82%","78%","70%","59%","47%","36%","36%","74%","82%","58%","69%","83%","64%","74%","83%","63%","59%","67%","26%","30%","25%","33%","37%","35%","35%","28%","25%","21%","49%","28%","34%","45%","36%","42%","36%","34%","33%","47%","33%","86%","63%","58%","55%","80%","10%","10%","19%","61%","86%","64%","60%","60%","67%","57%","51%","13%","13%",""
": SEO/HEO (n=68,329)","54%","77%","82%","66%","79%","50%","75%","69%","31%","37%","91%","84%","77%","58%","75%","85%","80%","82%","66%","80%","81%","62%","72%","77%","63%","59%","62%","40%","83%","80%","75%","61%","50%","44%","46%","79%","85%","63%","73%","80%","64%","72%","85%","64%","55%","65%","32%","34%","27%","37%","46%","41%","39%","34%","24%","22%","54%","33%","39%","50%","38%","48%","38%","35%","39%","53%","34%","87%","69%","66%","67%","77%","8%","11%","25%","56%","93%","68%","67%","62%","70%","58%","49%","11%","11%",""
": G6/G7 (n=27,956)","58%","84%","86%","69%","84%","54%","79%","70%","39%","43%","95%","89%","83%","69%","82%","88%","84%","86%","69%","81%","84%","65%","76%","79%","63%","59%","64%","46%","87%","85%","81%","63%","54%","48%","51%","82%","88%","69%","75%","83%","69%","77%","91%","64%","52%","57%","42%","41%","33%","43%","55%","48%","41%","43%","27%","26%","63%","42%","47%","58%","45%","52%","44%","41%","52%","65%","44%","88%","72%","72%","78%","75%","7%","13%","33%","47%","95%","71%","74%","67%","75%","62%","49%","9%","9%",""
": SCS (n=4,193)","71%","92%","92%","79%","94%","69%","87%","78%","34%","67%","97%","93%","92%","86%","91%","93%","91%","93%","81%","82%","90%","80%","86%","85%","72%","72%","72%","71%","95%","94%","93%","79%","69%","60%","67%","89%","94%","81%","84%","92%","82%","89%","95%","74%","58%","56%","36%","38%","29%","66%","77%","72%","61%","71%","52%","52%","80%","70%","70%","77%","66%","68%","65%","64%","77%","85%","72%","93%","84%","84%","86%","79%","5%","14%","35%","46%","96%","83%","86%","75%","84%","72%","57%","5%","5%",""
"Country usually work in [H01]: England (n=210,200)","53%","70%","79%","65%","78%","46%","72%","70%","29%","34%","87%","77%","72%","51%","64%","81%","76%","79%","64%","76%","76%","61%","68%","75%","64%","59%","60%","40%","82%","79%","72%","59%","47%","38%","38%","76%","83%","59%","69%","82%","65%","74%","84%","63%","58%","65%","29%","32%","26%","34%","41%","37%","36%","31%","25%","22%","51%","30%","36%","47%","36%","42%","37%","34%","36%","49%","33%","86%","64%","60%","59%","78%","9%","11%","23%","56%","87%","64%","63%","60%","68%","57%","50%","12%","11%",""
": Scotland (n=25,648)","55%","71%","83%","67%","79%","50%","74%","75%","28%","38%","89%","78%","73%","51%","64%","85%","82%","83%","66%","77%","77%","64%","71%","77%","67%","62%","65%","42%","84%","80%","72%","64%","51%","44%","42%","79%","84%","60%","72%","86%","68%","78%","88%","70%","63%","70%","27%","31%","25%","40%","44%","41%","40%","36%","29%","26%","53%","33%","38%","50%","42%","45%","41%","38%","39%","50%","34%","88%","65%","61%","60%","80%","9%","9%","20%","62%","88%","68%","65%","65%","72%","62%","55%","11%","10%",""
": Wales (n=18,642)","57%","71%","82%","69%","81%","50%","75%","75%","36%","39%","87%","78%","74%","52%","64%","84%","80%","83%","69%","80%","79%","68%","72%","79%","70%","65%","65%","46%","86%","82%","75%","65%","50%","43%","42%","80%","86%","63%","73%","86%","70%","78%","87%","70%","64%","72%","34%","41%","33%","42%","45%","41%","39%","35%","32%","27%","54%","35%","40%","52%","49%","45%","43%","41%","38%","52%","36%","88%","68%","63%","62%","84%","7%","8%","19%","66%","88%","67%","68%","64%","70%","60%","51%","9%","9%",""
": Northern Ireland (n=1,476)","52%","69%","81%","67%","79%","48%","72%","74%","30%","35%","88%","78%","71%","50%","58%","82%","80%","83%","66%","77%","75%","66%","70%","76%","69%","62%","64%","41%","83%","81%","72%","65%","50%","39%","37%","77%","83%","58%","70%","85%","66%","78%","84%","68%","63%","71%","29%","32%","29%","34%","47%","39%","37%","32%","28%","24%","49%","28%","34%","41%","38%","43%","38%","36%","39%","44%","32%","86%","61%","56%","55%","83%","9%","9%","17%","65%","91%","68%","64%","65%","72%","62%","50%","11%","11%",""
