Dept,Whitehall,2009 Q1 FTE,2009 Q2 FTE,2009 Q3 FTE,2009 Q4 FTE,2010 Q1 FTE,2010 Q2 FTE,2010 Q3 FTE,2010 Q4 FTE,2011 Q1 FTE,2011 Q2 FTE,2011 Q3 FTE,2011 Q4 FTE,2012 Q1 FTE,2012 Q2 FTE
AGO,Core Whitehall Depts.,40,50,50,50,50,40,50,40,40,40,40,40,40,40
BIS,Core Whitehall Depts.,4450,4770,3870,3960,3940,3860,3760,3420,3400,3170,2880,2910,2930,3040
CO,Core Whitehall Depts.,1270,1300,1270,1270,1230,1600,1500,1460,1520,1630,1630,1640,1710,1800
DCLG,Core Whitehall Depts.,2810,2800,2660,2630,2650,2580,2520,2470,2250,2020,2110,1860,1820,1700
DCMS,Core Whitehall Depts.,460,460,460,460,470,480,460,460,450,490,460,460,450,450
DECC,Core Whitehall Depts.,0,0,970,990,1020,1060,1120,1130,1150,1170,1190,1230,1290,1320
DEFRA,Core Whitehall Depts.,3000,2860,2540,2570,2640,2640,2590,2570,2530,2340,2100,2080,2090,2060
DfE,Core Whitehall Depts.,3190,3220,3240,3180,2650,2890,2800,2740,2660,2490,2490,2580,2590,2630
DfID,Core Whitehall Depts.,1600,1630,1630,1570,1570,1580,1600,1580,1570,1560,1560,1620,1650,1690
DfT,Core Whitehall Depts.,2050,2050,2060,2080,2080,2070,2070,2030,1860,1780,1710,1660,1630,1640
DH,Core Whitehall Depts.,2260,2240,2330,2360,2630,2600,2540,2570,2560,2390,2370,2330,2290,2270
DWP,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCO,Core Whitehall Depts.,5920,5960,6020,6120,5900,5890,5900,5770,5660,5560,5450,5770,5780,6420
GEO,Core Whitehall Depts.,100,100,100,90,120,120,110,110,110,0,0,0,0,0
HMT,Core Whitehall Depts.,1240,1310,1370,1350,1330,1350,1360,1300,1240,1170,1150,1130,1200,1160
HO,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MoD,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MoJ,Core Whitehall Depts.,2990,3020,3130,3110,3130,3350,3300,4470,4510,3031,2981,2891,2791,2991
NIO,Core Whitehall Depts.,120,110,110,110,110,130,110,110,100,50,50,50,60,90
Scot Gov,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Welsh Gov,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Non-Whitehall Civil Service,9580,9530,9470,9600,9450,9230,9100,8980,8900,8670,8460,8340,8340,8280
BIS,Non-Whitehall Civil Service,5540,6620,6690,6730,6780,8550,8460,8200,8120,7630,7590,7280,6930,6930
CO,Non-Whitehall Civil Service,1690,1710,1720,1720,1690,2040,1950,1630,1580,1330,1230,1200,1100,720
DCLG,Non-Whitehall Civil Service,2390,2370,2340,2220,2140,2120,2090,2050,1950,1910,1900,1900,1880,1900
DCMS,Non-Whitehall Civil Service,110,110,110,120,120,120,110,120,120,120,110,110,120,130
DECC,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFRA,Non-Whitehall Civil Service,7820,7910,7900,7840,7730,7290,7070,6910,6880,6870,6560,6440,6400,6290
DfE,Non-Whitehall Civil Service,2250,2220,2150,2070,2060,2170,1670,1630,1620,1610,1590,1670,1670,2750
DfID,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DfT,Non-Whitehall Civil Service,16570,16620,16730,16730,16550,16540,16330,16120,15810,15600,15460,15370,15290,15200
DH,Non-Whitehall Civil Service,3170,3100,3070,2930,2770,2720,2570,2520,2460,2460,2240,2210,2180,2180
DWP,Non-Whitehall Civil Service,109260,114110,121060,122920,120940,118350,115430,112320,109590,105700,102380,101100,99800,98210
FCO,Non-Whitehall Civil Service,5500,5620,5670,5710,5650,5660,5660,5630,5370,5350,5310,5290,5290,5260
GEO,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMT,Non-Whitehall Civil Service,89880,88630,87540,85940,84530,76850,75140,74290,80330,74820,74060,73870,73340,72520
HO,Non-Whitehall Civil Service,24540,24640,24780,24800,24990,29540,29070,27910,27380,26310,25580,24850,24640,24520
MoD,Non-Whitehall Civil Service,75630,75470,75670,75700,75230,74610,73590,73130,72080,70680,68000,64590,61330,59640
MoJ,Non-Whitehall Civil Service,81030,79470,78580,78120,77410,76790,75930,74320,73700,73019,72209,70189,69029,67629
NIO,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scot Gov,Non-Whitehall Civil Service,16390,16660,16780,16700,16780,16870,16820,16690,17890,16300,16080,15800,15720,15770
Welsh Gov,Non-Whitehall Civil Service,5950,5940,6040,6020,5990,5910,5610,5550,5450,5300,5110,5100,5170,5230
