"variable","dimension","split","value","measure","questiontext","split_n","dim_id","eng_score_component"
"b01","Grade","AO/AA",0.81,"B01","I am interested in my work",77720,"",FALSE
"b01","Grade","EO",0.87,"B01","I am interested in my work",72857,"",FALSE
"b01","Grade","SEO/HEO",0.91,"B01","I am interested in my work",68329,"",FALSE
"b01","Grade","G6/G7",0.95,"B01","I am interested in my work",27956,"",FALSE
"b01","Grade","SCS",0.97,"B01","I am interested in my work",4193,"",FALSE
"b01","Country usually work in","England",0.87,"B01","I am interested in my work",210200,"H01",FALSE
"b01","Country usually work in","Scotland",0.89,"B01","I am interested in my work",25648,"H01",FALSE
"b01","Country usually work in","Wales",0.87,"B01","I am interested in my work",18642,"H01",FALSE
"b01","Country usually work in","Northern Ireland",0.88,"B01","I am interested in my work",1476,"H01",FALSE
"b01","Country usually work in","Overseas",0.93,"B01","I am interested in my work",12861,"H01",FALSE
"b01","Region of England usually work in","East Midlands",0.86,"B01","I am interested in my work",12102,"H1A",FALSE
"b01","Region of England usually work in","East of England",0.87,"B01","I am interested in my work",11063,"H1A",FALSE
"b01","Region of England usually work in","London",0.89,"B01","I am interested in my work",51504,"H1A",FALSE
"b01","Region of England usually work in","North East England",0.84,"B01","I am interested in my work",18532,"H1A",FALSE
"b01","Region of England usually work in","North West England",0.86,"B01","I am interested in my work",28406,"H1A",FALSE
"b01","Region of England usually work in","South East England",0.87,"B01","I am interested in my work",25591,"H1A",FALSE
"b01","Region of England usually work in","South West England",0.88,"B01","I am interested in my work",27808,"H1A",FALSE
"b01","Region of England usually work in","West Midlands",0.85,"B01","I am interested in my work",15854,"H1A",FALSE
"b01","Region of England usually work in","Yorkshire and the Humber",0.85,"B01","I am interested in my work",17330,"H1A",FALSE
"b01","Time in current job","Less than 1 year",0.9,"B01","I am interested in my work",58890,"H02",FALSE
"b01","Time in current job","1 year but less than 3 years",0.89,"B01","I am interested in my work",61428,"H02",FALSE
"b01","Time in current job","3 years but less than 5 years",0.87,"B01","I am interested in my work",38332,"H02",FALSE
"b01","Time in current job","5 years but less than 10 years",0.86,"B01","I am interested in my work",53962,"H02",FALSE
"b01","Time in current job","10 years or more",0.85,"B01","I am interested in my work",53584,"H02",FALSE
"b01","Time in organisation (or predecessor)","Less than 1 year",0.91,"B01","I am interested in my work",16436,"H03",FALSE
"b01","Time in organisation (or predecessor)","1 year but less than 3 years",0.89,"B01","I am interested in my work",17550,"H03",FALSE
"b01","Time in organisation (or predecessor)","3 years but less than 5 years",0.87,"B01","I am interested in my work",20460,"H03",FALSE
"b01","Time in organisation (or predecessor)","5 years but less than 10 years",0.86,"B01","I am interested in my work",48419,"H03",FALSE
"b01","Time in organisation (or predecessor)","10 years or more",0.88,"B01","I am interested in my work",147675,"H03",FALSE
"b01","Time in Civil Service","Less than 1 year",0.91,"B01","I am interested in my work",14876,"H04",FALSE
"b01","Time in Civil Service","1 year but less than 3 years",0.89,"B01","I am interested in my work",12249,"H04",FALSE
"b01","Time in Civil Service","3 years but less than 5 years",0.87,"B01","I am interested in my work",17299,"H04",FALSE
"b01","Time in Civil Service","5 years but less than 10 years",0.86,"B01","I am interested in my work",44849,"H04",FALSE
"b01","Time in Civil Service","10 years or more",0.87,"B01","I am interested in my work",154217,"H04",FALSE
"b01","Manager status","Non-manager",0.85,"B01","I am interested in my work",185009,"H05",FALSE
"b01","Manager status","Manager",0.93,"B01","I am interested in my work",81009,"H05",FALSE
"b01","Working pattern","Full-time",0.88,"B01","I am interested in my work",216469,"H06",FALSE
"b01","Working pattern","Part-time",0.86,"B01","I am interested in my work",50954,"H06",FALSE
"b01","Working pattern","Job-share",0.88,"B01","I am interested in my work",821,"H06",FALSE
"b01","Employment status","Permanent contract",0.87,"B01","I am interested in my work",251751,"H07",FALSE
"b01","Employment status","Fixed term contract",0.88,"B01","I am interested in my work",9840,"H07",FALSE
"b01","Employment status","Loaned from other CS organisation",0.95,"B01","I am interested in my work",2270,"H07",FALSE
"b01","Employment status","Temporary/agency worker",0.88,"B01","I am interested in my work",2435,"H07",FALSE
"b01","Employment status","Contractor/freelancer",0.94,"B01","I am interested in my work",1167,"H07",FALSE
"b01","Employment status","Secondee from outside CS",0.95,"B01","I am interested in my work",1185,"H07",FALSE
"b01","Occupation of main role - major groups","Operations",0.85,"B01","I am interested in my work",158154,"H08",FALSE
"b01","Occupation of main role - major groups","Corporate Services",0.9,"B01","I am interested in my work",47213,"H08",FALSE
"b01","Occupation of main role - major groups","Policy",0.93,"B01","I am interested in my work",17102,"H08",FALSE
"b01","Occupation of main role - major groups","Specialist services",0.92,"B01","I am interested in my work",27836,"H08",FALSE
"b01","Occupation of main role - major groups","Other",0.86,"B01","I am interested in my work",14756,"H08",FALSE
"b01","Development scheme","Not on a development scheme",0.87,"B01","I am interested in my work",255315,"H09",FALSE
"b01","Development scheme","Civil Service Fast Stream schemes",0.92,"B01","I am interested in my work",2285,"H09",FALSE
"b01","Development scheme","Other development scheme",0.93,"B01","I am interested in my work",5666,"H09",FALSE
"b01","Sex","Male",0.87,"B01","I am interested in my work",113109,"J01",FALSE
"b01","Sex","Female",0.9,"B01","I am interested in my work",125295,"J01",FALSE
"b01","Age","Aged 16-34",0.86,"B01","I am interested in my work",52923,"J02",FALSE
"b01","Age","Aged 35-44",0.88,"B01","I am interested in my work",60476,"J02",FALSE
"b01","Age","Aged 45-54",0.89,"B01","I am interested in my work",79941,"J02",FALSE
"b01","Age","Aged 55+",0.9,"B01","I am interested in my work",40346,"J02",FALSE
"b01","Ethnicity - binary","White",0.88,"B01","I am interested in my work",216883,"J03",FALSE
"b01","Ethnicity - binary","BME",0.89,"B01","I am interested in my work",22776,"J03",FALSE
"b01","Ethnicity - major group","White",0.88,"B01","I am interested in my work",216883,"J03",FALSE
"b01","Ethnicity - major group","Mixed",0.88,"B01","I am interested in my work",3319,"J03",FALSE
"b01","Ethnicity - major group","Asian",0.89,"B01","I am interested in my work",11620,"J03",FALSE
"b01","Ethnicity - major group","Black",0.89,"B01","I am interested in my work",6511,"J03",FALSE
"b01","Ethnicity - major group","Other ethnic group",0.88,"B01","I am interested in my work",1326,"J03",FALSE
"b01","Long-term health","No long-term limiting illness or condition",0.89,"B01","I am interested in my work",227203,"J04",FALSE
"b01","Long-term health","Long-term limiting illness or condition",0.82,"B01","I am interested in my work",20700,"J04",FALSE
"b01","Caring status","Not a carer",0.88,"B01","I am interested in my work",194596,"J05",FALSE
"b01","Caring status","Carer for others",0.88,"B01","I am interested in my work",56905,"J05",FALSE
"b01","Childcare status","No childcare responsibilities",0.88,"B01","I am interested in my work",165273,"J06",FALSE
"b01","Childcare status","Has childcare responsibilities",0.89,"B01","I am interested in my work",85962,"J06",FALSE
"b01","Sexual identity","Heterosexual/straight",0.89,"B01","I am interested in my work",223402,"J07",FALSE
"b01","Sexual identity","Gay, lesbian or bisexual",0.85,"B01","I am interested in my work",7524,"J07",FALSE
"b01","Sexual identity","Other",0.78,"B01","I am interested in my work",1541,"J07",FALSE
"b01","Religious identity","No religion",0.86,"B01","I am interested in my work",84120,"J08",FALSE
"b01","Religious identity","Christian",0.9,"B01","I am interested in my work",131231,"J08",FALSE
"b01","Religious identity","Buddhist",0.83,"B01","I am interested in my work",1389,"J08",FALSE
"b01","Religious identity","Hindu",0.9,"B01","I am interested in my work",3539,"J08",FALSE
"b01","Religious identity","Jewish",0.86,"B01","I am interested in my work",815,"J08",FALSE
"b01","Religious identity","Muslim",0.89,"B01","I am interested in my work",5725,"J08",FALSE
"b01","Religious identity","Sikh",0.87,"B01","I am interested in my work",1433,"J08",FALSE
"b01","Religious identity","Any other religion",0.82,"B01","I am interested in my work",4221,"J08",FALSE
"b02","Grade","AO/AA",0.67,"B02","I am sufficiently challenged by my work",77720,"",FALSE
"b02","Grade","EO",0.78,"B02","I am sufficiently challenged by my work",72857,"",FALSE
"b02","Grade","SEO/HEO",0.84,"B02","I am sufficiently challenged by my work",68329,"",FALSE
"b02","Grade","G6/G7",0.89,"B02","I am sufficiently challenged by my work",27956,"",FALSE
