"Dept","Whitehall","value","measure","Period","group","chart","sorter","totalgroup"
"BIS","Whitehall",-0.18,"Cumulative_Perc_net_change","2013Q1","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.17,"Cumulative_Perc_net_change","2012Q3","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",-0.09,"Cumulative_Perc_net_change","2010Q4","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",-0.23,"Cumulative_Perc_net_change","2011Q3","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",-0.19,"Cumulative_Perc_net_change","2012Q2","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",-0.23,"Cumulative_Perc_net_change","2011Q4","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",-0.1,"Cumulative_Perc_net_change","2011Q1","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.11,"Cumulative_Perc_net_change","2011Q2","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",-0.19,"Cumulative_Perc_net_change","2012Q4","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.17,"Cumulative_Perc_net_change","2012Q2","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.14,"Cumulative_Perc_net_change","2011Q4","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",-0.2,"Cumulative_Perc_net_change","2013Q3","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",-0.19,"Cumulative_Perc_net_change","2012Q3","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",-0.16,"Cumulative_Perc_net_change","2011Q2","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",-0.2,"Cumulative_Perc_net_change","2013Q2","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.17,"Cumulative_Perc_net_change","2012Q4","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Departmental Group",-0.19,"Cumulative_Perc_net_change","2013Q2","BIS-Departmental Group",TRUE,-0.19,FALSE
